id,short_name,internal_name
45462,AWP（纪念品） | 巨龙传说,weapon_awp
756142,AWP（纪念品） | 巨龙传说,weapon_awp
40981,印花 | Titan（全息）| 2014年卡托维兹锦标赛,sticker_tournament3
45459,印花 | iBUYPOWER（全息）| 2014年卡托维兹锦标赛,sticker_tournament3
40695,印花 | Reason Gaming（全息）| 2014年卡托维兹锦标赛,sticker_tournament3
755908,运动手套（★） | 潘多拉之盒,weapon_sport_gloves
44946,AWP（纪念品） | 巨龙传说,weapon_awp
45547,血猎手套（★） | 染铜,weapon_bloodhound_gloves
757533,运动手套（★） | 树篱迷宫,weapon_sport_gloves
781739,熊刀（★ StatTrak™） | 深红之网,weapon_knife_ursus
40904,印花 | Team Dignitas（全息）| 2014年卡托维兹锦标赛,sticker_tournament3
768148,锯齿爪刀（★ StatTrak™） | 深红之网,weapon_knife_widowmaker
757522,AWP（纪念品） | 巨龙传说,weapon_awp
40933,印花 | Team LDLC.com（全息）| 2014年卡托维兹锦标赛,sticker_tournament3
758867,蝴蝶刀（★ StatTrak™） | 深红之网,weapon_knife_butterfly
756118,运动手套（★） | 迈阿密风云,weapon_sport_gloves
45457,摩托手套（★） | 薄荷,weapon_moto_gloves
43684,猎杀者匕首（★ StatTrak™） | 枯焦之色,weapon_knife_tactical
40307,印花 | HellRaisers（全息）| 2014年卡托维兹锦标赛,sticker_tournament3
762811,折刀（★ StatTrak™） | 狩猎网格,weapon_knife_gypsy_jackknife
756371,运动手套（★） | 超导体,weapon_sport_gloves
43581,穿肠刀（★ StatTrak™） | 黑色层压板,weapon_knife_gut
761204,专业手套（★） | 深红和服,weapon_specialist_gloves
44360,M4A4（StatTrak™） | 咆哮,weapon_m4a1
756405,爪子刀（★ StatTrak™） | 大马士革钢,weapon_knife_karambit
775930,CZ75 | 翡翠石英,weapon_cz75a
776874,AK-47 | 野荷,weapon_ak47
45418,M9 刺刀（★ StatTrak™） | 深红之网,weapon_knife_m9_bayonet
44060,AWP | 巨龙传说,weapon_awp
776764,AWP | 永恒之枪,weapon_awp
40575,印花 | Natus Vincere（全息）| 2014年卡托维兹锦标赛,sticker_tournament3
41244,印花 | captainMo（金色）| 2018年波士顿锦标赛,sticker_tournament13
44999,运动手套（★） | 潘多拉之盒,weapon_sport_gloves
43335,鲍伊猎刀（★ StatTrak™） | 蓝钢,weapon_knife_survival_bowie
776481,AWP | 永恒之枪,weapon_awp
45461,专业手套（★） | 翠绿之网,weapon_specialist_gloves
776538,AK-47 | 野荷,weapon_ak47
757294,驾驶手套（★） | 王蛇,weapon_driver_gloves
34076,AWP | 巨龙传说,weapon_awp
45526,M4A4（StatTrak™） | 咆哮,weapon_m4a1
43256,运动手套（★） | 树篱迷宫,weapon_sport_gloves
776029,AWP | 永恒之枪,weapon_awp
40429,印花 | LGB eSports（全息）| 2014年卡托维兹锦标赛,sticker_tournament3
