internal_name,pages
weapon_ak47,6
weapon_aug,4
weapon_awp,4
weapon_bayonet,3
weapon_bizon,4
weapon_bloodhound_gloves,1
weapon_brokenfang_gloves,1
weapon_cz75a,4
weapon_deagle,4
weapon_driver_gloves,1
weapon_elite,4
weapon_famas,4
weapon_fiveseven,4
weapon_g3sg1,3
weapon_galilar,4
weapon_glock,5
weapon_hand_wraps,1
weapon_hkp2000,3
weapon_hydra_gloves,1
weapon_knife_butterfly,3
weapon_knife_canis,2
weapon_knife_cord,2
weapon_knife_css,2
weapon_knife_falchion,3
weapon_knife_flip,3
weapon_knife_gut,3
weapon_knife_gypsy_jackknife,2
weapon_awp,270
weapon_knife_karambit,3
weapon_knife_kke,2
weapon_knife_m9_bayonet,3
weapon_knife_outdoor,2
weapon_knife_push,3
weapon_awp,270
weapon_knife_skeleton,2
weapon_knife_stiletto,2
weapon_knife_survival_bowie,3
weapon_knife_tactical,3
weapon_knife_ursus,2
weapon_knife_widowmaker,2
weapon_m249,3
weapon_m4a1,5
weapon_m4a1_silencer,4
weapon_mac10,5
weapon_awp,270
weapon_mag7,4
weapon_moto_gloves,1
weapon_mp5sd,2
weapon_mp7,4
weapon_mp9,4
weapon_negev,3
weapon_nova,4
weapon_p250,5
weapon_p90,5
weapon_revolver,3
weapon_sawedoff,4
weapon_scar20,3
weapon_sg556,4
weapon_specialist_gloves,1
weapon_sport_gloves,1
weapon_ssg08,4
weapon_tec9,4
weapon_ump45,4
weapon_xm1014,4
weapon_usp_silencer,4
