
AK-47,崭新出厂,普通,776874,AK-47 | 野荷,198,87998.5,89759.0,1.02,2024-06-16
AK-47,略有磨损,普通,776538,AK-47 | 野荷,96,66386.5,67714.71,1.02,2024-06-16
AK-47,久经沙场,普通,776459,AK-47 | 野荷,71,49399.5,49977.95,1.01,2024-06-16
AK-47,崭新出厂,纪念品,877222,AK-47（纪念品） | 黄金藤蔓,35,38879.5,39657.57,1.02,2024-06-16
AK-47,破损不堪,普通,776567,AK-47 | 野荷,21,34598.5,32640.0,0.94,2024-06-16
AK-47,崭新出厂,StatTrak™,44362,AK-47（StatTrak™） | 火蛇,51,33880.5,34558.6,1.02,2024-06-16
AK-47,略有磨损,StatTrak™,38182,AK-47（StatTrak™） | 火蛇,115,20887.5,21305.75,1.02,2024-06-16
AK-47,崭新出厂,普通,871769,AK-47 | 黄金藤蔓,381,20396.5,20195.98,0.99,2024-06-16
AK-47,战痕累累,普通,776912,AK-47 | 野荷,13,19998.5,20267.37,1.01,2024-06-16
AK-47,略有磨损,纪念品,877216,AK-47（纪念品） | 黄金藤蔓,73,17678.5,18033.11,1.02,2024-06-16
AK-47,略有磨损,普通,871696,AK-47 | 黄金藤蔓,165,16424,16753.0,1.02,2024-06-16
AK-47,崭新出厂,普通,33895,AK-47 | 火蛇 ,110,16399.5,16116.03,0.98,2024-06-16
AK-47,久经沙场,普通,871677,AK-47 | 黄金藤蔓,146,13553.99,13825.54,1.02,2024-06-16
AK-47,久经沙场,纪念品,877228,AK-47（纪念品） | 黄金藤蔓,92,13198.5,13463.97,1.02,2024-06-16
AK-47,崭新出厂,普通,33915,AK-47 | 水栽竹,433,13107.91,13158.03,1.0,2024-06-16
AK-47,破损不堪,纪念品,878158,AK-47（纪念品） | 黄金藤蔓,5,12665.5,12531.72,0.99,2024-06-16
AK-47,久经沙场,StatTrak™,38181,AK-47（StatTrak™） | 火蛇,76,12649.5,12903.02,1.02,2024-06-16
AK-47,破损不堪,普通,871985,AK-47 | 黄金藤蔓,7,11999.5,12240.01,1.02,2024-06-16
AK-47,崭新出厂,StatTrak™,38215,AK-47（StatTrak™） | 红色层压板,3,11999.5,10191.83,0.85,2024-06-16
AK-47,崭新出厂,普通,837375,AK-47 | X 射线,176,11499,11729.49,1.02,2024-06-16
AK-47,战痕累累,普通,871803,AK-47 | 黄金藤蔓,13,10698,10801.82,1.01,2024-06-16
AK-47,战痕累累,纪念品,877230,AK-47（纪念品） | 黄金藤蔓,14,10299.5,10475.42,1.02,2024-06-16
AK-47,破损不堪,StatTrak™,38183,AK-47（StatTrak™） | 火蛇,3,9724.49,8874.0,0.91,2024-06-16
AK-47,崭新出厂,StatTrak™,38234,AK-47（StatTrak™） | 荒野反叛,4,9498.5,9496.17,1.0,2024-06-16
AK-47,略有磨损,普通,33917,AK-47 | 水栽竹,164,9199.5,9322.78,1.01,2024-06-16
AK-47,崭新出厂,StatTrak™,38229,AK-47（StatTrak™） | 火神,282,8734.5,8909.69,1.02,2024-06-16
AK-47,略有磨损,普通,33897,AK-47 | 火蛇,545,8098,8260.46,1.02,2024-06-16
AK-47,略有磨损,普通,835777,AK-47 | X 射线,110,7148.5,7272.57,1.02,2024-06-16
AK-47,战痕累累,StatTrak™,38180,AK-47（StatTrak™） | 火蛇,7,6587.5,6118.99,0.93,2024-06-16
AK-47,久经沙场,普通,33916,AK-47 | 水栽竹,112,5799.5,8815.89,1.52,2024-06-16
AK-47,久经沙场,普通,33896,AK-47 | 火蛇,498,5548.5,8052.83,1.45,2024-06-16
AK-47,崭新出厂,普通,33925,AK-47 | 酷炫涂鸦皮革,14,5349.5,10679.07,2.0,2024-06-16
AK-47,崭新出厂,StatTrak™,38171,AK-47（StatTrak™） | 表面淬火,102,5298.3,9281.14,1.75,2024-06-16
AK-47,略有磨损,StatTrak™,38231,AK-47（StatTrak™） | 火神,252,5199,9791.95,1.88,2024-06-16
AK-47,破损不堪,普通,33898,AK-47 | 火蛇,7,5139.5,8307.47,1.62,2024-06-16
AK-47,崭新出厂,普通,33974,AK-47 | 火神,1054,4932,7353.76,1.49,2024-06-16
AK-47,崭新出厂,StatTrak™,38190,AK-47（StatTrak™） | 燃料喷射器,102,4899,9489.13,1.94,2024-06-16
AK-47,破损不堪,普通,33918,AK-47 | 水栽竹,7,4879.5,7171.81,1.47,2024-06-16
AK-47,久经沙场,普通,836044,AK-47 | X 射线,99,4446.5,9079.45,2.04,2024-06-16
AK-47,崭新出厂,纪念品,772930,AK-47（纪念品） | 黑色层压板,4,4299.5,4895.97,1.14,2024-06-16
AK-47,战痕累累,普通,33914,AK-47 | 水栽竹,9,3665,4644.38,1.27,2024-06-16
AK-47,略有磨损,StatTrak™,38173,AK-47（StatTrak™） | 表面淬火,130,3516,5454.45,1.55,2024-06-16
AK-47,战痕累累,普通,33894,AK-47 | 火蛇,21,3357.15,5220.7,1.56,2024-06-16
AK-47,崭新出厂,纪念品,877119,AK-47（纪念品） | 美洲豹,18,2999,5214.82,1.74,2024-06-16
AK-47,崭新出厂,StatTrak™,38195,AK-47（StatTrak™） | 美洲猛虎,14,2999,5759.44,1.92,2024-06-16
AK-47,略有磨损,普通,33976,AK-47 | 火神,1548,2949,4502.69,1.53,2024-06-16
AK-47,略有磨损,StatTrak™,38192,AK-47（StatTrak™） | 燃料喷射器,157,2899.5,4715.62,1.63,2024-06-16
AK-47,崭新出厂,StatTrak™,763486,AK-47（StatTrak™） | 二西莫夫,72,2870.4,3988.91,1.39,2024-06-16
AK-47,久经沙场,StatTrak™,38172,AK-47（StatTrak™） | 表面淬火,135,2753.5,4367.82,1.59,2024-06-16
AK-47,崭新出厂,普通,33910,AK-47 | 燃料喷射器,378,2728.5,3875.73,1.42,2024-06-16
AK-47,崭新出厂,StatTrak™,956708,AK-47（StatTrak™） | 传承,53,2699.5,3963.3,1.47,2024-06-16
AK-47,略有磨损,普通,33927,AK-47 | 酷炫涂鸦皮革,35,2649.5,4715.62,1.78,2024-06-16
AK-47,破损不堪,普通,835881,AK-47 | X 射线,41,2597.5,3620.87,1.39,2024-06-16
AK-47,崭新出厂,普通,33881,AK-47 | 表面淬火,867,2338,3795.64,1.62,2024-06-16
AK-47,崭新出厂,普通,33955,AK-47 | 红色层压板,17,2298.5,5793.47,2.52,2024-06-16
AK-47,破损不堪,StatTrak™,38174,AK-47（StatTrak™） | 表面淬火,50,2240,4025.25,1.8,2024-06-16
AK-47,战痕累累,StatTrak™,38170,AK-47（StatTrak™） | 表面淬火,29,2135.5,3308.26,1.55,2024-06-16
AK-47,久经沙场,StatTrak™,38230,AK-47（StatTrak™） | 火神,158,2127.48,3295.2,1.55,2024-06-16
AK-47,崭新出厂,StatTrak™,759560,AK-47（StatTrak™） | 霓虹骑士,121,1986.9,2814.14,1.42,2024-06-16
AK-47,崭新出厂,普通,835826,AK-47 | 美洲豹,100,1959.5,2980.27,1.52,2024-06-16
AK-47,崭新出厂,StatTrak™,38224,AK-47（StatTrak™） | 皇后,126,1940.5,3364.05,1.73,2024-06-16
AK-47,久经沙场,普通,33926,AK-47 | 酷炫涂鸦皮革,36,1899.5,2941.39,1.55,2024-06-16
AK-47,久经沙场,StatTrak™,38191,AK-47（StatTrak™） | 燃料喷射器,166,1886.5,3005.23,1.59,2024-06-16
AK-47,崭新出厂,StatTrak™,38157,AK-47（StatTrak™） | 血腥运动,405,1829,2745.94,1.5,2024-06-16
AK-47,略有磨损,普通,33883,AK-47 | 表面淬火,1637,1749.5,2672.38,1.53,2024-06-16
AK-47,破损不堪,普通,33928,AK-47 | 酷炫涂鸦皮革,6,1699.5,2488.4,1.46,2024-06-16
AK-47,崭新出厂,StatTrak™,38153,AK-47（StatTrak™） | 深海复仇,67,1697.8,2345.4,1.38,2024-06-16
AK-47,战痕累累,普通,835824,AK-47 | X 射线,32,1687.5,2622.03,1.55,2024-06-16
AK-47,略有磨损,普通,835831,AK-47 | 美洲豹,60,1565.38,2275.76,1.45,2024-06-16
AK-47,战痕累累,普通,33924,AK-47 | 酷炫涂鸦皮革,9,1549.4,2022.57,1.31,2024-06-16
AK-47,久经沙场,普通,33882,AK-47 | 表面淬火,1421,1541.5,2214.38,1.44,2024-06-16
