CZ75 自动手枪,战痕累累,普通,775930,CZ75 | 翡翠石英,2,88887,701.76,0.01,2024-06-16
CZ75 自动手枪,崭新出厂,普通,34279,CZ75 | 复古圣杯,31,3299.5,5474.69,1.66,2024-06-16
CZ75 自动手枪,崭新出厂,普通,776097,CZ75 | 翡翠石英,16,819.5,1315.3,1.61,2024-06-16
CZ75 自动手枪,久经沙场,普通,775092,CZ75 | 翡翠石英,10,778.98,1051.73,1.35,2024-06-16
CZ75 自动手枪,略有磨损,普通,775112,CZ75 | 翡翠石英,10,768.89,1050.42,1.37,2024-06-16
CZ75 自动手枪,略有磨损,纪念品,37552,CZ75（纪念品） | 复古圣杯,5,725.5,2313.19,3.19,2024-06-16
CZ75 自动手枪,崭新出厂,StatTrak™,38383,CZ75（StatTrak™） | 维多利亚,26,672.9,1088.22,1.62,2024-06-16
CZ75 自动手枪,崭新出厂,纪念品,37551,CZ75（纪念品） | 复古圣杯,136,630.5,1042.51,1.65,2024-06-16
CZ75 自动手枪,破损不堪,StatTrak™,38368,CZ75（StatTrak™） | 梅红时刻,3,515.5,562.1,1.09,2024-06-16
CZ75 自动手枪,崭新出厂,StatTrak™,43915,CZ75（StatTrak™） | 深红之网,15,447.49,494.2,1.1,2024-06-16
CZ75 自动手枪,崭新出厂,StatTrak™,38365,CZ75（StatTrak™） | 梅红时刻,30,359,420.78,1.17,2024-06-16
CZ75 自动手枪,崭新出厂,普通,34303,CZ75 | 氮化处理,9,354.5,500.58,1.41,2024-06-16
CZ75 自动手枪,崭新出厂,普通,34331,CZ75 | 梅红时刻,74,319.4,449.94,1.41,2024-06-16
CZ75 自动手枪,略有磨损,普通,34287,CZ75 | 翡翠色调,4,287.5,261.39,0.91,2024-06-16
CZ75 自动手枪,略有磨损,StatTrak™,38385,CZ75（StatTrak™） | 维多利亚,35,262.99,403.87,1.54,2024-06-16
CZ75 自动手枪,略有磨损,StatTrak™,38367,CZ75（StatTrak™） | 梅红时刻,18,242.49,309.56,1.28,2024-06-16
CZ75 自动手枪,崭新出厂,StatTrak™,38393,CZ75（StatTrak™） | 黄夹克,39,230.18,282.86,1.23,2024-06-16
