G3SG1,战痕累累,纪念品,37658,G3SG1（纪念品） | 多变迷彩,3,4565.39,1815.01,0.4,2024-06-16
G3SG1,崭新出厂,纪念品,37659,G3SG1（纪念品） | 多变迷彩,5,1799.5,2176.44,1.21,2024-06-16
G3SG1,崭新出厂,普通,34812,G3SG1 | 柯罗诺斯,17,1759.5,2323.35,1.32,2024-06-16
G3SG1,略有磨损,普通,34814,G3SG1 | 柯罗诺斯,2,1649.49,2442.62,1.48,2024-06-16
G3SG1,战痕累累,普通,34804,G3SG1 | 极寒迷彩,1,888.38,77.41,0.09,2024-06-16
G3SG1,崭新出厂,普通,34805,G3SG1 | 极寒迷彩,1,588.87,828.86,1.41,2024-06-16
G3SG1,崭新出厂,StatTrak™,38613,G3SG1（StatTrak™） | 弗卢克斯,23,369.5,584.01,1.58,2024-06-16
G3SG1,略有磨损,纪念品,37661,G3SG1（纪念品） | 多变迷彩,5,359.4,511.61,1.42,2024-06-16
G3SG1,破损不堪,纪念品,37647,G3SG1（纪念品） | 丛林虚线,3,287.49,64.86,0.23,2024-06-16
G3SG1,略有磨损,StatTrak™,38637,G3SG1（StatTrak™） | 行刑者,5,285.5,429.48,1.5,2024-06-16
G3SG1,崭新出厂,StatTrak™,38608,G3SG1（StatTrak™） | 丰饶女神,6,279.5,436.74,1.56,2024-06-16
G3SG1,战痕累累,普通,871533,G3SG1 | 碧藤青翠,7,199.5,243.62,1.22,2024-06-16
G3SG1,战痕累累,普通,776501,G3SG1 | 穆拉诺之紫,7,199.5,254.06,1.27,2024-06-16
G3SG1,久经沙场,普通,775732,G3SG1 | 穆拉诺之紫,9,194,263.28,1.36,2024-06-16
G3SG1,破损不堪,普通,775888,G3SG1 | 穆拉诺之紫,1,192.5,444.86,2.31,2024-06-16
G3SG1,崭新出厂,普通,776030,G3SG1 | 穆拉诺之紫,20,191.5,291.35,1.52,2024-06-16
G3SG1,略有磨损,普通,775952,G3SG1 | 穆拉诺之紫,10,189.5,252.47,1.33,2024-06-16
G3SG1,破损不堪,StatTrak™,38616,G3SG1（StatTrak™） | 弗卢克斯,5,188.5,157.72,0.84,2024-06-16
G3SG1,略有磨损,StatTrak™,38615,G3SG1（StatTrak™） | 弗卢克斯,20,185.5,239.7,1.29,2024-06-16
G3SG1,破损不堪,普通,871541,G3SG1 | 碧藤青翠,5,179.5,311.52,1.74,2024-06-16
G3SG1,崭新出厂,普通,871172,G3SG1 | 碧藤青翠,49,155.5,204.73,1.32,2024-06-16
