加利尔 AR,崭新出厂,纪念品,37664,加利尔 AR（纪念品） | 地狱看门犬,24,2999,13785.43,4.6,2024-06-16
加利尔 AR,久经沙场,StatTrak™,38649,加利尔 AR（StatTrak™） | 喧闹骷髅,9,1999.5,3909.1,1.96,2024-06-16
加利尔 AR,崭新出厂,StatTrak™,38671,加利尔 AR（StatTrak™） | 橙黄 DDPAT,1,1998.5,5493.7,2.75,2024-06-16
加利尔 AR,崭新出厂,普通,34983,加利尔 AR | 冬之森林,4,1269,1875.8,1.48,2024-06-16
加利尔 AR,战痕累累,StatTrak™,38694,加利尔 AR（StatTrak™） | ~甜甜的~,1,998.5,689.21,0.69,2024-06-16
加利尔 AR,崭新出厂,StatTrak™,38695,加利尔 AR（StatTrak™） | ~甜甜的~,35,898.5,1422.96,1.58,2024-06-16
加利尔 AR,崭新出厂,纪念品,37679,加利尔 AR（纪念品） | 多变迷彩,6,888.38,1148.14,1.29,2024-06-16
加利尔 AR,崭新出厂,普通,34891,加利尔 AR | 水蓝阶地,35,870.9,1305.79,1.5,2024-06-16
加利尔 AR,战痕累累,纪念品,37678,加利尔 AR（纪念品） | 多变迷彩,1,799.5,1393.36,1.74,2024-06-16
加利尔 AR,久经沙场,普通,34892,加利尔 AR | 水蓝阶地,3,799.49,1122.39,1.4,2024-06-16
加利尔 AR,战痕累累,普通,34890,加利尔 AR | 水蓝阶地,1,788.38,1042.88,1.32,2024-06-16
加利尔 AR,略有磨损,纪念品,37666,加利尔 AR（纪念品） | 地狱看门犬,111,611,1032.94,1.69,2024-06-16
加利尔 AR,略有磨损,纪念品,37681,加利尔 AR（纪念品） | 多变迷彩,3,598.5,475.7,0.79,2024-06-16
加利尔 AR,略有磨损,StatTrak™,38697,加利尔 AR（StatTrak™） | ~甜甜的~,28,559.5,1158.66,2.07,2024-06-16
加利尔 AR,崭新出厂,StatTrak™,38685,加利尔 AR（StatTrak™） | 支离破碎,3,509.5,647.06,1.27,2024-06-16
加利尔 AR,略有磨损,StatTrak™,38658,加利尔 AR（StatTrak™） | 经济,72,471.97,707.05,1.5,2024-06-16
加利尔 AR,久经沙场,普通,34907,加利尔 AR | 喧闹骷髅,29,429.5,668.24,1.56,2024-06-16
加利尔 AR,崭新出厂,普通,835852,加利尔 AR | 凤凰冥灯,252,429.4,562.39,1.31,2024-06-16
加利尔 AR,战痕累累,普通,835913,加利尔 AR | 凤凰冥灯,2,422.5,259.5,0.61,2024-06-16
加利尔 AR,久经沙场,StatTrak™,38696,加利尔 AR（StatTrak™） | ~甜甜的~,17,411.75,657.07,1.6,2024-06-16
加利尔 AR,崭新出厂,普通,34963,加利尔 AR | ~甜甜的~,127,399.5,560.29,1.4,2024-06-16
加利尔 AR,崭新出厂,普通,34902,加利尔 AR | 地狱看门犬,132,390.5,566.16,1.45,2024-06-16
加利尔 AR,崭新出厂,普通,871953,加利尔 AR | 警告！,26,384.49,558.18,1.45,2024-06-16
加利尔 AR,略有磨损,普通,835706,加利尔 AR | 凤凰冥灯,156,339.5,476.64,1.4,2024-06-16
加利尔 AR,久经沙场,普通,871911,加利尔 AR | 警告！,7,326.8,464.96,1.42,2024-06-16
加利尔 AR,略有磨损,普通,871902,加利尔 AR | 警告！,15,319.5,435.14,1.36,2024-06-16
加利尔 AR,略有磨损,普通,34965,加利尔 AR | ~甜甜的~,86,314.5,436.45,1.39,2024-06-16
加利尔 AR,破损不堪,StatTrak™,38650,加利尔 AR（StatTrak™） | 喧闹骷髅,27,307.9,438.19,1.42,2024-06-16
加利尔 AR,久经沙场,纪念品,37680,加利尔 AR（纪念品） | 多变迷彩,5,299.5,344.17,1.15,2024-06-16
