M249,崭新出厂,纪念品,37707,M249（纪念品） | 鳄鱼网格,7,1199.5,3057.68,2.55,2024-06-17
M249,崭新出厂,普通,35107,M249 | 暴雪大理石纹,4,997,1664.61,1.67,2024-06-17
M249,略有磨损,纪念品,37709,M249（纪念品） | 鳄鱼网格,3,349,282.94,0.81,2024-06-17
M249,久经沙场,纪念品,37708,M249（纪念品） | 鳄鱼网格,4,279.5,265.09,0.95,2024-06-17
M249,战痕累累,普通,871605,M249 | 雪茄盒,6,190,229.76,1.21,2024-06-17
M249,崭新出厂,普通,35146,M249 | 海滨预测者,22,156.4,229.69,1.47,2024-06-17
M249,破损不堪,普通,871593,M249 | 雪茄盒,3,136.5,171.21,1.25,2024-06-17
M249,略有磨损,普通,35148,M249 | 海滨预测者,5,135.5,170.85,1.26,2024-06-17
M249,久经沙场,普通,35147,M249 | 海滨预测者,4,129.5,166.86,1.29,2024-06-17
M249,久经沙场,普通,871463,M249 | 雪茄盒,12,119.5,154.74,1.29,2024-06-17
M249,崭新出厂,普通,871221,M249 | 雪茄盒,55,117.5,159.53,1.36,2024-06-17
M249,略有磨损,普通,871232,M249 | 雪茄盒,16,115.46,139.8,1.21,2024-06-17
M249,崭新出厂,普通,35131,M249 | 丛林 DDPAT,3,96.15,166.86,1.74,2024-06-17
M249,略有磨损,普通,35109,M249 | 暴雪大理石纹,8,92.01,148.72,1.62,2024-06-17
M249,崭新出厂,StatTrak™,38766,M249（StatTrak™） | 星云十字军,55,65.89,94.75,1.44,2024-06-17
M249,久经沙场,普通,35108,M249 | 暴雪大理石纹,5,50.6,69.65,1.38,2024-06-17
M249,崭新出厂,StatTrak™,38756,M249（StatTrak™） | 翠绿箭毒蛙,32,40.89,46.94,1.15,2024-06-17
M249,战痕累累,普通,35106,M249 | 暴雪大理石纹,9,39.9,51.8,1.3,2024-06-17
M249,战痕累累,普通,871538,M249 | 夜半棕榈,3,39.59,43.89,1.11,2024-06-17
M249,崭新出厂,普通,776114,M249 | 狂野丛林,108,35.51,36.27,1.02,2024-06-17
M249,崭新出厂,普通,871169,M249 | 夜半棕榈,70,35.4,45.42,1.28,2024-06-17
M249,略有磨损,普通,871194,M249 | 夜半棕榈,33,35.2,45.49,1.29,2024-06-17
M249,久经沙场,普通,871070,M249 | 夜半棕榈,47,35.2,44.83,1.27,2024-06-17
M249,破损不堪,普通,871150,M249 | 夜半棕榈,12,34.78,47.3,1.36,2024-06-17
M249,崭新出厂,普通,35126,M249 | 冲击钻,35,34.29,48.53,1.42,2024-06-17
M249,崭新出厂,普通,35112,M249 | 对比涂装,3,33.14,53.98,1.63,2024-06-17
M249,略有磨损,StatTrak™,38768,M249（StatTrak™） | 星云十字军,55,31.9,47.37,1.48,2024-06-17
M249,略有磨损,普通,774911,M249 | 狂野丛林,56,29.78,37.72,1.27,2024-06-17
M249,战痕累累,普通,774824,M249 | 狂野丛林,24,28.47,32.94,1.16,2024-06-17
M249,久经沙场,普通,774954,M249 | 狂野丛林,41,28.37,35.04,1.24,2024-06-17
M249,破损不堪,普通,774975,M249 | 狂野丛林,13,27.94,34.03,1.22,2024-06-17
M249,崭新出厂,StatTrak™,773676,M249（StatTrak™） | 阿兹特克,45,27.39,41.35,1.51,2024-06-17
M249,崭新出厂,普通,35141,M249 | 星云十字军,133,27.3,35.04,1.28,2024-06-17
M249,破损不堪,普通,35134,M249 | 丛林 DDPAT,1,24.88,24.16,0.97,2024-06-17
M249,崭新出厂,StatTrak™,900577,M249（StatTrak™） | 闹市区,145,24.8,34.61,1.4,2024-06-17
M249,崭新出厂,StatTrak™,776722,M249（StatTrak™） | 战隼,13,20.42,30.03,1.47,2024-06-17
M249,略有磨损,StatTrak™,38758,M249（StatTrak™） | 翠绿箭毒蛙,34,20.15,27.57,1.37,2024-06-17
M249,破损不堪,StatTrak™,38759,M249（StatTrak™） | 翠绿箭毒蛙,8,19.68,26.77,1.36,2024-06-17
M249,略有磨损,普通,35133,M249 | 丛林 DDPAT,9,19.34,31.05,1.61,2024-06-17
M249,久经沙场,StatTrak™,38757,M249（StatTrak™） | 翠绿箭毒蛙,37,18.1,25.68,1.42,2024-06-17
M249,破损不堪,StatTrak™,38769,M249（StatTrak™） | 星云十字军,16,17.87,22.13,1.24,2024-06-17
M249,崭新出厂,普通,35116,M249 | 翠绿箭毒蛙,115,17.3,23.36,1.35,2024-06-17
M249,崭新出厂,StatTrak™,38761,M249（StatTrak™） | 岩浆,17,17.1,23.07,1.35,2024-06-17
M249,久经沙场,StatTrak™,38767,M249（StatTrak™） | 星云十字军,65,16.8,25.03,1.49,2024-06-17
M249,略有磨损,普通,35128,M249 | 冲击钻,31,15.89,22.13,1.39,2024-06-17
M249,久经沙场,普通,35127,M249 | 冲击钻,12,15.47,19.37,1.25,2024-06-17
M249,战痕累累,普通,35125,M249 | 冲击钻,14,15.45,18.14,1.17,2024-06-17
M249,久经沙场,普通,35132,M249 | 丛林 DDPAT,39,15.15,16.83,1.11,2024-06-17
M249,略有磨损,普通,35143,M249 | 星云十字军,157,14.79,19.3,1.3,2024-06-17
M249,破损不堪,普通,35129,M249 | 冲击钻,22,14.59,18.5,1.27,2024-06-17
M249,战痕累累,StatTrak™,38765,M249（StatTrak™） | 星云十字军,21,14.16,21.47,1.52,2024-06-17
M249,略有磨损,StatTrak™,773746,M249（StatTrak™） | 阿兹特克,59,13.86,19.37,1.4,2024-06-17
M249,崭新出厂,StatTrak™,835738,M249（StatTrak™） | 等高线,25,12.76,20.97,1.64,2024-06-17
M249,战痕累累,普通,35130,M249 | 丛林 DDPAT,3,12.75,21.76,1.71,2024-06-17
M249,略有磨损,StatTrak™,900617,M249（StatTrak™） | 闹市区,148,12.29,16.03,1.3,2024-06-17
M249,略有磨损,StatTrak™,38763,M249（StatTrak™） | 岩浆,18,11.55,16.83,1.46,2024-06-17
M249,崭新出厂,普通,835708,M249 | 捕食者,18,10.72,15.96,1.49,2024-06-17
M249,破损不堪,StatTrak™,38764,M249（StatTrak™） | 岩浆,24,10.4,17.05,1.64,2024-06-17
M249,崭新出厂,StatTrak™,38776,M249（StatTrak™） | 系统锁定,70,10.36,13.49,1.3,2024-06-17
M249,略有磨损,StatTrak™,775565,M249（StatTrak™） | 战隼,21,10.33,14.44,1.4,2024-06-17
M249,略有磨损,普通,35118,M249 | 翠绿箭毒蛙,125,10.06,14.36,1.43,2024-06-17
M249,久经沙场,StatTrak™,38762,M249（StatTrak™） | 岩浆,14,9.97,11.97,1.2,2024-06-17
M249,略有磨损,普通,35114,M249 | 对比涂装,16,9.97,12.62,1.27,2024-06-17
M249,崭新出厂,普通,775273,M249 | 战隼,16,9.79,18.94,1.93,2024-06-17
M249,崭新出厂,普通,773741,M249 | 阿兹特克,90,9.61,13.57,1.41,2024-06-17
M249,崭新出厂,普通,35136,M249 | 岩浆,53,9.6,13.06,1.36,2024-06-17
M249,崭新出厂,StatTrak™,857672,M249（StatTrak™） | O.S.I.P.R.,111,9.48,12.99,1.37,2024-06-17
M249,久经沙场,普通,35142,M249 | 星云十字军,137,9.28,11.39,1.23,2024-06-17
M249,崭新出厂,普通,900466,M249 | 闹市区,556,9.24,12.84,1.39,2024-06-17
M249,战痕累累,StatTrak™,38760,M249（StatTrak™） | 岩浆,18,9.22,13.71,1.49,2024-06-17
M249,破损不堪,普通,35119,M249 | 翠绿箭毒蛙,20,9.22,12.33,1.34,2024-06-17
M249,久经沙场,普通,35117,M249 | 翠绿箭毒蛙,79,8.48,10.88,1.28,2024-06-17
M249,破损不堪,StatTrak™,773835,M249（StatTrak™） | 阿兹特克,16,8.43,15.24,1.81,2024-06-17
M249,略有磨损,StatTrak™,835744,M249（StatTrak™） | 等高线,29,8.06,9.79,1.21,2024-06-17
M249,崭新出厂,普通,835570,M249 | 等高线,26,7.77,10.01,1.29,2024-06-17
M249,破损不堪,普通,35144,M249 | 星云十字军,59,7.58,9.43,1.24,2024-06-17
M249,略有磨损,普通,35138,M249 | 岩浆,35,7.58,9.36,1.23,2024-06-17
M249,破损不堪,StatTrak™,775933,M249（StatTrak™） | 战隼,24,7.29,9.36,1.28,2024-06-17
M249,破损不堪,普通,35139,M249 | 岩浆,25,7.28,8.63,1.19,2024-06-17
M249,久经沙场,StatTrak™,773661,M249（StatTrak™） | 阿兹特克,101,6.73,8.92,1.33,2024-06-17
M249,战痕累累,普通,35135,M249 | 岩浆,18,6.71,9.65,1.44,2024-06-17
M249,久经沙场,普通,35137,M249 | 岩浆,99,6.65,8.63,1.3,2024-06-17
M249,略有磨损,普通,835466,M249 | 等高线,43,6.52,7.47,1.15,2024-06-17
M249,破损不堪,普通,775733,M249 | 战隼,15,6.51,8.85,1.36,2024-06-17
M249,战痕累累,普通,35140,M249 | 星云十字军,45,6.48,7.76,1.2,2024-06-17
M249,久经沙场,普通,835462,M249 | 等高线,56,6.3,7.62,1.21,2024-06-17
M249,略有磨损,普通,773656,M249 | 阿兹特克,140,5.85,8.34,1.43,2024-06-17
M249,崭新出厂,StatTrak™,38771,M249（StatTrak™） | 鬼影,128,5.66,9.0,1.59,2024-06-17
M249,破损不堪,普通,835476,M249 | 等高线,67,5.53,8.92,1.61,2024-06-17
M249,战痕累累,StatTrak™,773739,M249（StatTrak™） | 阿兹特克,36,5.36,6.02,1.12,2024-06-17
M249,久经沙场,StatTrak™,775045,M249（StatTrak™） | 战隼,72,5.12,6.67,1.3,2024-06-17
M249,略有磨损,普通,900489,M249 | 闹市区,1108,5.09,7.18,1.41,2024-06-17
M249,战痕累累,StatTrak™,776167,M249（StatTrak™） | 战隼,13,4.98,6.17,1.24,2024-06-17
M249,崭新出厂,纪念品,37702,M249（纪念品） | 对比涂装,48,4.92,7.18,1.46,2024-06-17
M249,略有磨损,StatTrak™,38778,M249（StatTrak™） | 系统锁定,72,4.9,6.17,1.26,2024-06-17
M249,破损不堪,StatTrak™,900642,M249（StatTrak™） | 闹市区,22,4.86,5.66,1.16,2024-06-17
M249,久经沙场,StatTrak™,900542,M249（StatTrak™） | 闹市区,262,4.79,6.89,1.44,2024-06-17
M249,战痕累累,普通,835596,M249 | 等高线,30,4.79,7.47,1.56,2024-06-17
M249,略有磨损,StatTrak™,857572,M249（StatTrak™） | O.S.I.P.R.,89,4.43,6.17,1.39,2024-06-17
M249,战痕累累,StatTrak™,900567,M249（StatTrak™） | 闹市区,56,4.19,5.37,1.28,2024-06-17
M249,略有磨损,普通,835571,M249 | 捕食者,171,4.13,5.22,1.26,2024-06-17
M249,久经沙场,普通,835339,M249 | 捕食者,95,3.99,5.01,1.26,2024-06-17
M249,破损不堪,普通,773761,M249 | 阿兹特克,13,3.96,3.99,1.01,2024-06-17
M249,战痕累累,普通,773707,M249 | 阿兹特克,15,3.87,3.92,1.01,2024-06-17
M249,战痕累累,普通,35111,M249 | 对比涂装,30,3.85,3.92,1.02,2024-06-17
M249,破损不堪,普通,835698,M249 | 捕食者,15,3.83,4.64,1.21,2024-06-17
M249,略有磨损,普通,774991,M249 | 战隼,73,3.83,5.8,1.51,2024-06-17
M249,战痕累累,普通,835447,M249 | 捕食者,40,3.81,4.57,1.2,2024-06-17
M249,久经沙场,普通,773631,M249 | 阿兹特克,212,3.81,5.01,1.31,2024-06-17
M249,久经沙场,普通,35113,M249 | 对比涂装,45,3.75,4.35,1.16,2024-06-17
M249,破损不堪,普通,35115,M249 | 对比涂装,31,3.67,4.21,1.15,2024-06-17
M249,久经沙场,StatTrak™,835578,M249（StatTrak™） | 等高线,72,3.32,4.43,1.33,2024-06-17
M249,久经沙场,StatTrak™,38777,M249（StatTrak™） | 系统锁定,79,3.07,4.14,1.35,2024-06-17
M249,崭新出厂,普通,35156,M249 | 系统锁定,145,3.06,4.35,1.42,2024-06-17
M249,久经沙场,普通,900478,M249 | 闹市区,1686,2.89,3.99,1.38,2024-06-17
M249,破损不堪,StatTrak™,835621,M249（StatTrak™） | 等高线,26,2.85,3.55,1.25,2024-06-17
M249,破损不堪,StatTrak™,38779,M249（StatTrak™） | 系统锁定,20,2.76,3.7,1.34,2024-06-17
M249,破损不堪,普通,900538,M249 | 闹市区,134,2.64,3.48,1.32,2024-06-17
M249,战痕累累,普通,775048,M249 | 战隼,46,2.59,2.76,1.07,2024-06-17
M249,崭新出厂,普通,857528,M249 | O.S.I.P.R.,253,2.58,3.34,1.29,2024-06-17
M249,战痕累累,StatTrak™,835833,M249（StatTrak™） | 等高线,19,2.57,3.7,1.44,2024-06-17
M249,久经沙场,普通,775044,M249 | 战隼,138,2.57,3.63,1.41,2024-06-17
M249,略有磨损,StatTrak™,38773,M249（StatTrak™） | 鬼影,99,2.53,3.41,1.35,2024-06-17
M249,战痕累累,StatTrak™,38775,M249（StatTrak™） | 系统锁定,27,2.37,2.9,1.22,2024-06-17
M249,战痕累累,普通,900517,M249 | 闹市区,126,2.13,2.83,1.33,2024-06-17
M249,久经沙场,StatTrak™,857631,M249（StatTrak™） | O.S.I.P.R.,247,2.03,2.68,1.32,2024-06-17
M249,略有磨损,普通,35157,M249 | 系统锁定,178,1.97,2.32,1.18,2024-06-17
M249,破损不堪,StatTrak™,857655,M249（StatTrak™） | O.S.I.P.R.,30,1.88,2.68,1.43,2024-06-17
M249,战痕累累,StatTrak™,857685,M249（StatTrak™） | O.S.I.P.R.,28,1.75,2.54,1.45,2024-06-17
M249,崭新出厂,普通,35151,M249 | 鬼影,470,1.34,1.74,1.3,2024-06-17
