M4A1 消音版,破损不堪,普通,872132,M4A1 消音型 | 紧迫危机,1,41110.6,3906.49,0.1,2024-06-17
M4A1 消音版,崭新出厂,纪念品,877427,M4A1 消音型（纪念品） | 冒险家乐园,5,34999.5,28558.96,0.82,2024-06-17
M4A1 消音版,崭新出厂,纪念品,877416,M4A1 消音型（纪念品） | 紧迫危机,7,21887.5,22325.78,1.02,2024-06-17
M4A1 消音版,崭新出厂,普通,35225,M4A1 消音型 | 骑士,26,21664,22097.76,1.02,2024-06-17
M4A1 消音版,战痕累累,StatTrak™,38824,M4A1 消音型（StatTrak™） | 守护者,1,19999.5,285.62,0.01,2024-06-17
M4A1 消音版,略有磨损,纪念品,37715,M4A1 消音型（纪念品） | 骑士,3,19999.5,13055.01,0.65,2024-06-17
M4A1 消音版,崭新出厂,普通,836236,M4A1 消音型 | 冒险家乐园,110,15398,15503.0,1.01,2024-06-17
M4A1 消音版,崭新出厂,纪念品,37714,M4A1 消音型（纪念品） | 骑士,54,12729.5,12984.57,1.02,2024-06-17
M4A1 消音版,崭新出厂,普通,872127,M4A1 消音型 | 紧迫危机,40,11998.5,12238.99,1.02,2024-06-17
M4A1 消音版,略有磨损,纪念品,877086,M4A1 消音型（纪念品） | 冒险家乐园,32,11356.5,11584.17,1.02,2024-06-17
M4A1 消音版,略有磨损,普通,835965,M4A1 消音型 | 冒险家乐园,57,10799.5,11015.98,1.02,2024-06-17
M4A1 消音版,略有磨损,普通,872120,M4A1 消音型 | 紧迫危机,13,7999.5,8159.98,1.02,2024-06-17
M4A1 消音版,略有磨损,纪念品,877380,M4A1 消音型（纪念品） | 紧迫危机,20,7998.5,7762.2,0.97,2024-06-17
M4A1 消音版,久经沙场,普通,835885,M4A1 消音型 | 冒险家乐园,47,6978.5,6936.02,0.99,2024-06-17
M4A1 消音版,崭新出厂,纪念品,45593,M4A1 消音型（纪念品） | 神来之作,15,6665.5,5783.38,0.87,2024-06-17
M4A1 消音版,略有磨损,普通,35217,M4A1 消音型 | 赤红新星,4,6498.5,6365.8,0.98,2024-06-17
M4A1 消音版,久经沙场,纪念品,877116,M4A1 消音型（纪念品） | 冒险家乐园,34,6288.38,6414.62,1.02,2024-06-17
M4A1 消音版,崭新出厂,普通,35216,M4A1 消音型 | 赤红新星,330,6084.5,6206.7,1.02,2024-06-17
M4A1 消音版,崭新出厂,StatTrak™,835769,M4A1 消音型（StatTrak™） | 印花集,188,5776.5,9448.0,1.64,2024-06-17
M4A1 消音版,崭新出厂,纪念品,761448,M4A1 消音型（纪念品） | 控制台,4,5565.5,6246.24,1.12,2024-06-17
M4A1 消音版,略有磨损,纪念品,37722,M4A1 消音型（纪念品） | 氮化处理,2,5479.5,4448.79,0.81,2024-06-17
M4A1 消音版,久经沙场,普通,872044,M4A1 消音型 | 紧迫危机,28,4798.5,10728.25,2.24,2024-06-17
M4A1 消音版,破损不堪,纪念品,890572,M4A1 消音型（纪念品） | 紧迫危机,1,4699.5,3999.14,0.85,2024-06-17
M4A1 消音版,破损不堪,普通,835909,M4A1 消音型 | 冒险家乐园,18,4387.5,8343.02,1.9,2024-06-17
M4A1 消音版,久经沙场,纪念品,877114,M4A1 消音型（纪念品） | 紧迫危机,22,4199.5,7871.02,1.87,2024-06-17
M4A1 消音版,破损不堪,纪念品,877087,M4A1 消音型（纪念品） | 冒险家乐园,17,4179,8331.41,1.99,2024-06-17
M4A1 消音版,战痕累累,普通,836075,M4A1 消音型 | 冒险家乐园,11,4149.5,6579.67,1.59,2024-06-17
M4A1 消音版,略有磨损,普通,835970,M4A1 消音型 | 澜磷,10,4097.5,7928.34,1.93,2024-06-17
M4A1 消音版,崭新出厂,普通,835547,M4A1 消音型 | 澜磷,635,4019.5,5662.08,1.41,2024-06-17
M4A1 消音版,战痕累累,纪念品,877379,M4A1 消音型（纪念品） | 冒险家乐园,13,3920.5,6762.42,1.72,2024-06-17
M4A1 消音版,战痕累累,纪念品,877107,M4A1 消音型（纪念品） | 紧迫危机,7,3698.5,11526.86,3.12,2024-06-17
M4A1 消音版,崭新出厂,普通,35223,M4A1 消音型 | 伊卡洛斯殒落,836,3258,4605.71,1.41,2024-06-17
M4A1 消音版,略有磨损,普通,35224,M4A1 消音型 | 伊卡洛斯殒落,31,3220.5,5005.81,1.55,2024-06-17
M4A1 消音版,略有磨损,StatTrak™,835861,M4A1 消音型（StatTrak™） | 印花集,196,2924.5,4389.08,1.5,2024-06-17
M4A1 消音版,略有磨损,纪念品,37712,M4A1 消音型（纪念品） | 北方森林,4,2887.5,3057.68,1.06,2024-06-17
M4A1 消音版,崭新出厂,普通,35233,M4A1 消音型 | 神来之作,46,2810.99,4248.05,1.51,2024-06-17
M4A1 消音版,崭新出厂,普通,835780,M4A1 消音型 | 印花集,726,2799.5,4102.59,1.47,2024-06-17
M4A1 消音版,崭新出厂,StatTrak™,38829,M4A1 消音型（StatTrak™） | 暴怒野兽,32,2354.8,4461.63,1.89,2024-06-17
M4A1 消音版,崭新出厂,StatTrak™,38820,M4A1 消音型（StatTrak™） | 金蛇缠绕,50,2257.5,3251.09,1.44,2024-06-17
M4A1 消音版,崭新出厂,StatTrak™,38800,M4A1 消音型（StatTrak™） | 女火神之炽焰,41,1710.5,2594.24,1.52,2024-06-17
M4A1 消音版,久经沙场,StatTrak™,835884,M4A1 消音型（StatTrak™） | 印花集,181,1699.5,2430.58,1.43,2024-06-17
M4A1 消音版,略有磨损,普通,835800,M4A1 消音型 | 印花集,1449,1669.5,2282.36,1.37,2024-06-17
M4A1 消音版,略有磨损,纪念品,37718,M4A1 消音型（纪念品） | 神来之作,71,1636.4,2296.29,1.4,2024-06-17
M4A1 消音版,略有磨损,普通,35235,M4A1 消音型 | 神来之作,49,1611,2176.44,1.35,2024-06-17
M4A1 消音版,破损不堪,StatTrak™,836150,M4A1 消音型（StatTrak™） | 印花集,6,1444.49,2168.17,1.5,2024-06-17
M4A1 消音版,崭新出厂,StatTrak™,779417,M4A1 消音型（StatTrak™） | 二号玩家,47,1299.5,2159.61,1.66,2024-06-17
M4A1 消音版,久经沙场,纪念品,37721,M4A1 消音型（纪念品） | 氮化处理,2,1139,1219.24,1.07,2024-06-17
M4A1 消音版,略有磨损,StatTrak™,38822,M4A1 消音型（StatTrak™） | 金蛇缠绕,75,1119.5,1689.93,1.51,2024-06-17
M4A1 消音版,久经沙场,普通,835624,M4A1 消音型 | 印花集,2077,1094,1540.48,1.41,2024-06-17
M4A1 消音版,战痕累累,StatTrak™,836050,M4A1 消音型（StatTrak™） | 印花集,15,1089.5,1607.45,1.48,2024-06-17
M4A1 消音版,崭新出厂,StatTrak™,38839,M4A1 消音型（StatTrak™） | 机械工业,89,1008.5,1601.57,1.59,2024-06-17
M4A1 消音版,久经沙场,普通,35234,M4A1 消音型 | 神来之作,38,954.29,1392.78,1.46,2024-06-17
M4A1 消音版,崭新出厂,普通,35207,M4A1 消音型 | 金蛇缠绕,258,944,1300.64,1.38,2024-06-17
M4A1 消音版,破损不堪,普通,835932,M4A1 消音型 | 印花集,58,909.5,1312.97,1.44,2024-06-17
M4A1 消音版,久经沙场,纪念品,37717,M4A1 消音型（纪念品） | 神来之作,60,897.5,1375.07,1.53,2024-06-17
M4A1 消音版,略有磨损,StatTrak™,38808,M4A1 消音型（StatTrak™） | 黑水,92,887.85,1401.63,1.58,2024-06-17
M4A1 消音版,略有磨损,纪念品,761640,M4A1 消音型（纪念品） | 控制台,30,868.39,1604.18,1.85,2024-06-17
M4A1 消音版,久经沙场,StatTrak™,38807,M4A1 消音型（StatTrak™） | 黑水,42,824.5,1151.84,1.4,2024-06-17
M4A1 消音版,崭新出厂,StatTrak™,38781,M4A1 消音型（StatTrak™） | 原子合金,67,819.5,1161.06,1.42,2024-06-17
M4A1 消音版,崭新出厂,普通,35219,M4A1 消音型 | 暴怒野兽,141,807.5,1094.17,1.36,2024-06-17
M4A1 消音版,略有磨损,StatTrak™,38831,M4A1 消音型（StatTrak™） | 暴怒野兽,72,759.5,956.55,1.26,2024-06-17
M4A1 消音版,崭新出厂,StatTrak™,43920,M4A1 消音型（StatTrak™） | 次时代,115,738.5,1078.79,1.46,2024-06-17
M4A1 消音版,久经沙场,StatTrak™,38821,M4A1 消音型（StatTrak™） | 金蛇缠绕,74,732.7,1060.65,1.45,2024-06-17
M4A1 消音版,崭新出厂,普通,35185,M4A1 消音型 | 女火神之炽焰,166,690.4,1044.69,1.51,2024-06-17
M4A1 消音版,破损不堪,普通,35236,M4A1 消音型 | 神来之作,15,678.5,937.9,1.38,2024-06-17
M4A1 消音版,战痕累累,普通,835645,M4A1 消音型 | 印花集,165,667.2,913.38,1.37,2024-06-17
M4A1 消音版,崭新出厂,普通,779333,M4A1 消音型 | 二号玩家,338,597.99,813.99,1.36,2024-06-17
M4A1 消音版,破损不堪,纪念品,37719,M4A1 消音型（纪念品） | 神来之作,41,593.49,931.37,1.57,2024-06-17
M4A1 消音版,略有磨损,StatTrak™,38802,M4A1 消音型（StatTrak™） | 女火神之炽焰,97,587,844.1,1.44,2024-06-17
M4A1 消音版,略有磨损,StatTrak™,38841,M4A1 消音型（StatTrak™） | 机械工业,154,580.99,845.18,1.45,2024-06-17
M4A1 消音版,崭新出厂,StatTrak™,759372,M4A1 消音型（StatTrak™） | 梦魇,69,579.5,892.05,1.54,2024-06-17
M4A1 消音版,略有磨损,StatTrak™,779412,M4A1 消音型（StatTrak™） | 二号玩家,117,579,864.99,1.49,2024-06-17
M4A1 消音版,略有磨损,普通,35195,M4A1 消音型 | 黑水,174,572.5,766.32,1.34,2024-06-17
M4A1 消音版,略有磨损,StatTrak™,38783,M4A1 消音型（StatTrak™） | 原子合金,113,558,718.15,1.29,2024-06-17
M4A1 消音版,战痕累累,纪念品,37716,M4A1 消音型（纪念品） | 神来之作,23,552.5,870.79,1.58,2024-06-17
M4A1 消音版,战痕累累,普通,35232,M4A1 消音型 | 神来之作,15,547.35,789.25,1.44,2024-06-17
M4A1 消音版,略有磨损,普通,35209,M4A1 消音型 | 金蛇缠绕,412,539.5,725.48,1.34,2024-06-17
M4A1 消音版,崭新出厂,StatTrak™,38825,M4A1 消音型（StatTrak™） | 守护者,174,526.46,774.23,1.47,2024-06-17
M4A1 消音版,久经沙场,普通,35194,M4A1 消音型 | 黑水,70,513,707.05,1.38,2024-06-17
M4A1 消音版,破损不堪,StatTrak™,38806,M4A1 消音型（StatTrak™） | 次时代,2,499.49,414.18,0.83,2024-06-17
M4A1 消音版,破损不堪,StatTrak™,38823,M4A1 消音型（StatTrak™） | 金蛇缠绕,15,498.5,696.46,1.4,2024-06-17
M4A1 消音版,战痕累累,普通,776035,M4A1 消音型 | 苔藓石英,2,497.5,445.23,0.89,2024-06-17
M4A1 消音版,略有磨损,StatTrak™,38805,M4A1 消音型（StatTrak™） | 次时代,109,496.5,677.74,1.37,2024-06-17
M4A1 消音版,崭新出厂,普通,35238,M4A1 消音型 | 机械工业,402,494.5,667.66,1.35,2024-06-17
M4A1 消音版,破损不堪,StatTrak™,38842,M4A1 消音型（StatTrak™） | 机械工业,2,487.5,480.63,0.99,2024-06-17
M4A1 消音版,久经沙场,纪念品,37711,M4A1 消音型（纪念品） | 北方森林,10,487.5,597.87,1.23,2024-06-17
M4A1 消音版,崭新出厂,普通,35160,M4A1 消音型 | 原子合金,255,476.5,689.21,1.45,2024-06-17
M4A1 消音版,崭新出厂,StatTrak™,38810,M4A1 消音型（StatTrak™） | 毁灭者 2000,99,471.7,667.15,1.41,2024-06-17
M4A1 消音版,崭新出厂,普通,774977,M4A1 消音型 | 苔藓石英,133,439.5,626.96,1.43,2024-06-17
M4A1 消音版,战痕累累,StatTrak™,38819,M4A1 消音型（StatTrak™） | 金蛇缠绕,11,439.49,525.68,1.2,2024-06-17
M4A1 消音版,崭新出厂,StatTrak™,956614,M4A1 消音型（StatTrak™） | 黑莲花,81,414.5,557.68,1.35,2024-06-17
M4A1 消音版,略有磨损,普通,35187,M4A1 消音型 | 女火神之炽焰,294,411.49,541.86,1.32,2024-06-17
M4A1 消音版,久经沙场,纪念品,761585,M4A1 消音型（纪念品） | 控制台,38,409.72,553.4,1.35,2024-06-17
