MP7,崭新出厂,纪念品,756679,MP7（纪念品） | 陆军斥候,1,9998.5,1142.41,0.11,2024-06-17
MP7,崭新出厂,普通,35622,MP7 | 银装素裹,10,2920.5,5303.19,1.82,2024-06-17
MP7,久经沙场,普通,774883,MP7 | 青之绽放,4,887,1161.06,1.31,2024-06-17
MP7,崭新出厂,普通,775880,MP7 | 青之绽放,11,829.5,1075.6,1.3,2024-06-17
MP7,略有磨损,普通,775725,MP7 | 青之绽放,11,778.83,1386.32,1.78,2024-06-17
MP7,崭新出厂,纪念品,37788,MP7（纪念品） | 深蓝电镀处理,11,545.49,988.32,1.81,2024-06-17
MP7,战痕累累,纪念品,37789,MP7（纪念品） | 陆军斥候,3,499.5,174.12,0.35,2024-06-17
MP7,略有磨损,普通,35624,MP7 | 银装素裹,43,449.4,732.59,1.63,2024-06-17
MP7,战痕累累,普通,35576,MP7 | 逮捕者,1,247.5,274.16,1.11,2024-06-17
MP7,战痕累累,普通,35600,MP7 | 橄榄格纹,10,219.98,47.88,0.22,2024-06-17
MP7,崭新出厂,普通,35577,MP7 | 逮捕者,14,204.48,300.64,1.47,2024-06-17
MP7,崭新出厂,普通,35582,MP7 | 地下水,4,199.5,270.89,1.36,2024-06-17
MP7,久经沙场,普通,35578,MP7 | 逮捕者,7,195.5,237.3,1.21,2024-06-17
MP7,略有磨损,普通,35579,MP7 | 逮捕者,1,189.5,288.67,1.52,2024-06-17
MP7,崭新出厂,纪念品,37799,MP7（纪念品） | 橘皮涂装,4,179,174.12,0.97,2024-06-17
MP7,崭新出厂,普通,35606,MP7 | 橘皮涂装,3,179,185.72,1.04,2024-06-17
MP7,崭新出厂,纪念品,761368,MP7（纪念品） | 渐变之色,113,178.38,263.86,1.48,2024-06-17
MP7,崭新出厂,StatTrak™,39027,MP7（StatTrak™） | 复仇者,64,169.2,229.69,1.36,2024-06-17
MP7,略有磨损,StatTrak™,39033,MP7（StatTrak™） | 死亡骷髅,43,163.95,206.25,1.26,2024-06-17
MP7,略有磨损,普通,35611,MP7 | 死亡骷髅,40,161.04,221.05,1.37,2024-06-17
MP7,久经沙场,普通,35610,MP7 | 死亡骷髅,32,158,208.21,1.32,2024-06-17
MP7,久经沙场,StatTrak™,39032,MP7（StatTrak™） | 死亡骷髅,26,154.38,211.7,1.37,2024-06-17
MP7,略有磨损,纪念品,761373,MP7（纪念品） | 渐变之色,68,114.96,161.85,1.41,2024-06-17
MP7,久经沙场,纪念品,761453,MP7（纪念品） | 渐变之色,17,109,141.47,1.3,2024-06-17
MP7,破损不堪,纪念品,37792,MP7（纪念品） | 陆军斥候,5,108.5,137.26,1.27,2024-06-17
MP7,崭新出厂,StatTrak™,45448,MP7（StatTrak™） | 血腥运动,88,104.5,147.27,1.41,2024-06-17
MP7,破损不堪,普通,35609,MP7 | 橘皮涂装,4,98.9,123.26,1.25,2024-06-17
MP7,略有磨损,普通,35608,MP7 | 橘皮涂装,10,94.8,105.19,1.11,2024-06-17
MP7,崭新出厂,StatTrak™,887073,MP7（StatTrak™） | 幽幻深渊,77,90.56,129.79,1.43,2024-06-17
MP7,久经沙场,普通,35607,MP7 | 橘皮涂装,18,88.49,115.64,1.31,2024-06-17
MP7,略有磨损,StatTrak™,39029,MP7（StatTrak™） | 复仇者,32,87.98,114.48,1.3,2024-06-17
