MP9,崭新出厂,普通,776185,MP9 | 野百合,42,16499.5,15810.02,0.96,2024-06-17
MP9,略有磨损,普通,776341,MP9 | 野百合,3,15287.5,14290.21,0.93,2024-06-17
MP9,久经沙场,普通,776582,MP9 | 野百合,2,14554.5,14075.98,0.97,2024-06-17
MP9,崭新出厂,普通,45158,MP9 | 威吓者,13,4558.5,6721.5,1.47,2024-06-17
MP9,略有磨损,普通,35637,MP9 | 威吓者,27,1298.5,3475.7,2.68,2024-06-17
MP9,略有磨损,普通,35641,MP9 | 黑暗时代,1,1249,1366.95,1.09,2024-06-17
MP9,崭新出厂,普通,35676,MP9 | 潘多拉魔盒,31,1039.5,1478.38,1.42,2024-06-17
MP9,略有磨损,普通,35668,MP9 | 赤红新星,3,987.5,1290.63,1.31,2024-06-17
MP9,久经沙场,普通,35677,MP9 | 潘多拉魔盒,1,887.38,2426.59,2.73,2024-06-17
MP9,略有磨损,普通,35678,MP9 | 潘多拉魔盒,5,878,1253.7,1.43,2024-06-17
MP9,崭新出厂,普通,35639,MP9 | 黑暗时代,23,809.5,1230.85,1.52,2024-06-17
MP9,久经沙场,普通,35640,MP9 | 黑暗时代,3,779.5,2012.63,2.58,2024-06-17
MP9,略有磨损,纪念品,37807,MP9（纪念品） | 赤红新星,8,724.5,1305.86,1.8,2024-06-17
MP9,崭新出厂,纪念品,37806,MP9（纪念品） | 赤红新星,303,724.5,1188.92,1.64,2024-06-17
MP9,崭新出厂,普通,35667,MP9 | 赤红新星,137,724.5,979.25,1.35,2024-06-17
MP9,崭新出厂,普通,776034,MP9 | 彩绘玻璃,110,696.5,905.69,1.3,2024-06-17
MP9,略有磨损,普通,775902,MP9 | 彩绘玻璃,13,659.49,979.25,1.48,2024-06-17
MP9,久经沙场,普通,775934,MP9 | 彩绘玻璃,10,632.4,836.77,1.32,2024-06-17
MP9,久经沙场,普通,35636,MP9 | 威吓者,36,465.46,643.5,1.38,2024-06-17
MP9,破损不堪,普通,35638,MP9 | 威吓者,1,424.5,583.79,1.38,2024-06-17
MP9,崭新出厂,纪念品,37818,MP9（纪念品） | 落日,34,419.5,887.91,2.12,2024-06-17
MP9,久经沙场,纪念品,37809,MP9（纪念品） | 橘皮涂装,3,399.5,257.47,0.64,2024-06-17
MP9,战痕累累,普通,35635,MP9 | 威吓者,3,387.5,542.3,1.4,2024-06-17
MP9,崭新出厂,StatTrak™,887055,MP9（StatTrak™） | 星使,130,347.5,547.59,1.58,2024-06-17
MP9,崭新出厂,StatTrak™,773820,MP9（StatTrak™） | 九头蛇,20,310.36,446.75,1.44,2024-06-17
MP9,崭新出厂,StatTrak™,39069,MP9（StatTrak™） | 蛊惑之色,43,274.49,302.02,1.1,2024-06-17
MP9,崭新出厂,普通,35653,MP9 | 干旱季节,5,204.93,326.47,1.59,2024-06-17
MP9,略有磨损,StatTrak™,39070,MP9（StatTrak™） | 蛊惑之色,15,199.5,315.51,1.58,2024-06-17
MP9,崭新出厂,普通,35701,MP9 | 暴风呼啸,8,188.75,330.17,1.75,2024-06-17
MP9,崭新出厂,StatTrak™,39045,MP9（StatTrak™） | 气密,61,184.5,257.33,1.39,2024-06-17
MP9,破损不堪,普通,871551,MP9 | 八音盒,4,168.5,154.02,0.91,2024-06-17
MP9,崭新出厂,StatTrak™,857545,MP9（StatTrak™） | 爆裂食物链,60,167.38,240.35,1.44,2024-06-17
MP9,崭新出厂,StatTrak™,871287,MP9（StatTrak™） | 富士山,154,162,225.7,1.39,2024-06-17
MP9,崭新出厂,普通,871218,MP9 | 八音盒,33,119.5,158.81,1.33,2024-06-17
