内格夫,崭新出厂,普通,776532,内格夫 | 雷神之锤,36,15787.5,14871.61,0.94,2024-06-17
内格夫,久经沙场,普通,776076,内格夫 | 雷神之锤,3,14499,14585.99,1.01,2024-06-17
内格夫,略有磨损,普通,776552,内格夫 | 雷神之锤,4,14449.5,13362.04,0.92,2024-06-17
内格夫,崭新出厂,普通,35737,内格夫 | 深蓝电镀处理,6,2799,3627.33,1.3,2024-06-17
内格夫,略有磨损,StatTrak™,39134,内格夫（StatTrak™） | 大嘴巴,9,214,355.99,1.66,2024-06-17
内格夫,崭新出厂,StatTrak™,39138,内格夫（StatTrak™） | 动力装载机,86,187.88,265.6,1.41,2024-06-17
内格夫,战痕累累,普通,872020,内格夫 | 基础建设,3,178.36,174.48,0.98,2024-06-17
内格夫,崭新出厂,StatTrak™,39119,内格夫（StatTrak™） | *哒哒哒*,18,163.09,209.08,1.28,2024-06-17
内格夫,略有磨损,普通,35750,内格夫 | 加州迷彩,5,99.99,116.0,1.16,2024-06-17
内格夫,破损不堪,普通,835998,内格夫 | 凤凰徽记,7,97.18,250.07,2.57,2024-06-17
内格夫,崭新出厂,普通,835785,内格夫 | 凤凰徽记,66,95.3,134.29,1.41,2024-06-17
内格夫,崭新出厂,普通,871360,内格夫 | 基础建设,13,94.9,147.42,1.55,2024-06-17
内格夫,崭新出厂,普通,35748,内格夫 | 加州迷彩,14,93.9,144.95,1.54,2024-06-17
内格夫,略有磨损,普通,871814,内格夫 | 基础建设,4,91.56,128.63,1.4,2024-06-17
内格夫,破损不堪,普通,35775,内格夫 | 棕榈色,1,90.3,44.62,0.49,2024-06-17
内格夫,久经沙场,普通,871284,内格夫 | 基础建设,12,89.9,138.13,1.54,2024-06-17
内格夫,略有磨损,普通,835740,内格夫 | 凤凰徽记,29,89.26,124.78,1.4,2024-06-17
内格夫,久经沙场,普通,35749,内格夫 | 加州迷彩,13,87.16,116.22,1.33,2024-06-17
内格夫,久经沙场,普通,835554,内格夫 | 凤凰徽记,22,85.9,126.45,1.47,2024-06-17
内格夫,破损不堪,普通,35751,内格夫 | 加州迷彩,2,82.89,132.91,1.6,2024-06-17
内格夫,战痕累累,普通,835893,内格夫 | 凤凰徽记,7,81.78,123.91,1.52,2024-06-17
内格夫,战痕累累,普通,35747,内格夫 | 加州迷彩,3,81.02,115.71,1.43,2024-06-17
内格夫,略有磨损,StatTrak™,39140,内格夫（StatTrak™） | 动力装载机,139,71.78,106.86,1.49,2024-06-17
内格夫,略有磨损,普通,35774,内格夫 | 棕榈色,9,66.55,57.89,0.87,2024-06-17
内格夫,崭新出厂,普通,35743,内格夫 | *哒哒哒*,29,50.6,80.38,1.59,2024-06-17
内格夫,战痕累累,普通,35771,内格夫 | 棕榈色,16,45.06,65.66,1.46,2024-06-17
内格夫,崭新出厂,普通,35777,内格夫 | 动力装载机,285,40.89,53.9,1.32,2024-06-17
内格夫,略有磨损,普通,35763,内格夫 | 大嘴巴,29,38.05,51.07,1.34,2024-06-17
内格夫,略有磨损,StatTrak™,39121,内格夫（StatTrak™） | *哒哒哒*,34,32.7,47.01,1.44,2024-06-17
内格夫,久经沙场,StatTrak™,39139,内格夫（StatTrak™） | 动力装载机,132,32.68,47.95,1.47,2024-06-17
内格夫,崭新出厂,普通,775066,内格夫 | 巴洛克之沙,38,29.9,43.89,1.47,2024-06-17
内格夫,久经沙场,普通,35773,内格夫 | 棕榈色,20,27.83,44.18,1.59,2024-06-17
内格夫,崭新出厂,纪念品,37832,内格夫（纪念品） | 核子废渣,305,26.59,37.94,1.43,2024-06-17
内格夫,崭新出厂,StatTrak™,857516,内格夫（StatTrak™） | 橙灰之名,131,20.4,30.03,1.47,2024-06-17
内格夫,崭新出厂,普通,35767,内格夫 | 核子废渣,18,19.59,26.12,1.33,2024-06-17
内格夫,略有磨损,普通,35779,内格夫 | 动力装载机,243,19.2,24.16,1.26,2024-06-17
内格夫,战痕累累,纪念品,877260,内格夫（纪念品） | 基础建设,10,18.91,2.61,0.14,2024-06-17
内格夫,久经沙场,普通,35768,内格夫 | 核子废渣,23,18.88,23.14,1.23,2024-06-17
内格夫,崭新出厂,StatTrak™,45323,内格夫（StatTrak™） | 狮子鱼,112,18.7,25.83,1.38,2024-06-17
内格夫,略有磨损,普通,35769,内格夫 | 核子废渣,9,17.9,21.26,1.19,2024-06-17
内格夫,破损不堪,StatTrak™,39141,内格夫（StatTrak™） | 动力装载机,45,17.8,27.79,1.56,2024-06-17
内格夫,略有磨损,普通,35745,内格夫 | *哒哒哒*,37,16.61,24.59,1.48,2024-06-17
内格夫,久经沙场,StatTrak™,39120,内格夫（StatTrak™） | *哒哒哒*,22,15.89,22.49,1.42,2024-06-17
内格夫,破损不堪,纪念品,37835,内格夫（纪念品） | 核子废渣,13,15.41,26.26,1.7,2024-06-17
内格夫,略有磨损,普通,774913,内格夫 | 巴洛克之沙,23,14.4,18.14,1.26,2024-06-17
内格夫,略有磨损,StatTrak™,39125,内格夫（StatTrak™） | 眩目,94,14.4,20.82,1.45,2024-06-17
内格夫,崭新出厂,纪念品,37828,内格夫（纪念品） | 加州迷彩,107,14.19,18.64,1.31,2024-06-17
内格夫,略有磨损,纪念品,37834,内格夫（纪念品） | 核子废渣,267,13.8,21.11,1.53,2024-06-17
内格夫,破损不堪,普通,35770,内格夫 | 核子废渣,8,13.33,22.13,1.66,2024-06-17
内格夫,崭新出厂,纪念品,761457,内格夫（纪念品） | 舱壁,265,13.18,16.11,1.22,2024-06-17
内格夫,战痕累累,StatTrak™,39137,内格夫（StatTrak™） | 动力装载机,45,12.16,15.67,1.29,2024-06-17
内格夫,久经沙场,普通,35744,内格夫 | *哒哒哒*,23,11.89,14.29,1.2,2024-06-17
内格夫,崭新出厂,StatTrak™,39142,内格夫（StatTrak™） | 青绿地形,94,11.8,14.58,1.24,2024-06-17
内格夫,破损不堪,StatTrak™,39122,内格夫（StatTrak™） | *哒哒哒*,17,10.3,15.53,1.51,2024-06-17
内格夫,战痕累累,StatTrak™,39118,内格夫（StatTrak™） | *哒哒哒*,23,10.07,15.16,1.51,2024-06-17
内格夫,破损不堪,StatTrak™,43927,内格夫（StatTrak™） | 大嘴巴,4,9.9,15.16,1.53,2024-06-17
内格夫,久经沙场,普通,774866,内格夫 | 巴洛克之沙,60,9.71,12.62,1.3,2024-06-17
内格夫,破损不堪,纪念品,37831,内格夫（纪念品） | 加州迷彩,23,9.18,13.13,1.43,2024-06-17
内格夫,久经沙场,普通,35778,内格夫 | 动力装载机,297,9.16,11.97,1.31,2024-06-17
内格夫,崭新出厂,纪念品,876970,内格夫（纪念品） | 基础建设,55,8.99,14.15,1.57,2024-06-17
内格夫,久经沙场,StatTrak™,39133,内格夫（StatTrak™） | 大嘴巴,126,8.99,13.42,1.49,2024-06-17
内格夫,破损不堪,普通,35746,内格夫 | *哒哒哒*,19,8.97,12.12,1.35,2024-06-17
内格夫,破损不堪,普通,775208,内格夫 | 巴洛克之沙,27,8.7,11.17,1.28,2024-06-17
内格夫,战痕累累,普通,774904,内格夫 | 巴洛克之沙,21,8.63,11.39,1.32,2024-06-17
内格夫,略有磨损,StatTrak™,857629,内格夫（StatTrak™） | 橙灰之名,151,8.31,11.24,1.35,2024-06-17
内格夫,略有磨损,纪念品,37830,内格夫（纪念品） | 加州迷彩,122,8.15,11.1,1.36,2024-06-17
内格夫,战痕累累,纪念品,37827,内格夫（纪念品） | 加州迷彩,17,7.97,11.83,1.48,2024-06-17
内格夫,崭新出厂,StatTrak™,779379,内格夫（StatTrak™） | 原型机,163,7.95,11.83,1.49,2024-06-17
内格夫,战痕累累,普通,35742,内格夫 | *哒哒哒*,26,7.91,10.95,1.38,2024-06-17
内格夫,略有磨损,StatTrak™,45325,内格夫（StatTrak™） | 狮子鱼,121,7.83,10.88,1.39,2024-06-17
内格夫,久经沙场,纪念品,37833,内格夫（纪念品） | 核子废渣,286,7.69,11.46,1.49,2024-06-17
内格夫,战痕累累,StatTrak™,39132,内格夫（StatTrak™） | 大嘴巴,14,7.38,9.0,1.22,2024-06-17
内格夫,崭新出厂,普通,857623,内格夫 | 橙灰之名,299,7.06,10.01,1.42,2024-06-17
内格夫,略有磨损,纪念品,761494,内格夫（纪念品） | 舱壁,188,6.96,9.21,1.32,2024-06-17
内格夫,略有磨损,纪念品,876987,内格夫（纪念品） | 基础建设,30,6.81,7.76,1.14,2024-06-17
内格夫,崭新出厂,普通,45277,内格夫 | 狮子鱼,339,6.79,9.72,1.43,2024-06-17
内格夫,略有磨损,StatTrak™,39144,内格夫（StatTrak™） | 青绿地形,88,6.52,8.42,1.29,2024-06-17
内格夫,破损不堪,纪念品,877084,内格夫（纪念品） | 基础建设,11,6.32,17.12,2.71,2024-06-17
内格夫,崭新出厂,StatTrak™,900629,内格夫（StatTrak™） | 丢把枪,87,6.18,8.71,1.41,2024-06-17
内格夫,破损不堪,StatTrak™,39145,内格夫（StatTrak™） | 青绿地形,17,5.58,8.49,1.52,2024-06-17
内格夫,破损不堪,普通,781542,内格夫 | 飞羽,69,0.22,0.51,2.32,2024-06-17
内格夫,破损不堪,普通,762138,内格夫 | 舱壁,52,0.19,0.44,2.32,2024-06-17
内格夫,战痕累累,普通,762210,内格夫 | 舱壁,69,0.18,0.44,2.44,2024-06-17
内格夫,崭新出厂,普通,35739,内格夫 | 军队之辉,775,0.11,0.29,2.64,2024-06-17
内格夫,略有磨损,普通,35741,内格夫 | 军队之辉,603,0.08,0.29,3.62,2024-06-17
内格夫,久经沙场,普通,35740,内格夫 | 军队之辉,170,0.06,0.29,4.83,2024-06-17
内格夫,破损不堪,普通,781542,内格夫 | 飞羽,69,0.22,0.51,2.32,2024-06-17
内格夫,破损不堪,普通,762138,内格夫 | 舱壁,51,0.19,0.44,2.32,2024-06-17
内格夫,战痕累累,普通,762210,内格夫 | 舱壁,69,0.18,0.44,2.44,2024-06-17
内格夫,崭新出厂,普通,35739,内格夫 | 军队之辉,775,0.11,0.29,2.64,2024-06-17
内格夫,略有磨损,普通,35741,内格夫 | 军队之辉,603,0.08,0.29,3.62,2024-06-17
内格夫,久经沙场,普通,35740,内格夫 | 军队之辉,170,0.06,0.29,4.83,2024-06-17
内格夫,破损不堪,普通,781542,内格夫 | 飞羽,69,0.22,0.51,2.32,2024-06-17
内格夫,破损不堪,普通,762138,内格夫 | 舱壁,51,0.19,0.44,2.32,2024-06-17
内格夫,战痕累累,普通,762210,内格夫 | 舱壁,69,0.18,0.44,2.44,2024-06-17
内格夫,崭新出厂,普通,35739,内格夫 | 军队之辉,775,0.11,0.29,2.64,2024-06-17
内格夫,略有磨损,普通,35741,内格夫 | 军队之辉,603,0.08,0.29,3.62,2024-06-17
内格夫,久经沙场,普通,35740,内格夫 | 军队之辉,170,0.06,0.29,4.83,2024-06-17
内格夫,破损不堪,普通,781542,内格夫 | 飞羽,69,0.22,0.51,2.32,2024-06-17
内格夫,破损不堪,普通,762138,内格夫 | 舱壁,51,0.19,0.44,2.32,2024-06-17
内格夫,战痕累累,普通,762210,内格夫 | 舱壁,69,0.18,0.44,2.44,2024-06-17
内格夫,崭新出厂,普通,35739,内格夫 | 军队之辉,775,0.11,0.29,2.64,2024-06-17
内格夫,略有磨损,普通,35741,内格夫 | 军队之辉,603,0.08,0.29,3.62,2024-06-17
内格夫,久经沙场,普通,35740,内格夫 | 军队之辉,170,0.06,0.29,4.83,2024-06-17
