新星,久经沙场,普通,35795,新星 | 樱花之绚烂,67,41.9,55.93,1.33,2024-06-17
新星,略有磨损,StatTrak™,39161,新星（StatTrak™） | 幽灵迷彩,18,41.69,56.73,1.36,2024-06-17
新星,崭新出厂,普通,35860,新星 | 惊惧骷髅,61,40.6,58.04,1.43,2024-06-17
新星,久经沙场,StatTrak™,39160,新星（StatTrak™） | 幽灵迷彩,20,40.46,50.86,1.26,2024-06-17
新星,崭新出厂,普通,35840,新星 | 天秤之月,65,40.19,51.44,1.28,2024-06-17
新星,崭新出厂,纪念品,37843,新星（纪念品） | 极地网格,14,39.9,60.87,1.53,2024-06-17
新星,崭新出厂,普通,835599,新星 | 一见青心,70,39.7,54.63,1.38,2024-06-17
新星,略有磨损,普通,35842,新星 | 天秤之月,18,39.67,52.52,1.32,2024-06-17
新星,破损不堪,普通,35843,新星 | 天秤之月,9,38.72,42.59,1.1,2024-06-17
新星,久经沙场,纪念品,37854,新星（纪念品） | 沙丘之黄,14,38.65,64.57,1.67,2024-06-17
新星,略有磨损,普通,35862,新星 | 惊惧骷髅,16,37.37,50.93,1.36,2024-06-17
新星,略有磨损,普通,871388,新星 | 晶红石英,65,36.89,46.79,1.27,2024-06-17
新星,破损不堪,普通,35797,新星 | 樱花之绚烂,2,35.59,53.47,1.5,2024-06-17
新星,久经沙场,普通,35841,新星 | 天秤之月,22,35.09,39.83,1.14,2024-06-17
新星,战痕累累,普通,35793,新星 | 樱花之绚烂,14,34.9,49.7,1.42,2024-06-17
新星,战痕累累,普通,35809,新星 | 森林之叶,5,34.65,14.22,0.41,2024-06-17
新星,久经沙场,普通,35861,新星 | 惊惧骷髅,24,33.9,48.61,1.43,2024-06-17
新星,破损不堪,普通,871664,新星 | 晶红石英,8,31.77,33.66,1.06,2024-06-17
新星,久经沙场,普通,927376,新星 | 索贝克之噬,185,29.9,40.92,1.37,2024-06-17
新星,久经沙场,纪念品,37840,新星（纪念品） | 绿苹果,42,28.87,41.86,1.45,2024-06-17
新星,久经沙场,普通,871516,新星 | 晶红石英,28,28.67,38.89,1.36,2024-06-17
新星,久经沙场,纪念品,929051,新星（纪念品） | 索贝克之噬,49,28.62,40.41,1.41,2024-06-17
新星,破损不堪,普通,35817,新星 | 幽灵迷彩,10,28.23,19.37,0.69,2024-06-17
新星,略有磨损,普通,35874,新星 | 胡桃木,49,28.11,43.53,1.55,2024-06-17
新星,战痕累累,普通,35859,新星 | 惊惧骷髅,5,27.9,41.86,1.5,2024-06-17
新星,崭新出厂,StatTrak™,39173,新星（StatTrak™） | 锦鲤,164,27.3,35.19,1.29,2024-06-17
新星,略有磨损,普通,835762,新星 | 一见青心,88,27.29,33.95,1.24,2024-06-17
新星,破损不堪,普通,927337,新星 | 索贝克之噬,74,26.74,33.95,1.27,2024-06-17
新星,略有磨损,纪念品,37841,新星（纪念品） | 绿苹果,139,26.67,35.55,1.33,2024-06-17
新星,破损不堪,纪念品,929079,新星（纪念品） | 索贝克之噬,24,24.8,30.47,1.23,2024-06-17
新星,崭新出厂,纪念品,876988,新星（纪念品） | 致幻时刻,57,24.56,32.94,1.34,2024-06-17
新星,崭新出厂,普通,835766,新星 | 外表生锈,14,24.37,37.72,1.55,2024-06-17
新星,略有磨损,普通,35812,新星 | 森林之叶,6,23.57,38.09,1.62,2024-06-17
新星,久经沙场,StatTrak™,835731,新星（StatTrak™） | 一见青心,66,23.09,32.57,1.41,2024-06-17
新星,久经沙场,普通,835534,新星 | 外表生锈,23,22.4,27.64,1.23,2024-06-17
新星,略有磨损,普通,835694,新星 | 外表生锈,12,22.18,28.66,1.29,2024-06-17
新星,崭新出厂,StatTrak™,776022,新星（StatTrak™） | 风卷残云,27,21.9,32.5,1.48,2024-06-17
新星,战痕累累,普通,927361,新星 | 索贝克之噬,67,21.56,28.73,1.33,2024-06-17
新星,破损不堪,普通,835825,新星 | 外表生锈,12,20.9,28.66,1.37,2024-06-17
新星,战痕累累,普通,835752,新星 | 外表生锈,42,20.6,27.5,1.33,2024-06-17
新星,战痕累累,纪念品,929077,新星（纪念品） | 索贝克之噬,26,20.08,28.73,1.43,2024-06-17
新星,略有磨损,StatTrak™,759378,新星（StatTrak™） | 玩具士兵,88,19.9,30.62,1.54,2024-06-17
新星,破损不堪,StatTrak™,835803,新星（StatTrak™） | 一见青心,11,19.88,25.39,1.28,2024-06-17
新星,崭新出厂,普通,759268,新星 | 玩具士兵,99,19.39,27.28,1.41,2024-06-17
新星,崭新出厂,StatTrak™,45327,新星（StatTrak™） | 狂野六号,63,18.8,27.5,1.46,2024-06-17
新星,战痕累累,纪念品,876957,新星（纪念品） | 致幻时刻,30,18.79,23.8,1.27,2024-06-17
新星,崭新出厂,StatTrak™,39163,新星（StatTrak™） | 毒蜥,86,18.6,24.81,1.33,2024-06-17
新星,略有磨损,StatTrak™,39175,新星（StatTrak™） | 锦鲤,77,16.6,21.26,1.28,2024-06-17
新星,战痕累累,StatTrak™,835735,新星（StatTrak™） | 一见青心,23,16.17,23.94,1.48,2024-06-17
新星,久经沙场,普通,835634,新星 | 一见青心,150,15.75,22.49,1.43,2024-06-17
新星,破损不堪,普通,835600,新星 | 一见青心,24,15.4,21.76,1.41,2024-06-17
新星,略有磨损,纪念品,876965,新星（纪念品） | 致幻时刻,58,14.9,19.3,1.3,2024-06-17
新星,破损不堪,普通,35875,新星 | 胡桃木,18,14.9,21.4,1.44,2024-06-17
新星,破损不堪,纪念品,877070,新星（纪念品） | 致幻时刻,15,14.71,20.97,1.43,2024-06-17
新星,久经沙场,普通,35815,新星 | 幽灵迷彩,25,13.87,17.99,1.3,2024-06-17
新星,战痕累累,普通,835440,新星 | 一见青心,62,13.72,20.17,1.47,2024-06-17
新星,久经沙场,普通,35873,新星 | 胡桃木,48,13.57,18.06,1.33,2024-06-17
新星,久经沙场,StatTrak™,39174,新星（StatTrak™） | 锦鲤,12,13.52,16.98,1.26,2024-06-17
新星,久经沙场,普通,35811,新星 | 森林之叶,9,13.5,14.29,1.06,2024-06-17
新星,崭新出厂,普通,35814,新星 | 幽灵迷彩,25,13.34,18.86,1.41,2024-06-17
新星,崭新出厂,StatTrak™,39176,新星（StatTrak™） | 游侠,35,12.9,17.05,1.32,2024-06-17
新星,略有磨损,普通,35816,新星 | 幽灵迷彩,10,12.89,17.48,1.36,2024-06-17
新星,战痕累累,普通,35871,新星 | 胡桃木,10,12.26,15.24,1.24,2024-06-17
新星,破损不堪,普通,35813,新星 | 森林之叶,16,10.9,16.98,1.56,2024-06-17
新星,略有磨损,纪念品,37860,新星（纪念品） | 胡桃木,460,10.6,14.22,1.34,2024-06-17
新星,久经沙场,StatTrak™,759377,新星（StatTrak™） | 玩具士兵,92,10.54,14.0,1.33,2024-06-17
新星,略有磨损,StatTrak™,775648,新星（StatTrak™） | 风卷残云,38,10,13.71,1.37,2024-06-17
新星,战痕累累,StatTrak™,759306,新星（StatTrak™） | 玩具士兵,94,9.9,12.55,1.27,2024-06-17
新星,略有磨损,普通,759228,新星 | 玩具士兵,152,9.83,13.78,1.4,2024-06-17
新星,崭新出厂,StatTrak™,857568,新星（StatTrak™） | 随风,173,9.19,13.35,1.45,2024-06-17
新星,崭新出厂,普通,35831,新星 | 锦鲤,379,9.01,11.83,1.31,2024-06-17
新星,略有磨损,StatTrak™,39165,新星（StatTrak™） | 毒蜥,77,8.69,10.66,1.23,2024-06-17
新星,破损不堪,StatTrak™,759308,新星（StatTrak™） | 玩具士兵,21,8.64,10.16,1.18,2024-06-17
新星,崭新出厂,普通,775801,新星 | 风卷残云,64,7.77,11.17,1.44,2024-06-17
新星,略有磨损,StatTrak™,45328,新星（StatTrak™） | 狂野六号,127,7.34,10.08,1.37,2024-06-17
新星,崭新出厂,普通,35818,新星 | 毒蜥,254,6.99,10.23,1.46,2024-06-17
新星,崭新出厂,普通,45282,新星 | 狂野六号,121,6.96,9.43,1.35,2024-06-17
新星,久经沙场,StatTrak™,39164,新星（StatTrak™） | 毒蜥,25,6.61,10.45,1.58,2024-06-17
新星,崭新出厂,StatTrak™,956610,新星（StatTrak™） | 黑暗徽记,97,5.99,7.62,1.27,2024-06-17
新星,崭新出厂,StatTrak™,39155,新星（StatTrak™） | Exo,85,5.92,8.85,1.49,2024-06-17
新星,破损不堪,普通,775908,新星 | 风卷残云,19,5.31,5.44,1.02,2024-06-17
新星,破损不堪,纪念品,37861,新星（纪念品） | 胡桃木,133,5.28,5.37,1.02,2024-06-17
新星,战痕累累,纪念品,37857,新星（纪念品） | 胡桃木,219,5.18,6.38,1.23,2024-06-17
新星,破损不堪,StatTrak™,776216,新星（StatTrak™） | 风卷残云,16,5.08,7.84,1.54,2024-06-17
新星,崭新出厂,普通,835436,新星 | 军队之辉,135,5.07,6.75,1.33,2024-06-17
新星,崭新出厂,纪念品,877195,新星（纪念品） | 流沙,156,5.04,7.11,1.41,2024-06-17
新星,久经沙场,StatTrak™,775410,新星（StatTrak™） | 风卷残云,55,5,6.82,1.36,2024-06-17
新星,略有磨损,普通,35833,新星 | 锦鲤,340,4.96,6.67,1.34,2024-06-17
新星,略有磨损,StatTrak™,857571,新星（StatTrak™） | 随风,150,4.93,6.17,1.25,2024-06-17
