P250,崭新出厂,普通,36047,P250 | 现代猎手,2,3499.5,4255.3,1.22,2024-06-17
P250,崭新出厂,普通,36057,P250 | 核子威慑,8,2679.46,4574.01,1.71,2024-06-17
P250,破损不堪,纪念品,37902,P250（纪念品） | 核子威慑,3,1999.5,495.94,0.25,2024-06-17
P250,崭新出厂,纪念品,929200,P250（纪念品） | 阿佩普之咒,11,1698.5,1897.78,1.12,2024-06-17
P250,破损不堪,普通,36060,P250 | 核子威慑,1,1499.5,249.2,0.17,2024-06-17
P250,略有磨损,纪念品,37901,P250（纪念品） | 核子威慑,6,1198.5,2183.84,1.82,2024-06-17
P250,崭新出厂,普通,36100,P250 | 银装素裹,69,1049.5,1410.04,1.34,2024-06-17
P250,战痕累累,纪念品,37899,P250（纪念品） | 核子威慑,5,709.49,385.45,0.54,2024-06-17
P250,崭新出厂,StatTrak™,39281,P250（StatTrak™） | 狂野飞溅,24,639,1014.58,1.59,2024-06-17
P250,战痕累累,普通,872001,P250 | 数字架构师,1,599.5,373.4,0.62,2024-06-17
P250,崭新出厂,纪念品,761587,P250（纪念品） | 葡萄酒,12,599.5,1034.97,1.73,2024-06-17
P250,崭新出厂,普通,927375,P250 | 阿佩普之咒,74,553.5,751.02,1.36,2024-06-17
P250,久经沙场,纪念品,37900,P250（纪念品） | 核子威慑,19,539.5,750.87,1.39,2024-06-17
P250,略有磨损,普通,36059,P250 | 核子威慑,25,538.4,889.73,1.65,2024-06-17
P250,崭新出厂,StatTrak™,39258,P250（StatTrak™） | 曼海蒂,35,389.9,750.94,1.93,2024-06-17
P250,崭新出厂,StatTrak™,39291,P250（StatTrak™） | 暗潮,59,379.45,482.59,1.27,2024-06-17
P250,略有磨损,普通,927362,P250 | 阿佩普之咒,68,369.49,513.35,1.39,2024-06-17
P250,崭新出厂,StatTrak™,39245,P250（StatTrak™） | 卡特尔,35,350.5,620.94,1.77,2024-06-17
P250,略有磨损,StatTrak™,39242,P250（StatTrak™） | 二西莫夫,65,331.18,491.37,1.48,2024-06-17
P250,崭新出厂,普通,36091,P250 | 暗潮,98,327.1,457.27,1.4,2024-06-17
