截短霰弹枪,崭新出厂,纪念品,43912,截短霰弹枪（纪念品） | 逮捕者,1,3999.5,3052.02,0.76,2024-06-17
截短霰弹枪,略有磨损,纪念品,38025,截短霰弹枪（纪念品） | 逮捕者,1,849.5,1386.97,1.63,2024-06-17
截短霰弹枪,崭新出厂,普通,36599,截短霰弹枪 | 镀铜,10,789.5,935.87,1.19,2024-06-17
截短霰弹枪,略有磨损,普通,36601,截短霰弹枪 | 镀铜,2,719.5,1023.51,1.42,2024-06-17
截短霰弹枪,崭新出厂,StatTrak™,39590,截短霰弹枪（StatTrak™） | 橙黄 DDPAT,4,699.5,1160.7,1.66,2024-06-17
截短霰弹枪,久经沙场,普通,36600,截短霰弹枪 | 镀铜,3,698.7,904.6,1.29,2024-06-17
截短霰弹枪,破损不堪,普通,36602,截短霰弹枪 | 镀铜,2,679.5,881.31,1.3,2024-06-17
截短霰弹枪,略有磨损,普通,36606,截短霰弹枪 | 至高皮革,5,584.45,335.75,0.57,2024-06-17
截短霰弹枪,崭新出厂,纪念品,38042,截短霰弹枪（纪念品） | 蝮蛇迷彩,2,349.5,212.49,0.61,2024-06-17
截短霰弹枪,破损不堪,普通,36607,截短霰弹枪 | 至高皮革,2,299.5,396.33,1.32,2024-06-17
截短霰弹枪,崭新出厂,普通,36604,截短霰弹枪 | 至高皮革,14,284.5,503.19,1.77,2024-06-17
截短霰弹枪,崭新出厂,普通,36646,截短霰弹枪 | 橙黄 DDPAT,7,265.93,348.3,1.31,2024-06-17
截短霰弹枪,崭新出厂,StatTrak™,39603,截短霰弹枪（StatTrak™） | 北海巨妖,40,236.86,308.98,1.3,2024-06-17
截短霰弹枪,战痕累累,普通,36640,截短霰弹枪 | 马赛克,1,235.99,50.06,0.21,2024-06-17
截短霰弹枪,略有磨损,StatTrak™,39592,截短霰弹枪（StatTrak™） | 橙黄 DDPAT,12,233.39,316.74,1.36,2024-06-17
截短霰弹枪,久经沙场,普通,36605,截短霰弹枪 | 至高皮革,3,209.85,287.94,1.37,2024-06-17
截短霰弹枪,战痕累累,StatTrak™,39589,截短霰弹枪（StatTrak™） | 橙黄 DDPAT,5,209.49,123.77,0.59,2024-06-17
截短霰弹枪,久经沙场,StatTrak™,39591,截短霰弹枪（StatTrak™） | 橙黄 DDPAT,14,178.49,166.86,0.93,2024-06-17
截短霰弹枪,崭新出厂,StatTrak™,759437,截短霰弹枪（StatTrak™） | 吞噬,22,174.5,274.3,1.57,2024-06-17
截短霰弹枪,崭新出厂,纪念品,38027,截短霰弹枪（纪念品） | 辐照警报,3,167.5,189.5,1.13,2024-06-17
截短霰弹枪,崭新出厂,普通,36626,截短霰弹枪 | 辐照警报,3,147.5,170.42,1.16,2024-06-17
截短霰弹枪,崭新出厂,StatTrak™,900648,截短霰弹枪（StatTrak™） | 么么,100,144.77,199.65,1.38,2024-06-17
截短霰弹枪,崭新出厂,普通,36656,截短霰弹枪 | 外表生锈,10,132,203.13,1.54,2024-06-17
截短霰弹枪,崭新出厂,普通,36641,截短霰弹枪 | 马赛克,5,128.5,175.57,1.37,2024-06-17
截短霰弹枪,略有磨损,普通,36658,截短霰弹枪 | 外表生锈,8,125.47,179.19,1.43,2024-06-17
截短霰弹枪,战痕累累,普通,36655,截短霰弹枪 | 外表生锈,11,118.47,151.99,1.28,2024-06-17
截短霰弹枪,略有磨损,普通,36648,截短霰弹枪 | 橙黄 DDPAT,17,114.5,146.11,1.28,2024-06-17
截短霰弹枪,久经沙场,普通,36657,截短霰弹枪 | 外表生锈,10,110.5,147.13,1.33,2024-06-17
截短霰弹枪,略有磨损,StatTrak™,39605,截短霰弹枪（StatTrak™） | 北海巨妖,19,104.9,145.6,1.39,2024-06-17
截短霰弹枪,久经沙场,普通,36647,截短霰弹枪 | 橙黄 DDPAT,9,101.97,115.71,1.13,2024-06-17
截短霰弹枪,崭新出厂,StatTrak™,39608,截短霰弹枪（StatTrak™） | 荒野公主,37,96.55,148.0,1.53,2024-06-17
截短霰弹枪,略有磨损,StatTrak™,759314,截短霰弹枪（StatTrak™） | 吞噬,31,88.77,119.41,1.35,2024-06-17
截短霰弹枪,破损不堪,普通,36649,截短霰弹枪 | 橙黄 DDPAT,2,87.3,115.71,1.33,2024-06-17
截短霰弹枪,崭新出厂,普通,759275,截短霰弹枪 | 吞噬,47,79.94,104.76,1.31,2024-06-17
截短霰弹枪,久经沙场,StatTrak™,39604,截短霰弹枪（StatTrak™） | 北海巨妖,21,79.78,107.95,1.35,2024-06-17
截短霰弹枪,战痕累累,普通,36645,截短霰弹枪 | 橙黄 DDPAT,3,69.9,82.99,1.19,2024-06-17
截短霰弹枪,崭新出厂,普通,900607,截短霰弹枪 | 么么,424,61.77,80.89,1.31,2024-06-17
