SG 553,崭新出厂,纪念品,779170,SG 553（纪念品） | 浪花穿孔,1,9998.5,1020.02,0.1,2024-06-17
SG 553,崭新出厂,纪念品,761588,SG 553（纪念品） | 意式拉力,12,9765.5,9961.35,1.02,2024-06-17
SG 553,战痕累累,纪念品,878682,SG 553（纪念品） | 玩命职场,1,4443.5,11618.71,2.61,2024-06-17
SG 553,略有磨损,纪念品,761342,SG 553（纪念品） | 意式拉力,75,1498,2911.71,1.94,2024-06-17
SG 553,崭新出厂,普通,871852,SG 553 | 玩命职场,41,1474.5,2590.54,1.76,2024-06-17
SG 553,略有磨损,普通,871827,SG 553 | 玩命职场,4,1322.3,1542.73,1.17,2024-06-17
SG 553,崭新出厂,纪念品,877072,SG 553（纪念品） | 玩命职场,36,1029.5,1251.45,1.22,2024-06-17
SG 553,久经沙场,普通,871894,SG 553 | 玩命职场,7,999.49,1393.43,1.39,2024-06-17
SG 553,久经沙场,普通,36454,SG 553 | 威吓者,3,988.5,1404.6,1.42,2024-06-17
SG 553,破损不堪,普通,36456,SG 553 | 威吓者,1,959.5,2322.26,2.42,2024-06-17
SG 553,崭新出厂,普通,36453,SG 553 | 威吓者,36,949,1596.06,1.68,2024-06-17
SG 553,略有磨损,普通,36455,SG 553 | 威吓者,23,940.09,1414.69,1.5,2024-06-17
SG 553,崭新出厂,StatTrak™,39527,SG 553（StatTrak™） | 致命紫罗兰,16,647.5,1086.77,1.68,2024-06-17
SG 553,崭新出厂,纪念品,37985,SG 553（纪念品） | 深蓝电镀处理,11,613,1049.7,1.71,2024-06-17
SG 553,略有磨损,纪念品,876954,SG 553（纪念品） | 玩命职场,26,578.5,1042.95,1.8,2024-06-17
SG 553,崭新出厂,普通,762152,SG 553 | 意式拉力,733,578.5,797.38,1.38,2024-06-17
SG 553,崭新出厂,StatTrak™,776707,SG 553（StatTrak™） | 四号栖息地,35,534.5,983.1,1.84,2024-06-17
SG 553,久经沙场,纪念品,761395,SG 553（纪念品） | 意式拉力,75,498.98,880.44,1.76,2024-06-17
SG 553,崭新出厂,纪念品,37988,SG 553（纪念品） | 大马士革钢,14,439,552.53,1.26,2024-06-17
SG 553,久经沙场,纪念品,877218,SG 553（纪念品） | 玩命职场,35,388.5,590.25,1.52,2024-06-17
SG 553,崭新出厂,StatTrak™,39532,SG 553（StatTrak™） | 浪花喷漆,3,385.18,854.54,2.22,2024-06-17
SG 553,破损不堪,纪念品,877258,SG 553（纪念品） | 玩命职场,2,359.5,685.36,1.91,2024-06-17
SG 553,破损不堪,纪念品,761396,SG 553（纪念品） | 意式拉力,37,324.97,453.64,1.4,2024-06-17
SG 553,战痕累累,纪念品,761513,SG 553（纪念品） | 意式拉力,26,324.5,422.37,1.3,2024-06-17
SG 553,崭新出厂,StatTrak™,39504,SG 553（StatTrak™） | 次时代,62,305.5,459.45,1.5,2024-06-17
SG 553,崭新出厂,普通,36492,SG 553 | 狂哮飓风,9,295.8,417.15,1.41,2024-06-17
SG 553,略有磨损,普通,835817,SG 553 | 蛊惑之色,14,287.5,446.61,1.55,2024-06-17
SG 553,崭新出厂,普通,835816,SG 553 | 蛊惑之色,256,276.33,375.58,1.36,2024-06-17
SG 553,崭新出厂,普通,36507,SG 553 | 致命紫罗兰,27,257,385.88,1.5,2024-06-17
SG 553,略有磨损,StatTrak™,775470,SG 553（StatTrak™） | 四号栖息地,42,255.98,360.64,1.41,2024-06-17
SG 553,崭新出厂,普通,775807,SG 553 | 四号栖息地,110,224.49,309.71,1.38,2024-06-17
