Tec-9,破损不堪,纪念品,38063,Tec-9（纪念品） | 核子威慑,1,28887.5,652.79,0.02,2024-06-17
Tec-9,战痕累累,普通,42036,Tec-9 | 梗怖分子,1,11799.5,774.67,0.07,2024-06-17
Tec-9,崭新出厂,普通,42020,Tec-9 | 核子威慑,7,4298.5,6160.63,1.43,2024-06-17
Tec-9,略有磨损,纪念品,38062,Tec-9（纪念品） | 核子威慑,10,1749.5,6966.64,3.98,2024-06-17
Tec-9,崭新出厂,纪念品,38052,Tec-9（纪念品） | 黄铜,11,1289.5,1780.4,1.38,2024-06-17
Tec-9,崭新出厂,纪念品,769038,Tec-9（纪念品） | 遥控,9,1026.5,2315.37,2.26,2024-06-17
Tec-9,战痕累累,纪念品,38060,Tec-9（纪念品） | 核子威慑,2,887.5,1427.96,1.61,2024-06-17
Tec-9,崭新出厂,普通,42037,Tec-9 | 梗怖分子,29,819.5,1108.9,1.35,2024-06-17
Tec-9,略有磨损,普通,42039,Tec-9 | 梗怖分子,3,798.5,1094.89,1.37,2024-06-17
Tec-9,久经沙场,普通,42038,Tec-9 | 梗怖分子,3,794.5,1058.77,1.33,2024-06-17
Tec-9,破损不堪,普通,42040,Tec-9 | 梗怖分子,5,769.39,1161.06,1.51,2024-06-17
Tec-9,崭新出厂,StatTrak™,776466,Tec-9（StatTrak™） | 屠杀者,17,759.5,1060.65,1.4,2024-06-17
Tec-9,略有磨损,普通,42022,Tec-9 | 核子威慑,24,649.5,944.43,1.45,2024-06-17
Tec-9,久经沙场,纪念品,38061,Tec-9（纪念品） | 核子威慑,12,599.5,739.99,1.23,2024-06-17
Tec-9,略有磨损,StatTrak™,775808,Tec-9（StatTrak™） | 屠杀者,29,359.5,576.03,1.6,2024-06-17
Tec-9,崭新出厂,纪念品,38069,Tec-9（纪念品） | 核子剧毒,86,342.5,554.19,1.62,2024-06-17
Tec-9,破损不堪,普通,42023,Tec-9 | 核子威慑,2,339.5,368.4,1.09,2024-06-17
Tec-9,崭新出厂,普通,41977,Tec-9 | 黄铜,11,323,501.52,1.55,2024-06-17
Tec-9,略有磨损,纪念品,38049,Tec-9（纪念品） | 陆军网格,6,287.5,137.84,0.48,2024-06-17
Tec-9,崭新出厂,普通,775813,Tec-9 | 屠杀者,84,285.5,408.95,1.43,2024-06-17
Tec-9,战痕累累,普通,776212,Tec-9 | 锈叶,6,266.5,260.37,0.98,2024-06-17
Tec-9,崭新出厂,普通,42045,Tec-9 | 狂哮飓风,6,254.5,351.64,1.38,2024-06-17
Tec-9,战痕累累,普通,42019,Tec-9 | 核子威慑,2,249.5,331.47,1.33,2024-06-17
Tec-9,略有磨损,纪念品,38058,Tec-9（纪念品） | 地下水,11,244.5,327.12,1.34,2024-06-17
Tec-9,崭新出厂,StatTrak™,39640,Tec-9（StatTrak™） | 燃料喷射器,73,243.5,340.98,1.4,2024-06-17
