UMP-45,略有磨损,普通,871907,UMP-45 | 渐变之色,3,3499.5,3230.78,0.92,2024-06-17
UMP-45,崭新出厂,普通,871582,UMP-45 | 渐变之色,81,2951,4197.05,1.42,2024-06-17
UMP-45,久经沙场,普通,42121,UMP-45 | 弥诺陶洛斯迷宫,3,849,1324.07,1.56,2024-06-17
UMP-45,崭新出厂,普通,775111,UMP-45 | 忘忧草,15,826.5,1192.04,1.44,2024-06-17
UMP-45,略有磨损,普通,42122,UMP-45 | 弥诺陶洛斯迷宫,9,809.5,1238.54,1.53,2024-06-17
UMP-45,崭新出厂,普通,42120,UMP-45 | 弥诺陶洛斯迷宫,19,804,1237.89,1.54,2024-06-17
UMP-45,久经沙场,普通,775909,UMP-45 | 忘忧草,8,797.9,1178.32,1.48,2024-06-17
UMP-45,略有磨损,普通,775764,UMP-45 | 忘忧草,13,777.26,1149.02,1.48,2024-06-17
UMP-45,战痕累累,普通,775949,UMP-45 | 忘忧草,3,749.5,1147.27,1.53,2024-06-17
UMP-45,战痕累累,普通,835540,UMP-45 | 犯罪现场,2,698.5,889.73,1.27,2024-06-17
UMP-45,崭新出厂,普通,42096,UMP-45 | 辐射警告,6,665.46,3251.09,4.89,2024-06-17
UMP-45,崭新出厂,普通,835557,UMP-45 | 犯罪现场,32,615.5,848.52,1.38,2024-06-17
UMP-45,略有磨损,普通,835722,UMP-45 | 犯罪现场,20,597.5,862.31,1.44,2024-06-17
UMP-45,久经沙场,普通,835558,UMP-45 | 犯罪现场,17,593.5,886.97,1.49,2024-06-17
UMP-45,破损不堪,普通,835660,UMP-45 | 犯罪现场,5,584.49,1441.75,2.47,2024-06-17
UMP-45,略有磨损,纪念品,38087,UMP-45（纪念品） | 硝烟,6,449.5,771.91,1.72,2024-06-17
UMP-45,略有磨损,纪念品,877233,UMP-45（纪念品） | 渐变之色,11,448.5,711.77,1.59,2024-06-17
UMP-45,崭新出厂,纪念品,877212,UMP-45（纪念品） | 渐变之色,127,414.5,589.31,1.42,2024-06-17
UMP-45,久经沙场,纪念品,38086,UMP-45（纪念品） | 硝烟,8,399.5,229.76,0.58,2024-06-17
UMP-45,崭新出厂,纪念品,38081,UMP-45（纪念品） | 辐射警告,5,399.5,1585.17,3.97,2024-06-17
UMP-45,崭新出厂,普通,42076,UMP-45 | 色如焦糖,15,359.5,397.27,1.11,2024-06-17
UMP-45,略有磨损,普通,42098,UMP-45 | 辐射警告,7,259.5,261.32,1.01,2024-06-17
UMP-45,略有磨损,纪念品,38079,UMP-45（纪念品） | 炽烈之炎,12,230.5,373.11,1.62,2024-06-17
UMP-45,略有磨损,普通,42066,UMP-45 | 炽烈之炎,6,206.62,300.35,1.45,2024-06-17
UMP-45,崭新出厂,纪念品,38078,UMP-45（纪念品） | 炽烈之炎,422,184.9,241.51,1.31,2024-06-17
UMP-45,崭新出厂,StatTrak™,39670,UMP-45（StatTrak™） | 白骨之堆,8,180.4,354.32,1.96,2024-06-17
UMP-45,崭新出厂,纪念品,38090,UMP-45（纪念品） | 紫青之色,15,169.5,312.25,1.84,2024-06-17
UMP-45,崭新出厂,StatTrak™,921587,UMP-45（StatTrak™） | 野孩子,63,158.88,225.77,1.42,2024-06-17
UMP-45,崭新出厂,StatTrak™,39702,UMP-45（StatTrak™） | 野蛮剑齿虎,53,134.4,183.55,1.37,2024-06-17
UMP-45,崭新出厂,StatTrak™,763388,UMP-45（StatTrak™） | 动量,89,110.19,157.72,1.43,2024-06-17
UMP-45,崭新出厂,普通,42107,UMP-45 | 紫青之色,20,109,152.35,1.4,2024-06-17
UMP-45,崭新出厂,普通,42065,UMP-45 | 炽烈之炎,278,98.8,136.61,1.38,2024-06-17
UMP-45,崭新出厂,普通,42067,UMP-45 | 白骨之堆,9,93.9,132.84,1.41,2024-06-17
