id,short_name,internal_name
33685,印花 | 麻将·百中,crate_sticker_pack_illuminate_capsule_01_lootlist
33687,印花 | 肉食主义,crate_sticker_pack_illuminate_capsule_02_lootlist
33810,新星 | 沙丘之黄,weapon_nova
33811,M4A4 | 杀意大名,weapon_m4a1
33812,M9 刺刀（★） | 渐变之色,weapon_knife_m9_bayonet
33814,P250 | 北方森林,weapon_p250
33815,Tec-9 | 冰冠,weapon_tec9
33816,MAC-10 | 青金鳄皮,weapon_mac10
33819,AUG | 众枪之的,weapon_aug
33821,MAC-10 | 红苹果,weapon_mac10
33822,CZ75 | 聚合物,weapon_cz75a
33823,MP9 | 生化泄漏,weapon_mp9
33824,MAC-10 | 银质,weapon_mac10
33826,印花 | Gambit Esports | 2018年波士顿锦标赛,sticker_tournament13
33829,双持贝瑞塔 | 人工染色,weapon_elite
33830,FN57 | 橘皮涂装,weapon_fiveseven
33831,沙漠之鹰 | 泥地杀手,weapon_deagle
33832,格洛克 18 型 | 本生灯,weapon_glock
33833,USP 消音版 | 力矩,weapon_usp_silencer
33834,沙漠之鹰 | 泥地杀手,weapon_deagle
33835,P2000 | 草皮,weapon_hkp2000
33836,沙漠之鹰 | 锈蚀烈焰,weapon_deagle
33838,沙漠之鹰 | 都市瓦砾,weapon_deagle
33839,MP7 | 都市危机,weapon_mp7
33840,MP7 | 卷云,weapon_mp7
33841,FN57 | 霸意大名,weapon_fiveseven
33842,MP7 | 星点,weapon_mp7
33843,M249 | 系统锁定,weapon_m249
33844,AK-47 | 精英之作,weapon_ak47
33845,MP9 | 砂垢,weapon_mp9
33846,双持贝瑞塔 | 钴蓝石英,weapon_elite
33851,印花 | chrisJ | 2018年波士顿锦标赛,sticker_tournament13
33852,双持贝瑞塔 | 雇佣兵,weapon_elite
33853,AK-47 | 卡特尔,weapon_ak47
33854,双持贝瑞塔 | 殖民侵略者,weapon_elite
33858,AK-47 | 深海复仇,weapon_ak47
33859,AK-47 | 深海复仇,weapon_ak47
33860,AK-47 | 深海复仇,weapon_ak47
33861,AK-47 | 深海复仇,weapon_ak47
33862,AK-47 | 深海复仇,weapon_ak47
33863,AK-47 | 黑色层压板,weapon_ak47
33864,AK-47 | 黑色层压板,weapon_ak47
33865,AK-47 | 黑色层压板,weapon_ak47
33866,AK-47 | 黑色层压板,weapon_ak47
33867,AK-47 | 黑色层压板,weapon_ak47
33868,AK-47 | 血腥运动,weapon_ak47
33869,AK-47 | 血腥运动,weapon_ak47
33870,AK-47 | 血腥运动,weapon_ak47
33871,AK-47 | 血腥运动,weapon_ak47
33872,AK-47 | 蓝色层压板,weapon_ak47
33873,AK-47 | 蓝色层压板,weapon_ak47
33874,AK-47 | 蓝色层压板,weapon_ak47
33875,AK-47 | 蓝色层压板,weapon_ak47
