0,1,2
0,1,2
price,time,id
599.39,2024052105,42446
599.46,2024052114,42446
596.49,2024052116,42446
632.99,2024052122,42446
602.36,2024052304,42446
623.12,2024052322,42446
588.87,2024052419,42446
637.56,2024052517,42446
594.53,2024052713,42446
594.74,2024052714,42446
594.6,2024052721,42446
593.87,2024052818,42446
569.27,2024052909,42446
637.78,2024052918,42446
681.03,2024053012,42446
567.6,2024060110,42446
594.38,2024060117,42446
595.69,2024060314,42446
602.15,2024060510,42446
596.7,2024060618,42446
589.66,2024060712,42446
595.61,2024060713,42446
594.82,2024060714,42446
595.69,2024060717,42446
541.47,2024060800,42446
587.78,2024060802,42446
588.21,2024060805,42446
577.18,2024060917,42446
578.78,2024061007,42446
421.87,2024061013,42446
576.82,2024061210,42446
622.1,2024061220,42446
574.86,2024061312,42446
576.31,2024061315,42446
502.94,2024061420,42446
586.25,2024061605,42446
532.91,2024061713,42446
517.89,2024061714,42446
643.73,2024061903,42446
687.49,2024052020,42447
686.99,2024052021,42447
747.51,2024052110,42447
761.45,2024052114,42447
738.3,2024052312,42447
694.75,2024052322,42447
708.83,2024052408,42447
736.41,2024052420,42447
740.91,2024052421,42447
720.08,2024052504,42447
709.41,2024052513,42447
706.15,2024052517,42447
675.37,2024052521,42447
707.52,2024052604,42447
708.25,2024052609,42447
677.48,2024052611,42447
708.25,2024052619,42447
678.49,2024052623,42447
729.15,2024052704,42447
782.64,2024052717,42447
696.06,2024052900,42447
720.3,2024052909,42447
705.56,2024052911,42447
725.09,2024052919,42447
707.52,2024053004,42447
668.26,2024053012,42447
717.76,2024053109,42447
733.0,2024053114,42447
704.77,2024053120,42447
725.23,2024053122,42447
764.49,2024060100,42447
712.82,2024060104,42447
762.03,2024060110,42447
754.19,2024060114,42447
709.56,2024060116,42447
718.99,2024060117,42447
867.99,2024060120,42447
661.8,2024060217,42447
725.74,2024060222,42447
725.74,2024060303,42447
733.07,2024060323,42447
703.53,2024060405,42447
766.45,2024060414,42447
717.54,2024060611,42447
691.41,2024060820,42447
690.18,2024060903,42447
730.46,2024060919,42447
711.23,2024060923,42447
755.64,2024061004,42447
759.34,2024061018,42447
675.66,2024061109,42447
759.12,2024061118,42447
688.0,2024061214,42447
667.97,2024061221,42447
706.94,2024061314,42447
625.3,2024061412,42447
638.07,2024061416,42447
709.19,2024061417,42447
