0,1,2
0,1,2
price,time,id
683.65,2024052017,835851
788.37,2024052023,835851
667.68,2024052105,835851
725.23,2024052108,835851
695.33,2024052113,835851
734.23,2024052121,835851
789.68,2024052202,835851
707.74,2024052213,835851
706.58,2024052215,835851
710.79,2024052216,835851
789.24,2024052222,835851
708.98,2024052303,835851
770.95,2024052305,835851
774.51,2024052307,835851
731.26,2024052309,835851
711.3,2024052310,835851
700.7,2024052318,835851
710.72,2024052319,835851
711.3,2024052321,835851
710.72,2024052322,835851
704.4,2024052400,835851
755.93,2024052401,835851
812.68,2024052402,835851
711.3,2024052405,835851
711.3,2024052410,835851
706.51,2024052412,835851
740.47,2024052414,835851
749.25,2024052417,835851
748.38,2024052418,835851
766.31,2024052419,835851
775.53,2024052502,835851
754.77,2024052505,835851
767.25,2024052512,835851
742.72,2024052519,835851
748.17,2024052521,835851
697.15,2024052522,835851
787.07,2024052523,835851
695.55,2024052600,835851
920.82,2024052604,835851
748.02,2024052607,835851
772.55,2024052610,835851
784.38,2024052620,835851
787.07,2024052700,835851
787.36,2024052704,835851
696.57,2024052712,835851
697.51,2024052714,835851
684.45,2024052717,835851
699.03,2024052722,835851
708.32,2024052723,835851
692.5,2024052800,835851
580.59,2024052803,835851
700.05,2024052810,835851
700.85,2024052812,835851
700.34,2024052816,835851
726.25,2024052817,835851
710.43,2024052818,835851
731.62,2024052819,835851
729.3,2024052820,835851
700.48,2024052822,835851
736.19,2024052823,835851
695.19,2024052902,835851
793.81,2024052903,835851
748.82,2024052911,835851
776.18,2024052912,835851
776.54,2024052913,835851
746.57,2024052914,835851
717.18,2024052917,835851
707.02,2024052920,835851
723.27,2024052921,835851
733.0,2024053000,835851
736.41,2024053001,835851
725.74,2024053002,835851
762.03,2024053003,835851
742.87,2024053008,835851
706.44,2024053009,835851
726.68,2024053015,835851
726.68,2024053017,835851
718.48,2024053100,835851
722.84,2024053104,835851
687.2,2024053106,835851
725.89,2024053110,835851
725.74,2024053113,835851
709.19,2024053115,835851
725.89,2024053116,835851
753.32,2024053118,835851
730.24,2024053119,835851
713.55,2024053120,835851
753.61,2024053122,835851
717.9,2024060106,835851
751.07,2024060108,835851
725.67,2024060114,835851
713.26,2024060119,835851
698.02,2024060120,835851
725.74,2024060204,835851
841.86,2024060206,835851
754.77,2024060207,835851
747.51,2024060210,835851
