0,1,2
0,1,2
price,time,id
35.71,2024052100,34276
32.73,2024052121,34276
35.63,2024052208,34276
34.04,2024052216,34276
33.17,2024052217,34276
29.32,2024052218,34276
33.38,2024052222,34276
24.75,2024052310,34276
33.09,2024052314,34276
34.25,2024052315,34276
33.02,2024052322,34276
35.42,2024052413,34276
35.27,2024052418,34276
35.27,2024052507,34276
35.42,2024052514,34276
34.69,2024052517,34276
35.71,2024052518,34276
35.42,2024052521,34276
34.62,2024052522,34276
34.47,2024052604,34276
35.49,2024052606,34276
35.13,2024052613,34276
35.49,2024052620,34276
34.18,2024052700,34276
35.56,2024052709,34276
34.98,2024052711,34276
35.2,2024052713,34276
33.6,2024052716,34276
31.71,2024052720,34276
36.21,2024052722,34276
35.63,2024052800,34276
35.27,2024052809,34276
35.56,2024052813,34276
35.34,2024052815,34276
36.0,2024052816,34276
35.78,2024052918,34276
35.42,2024053001,34276
35.05,2024053013,34276
33.09,2024053016,34276
35.42,2024053019,34276
35.63,2024053109,34276
31.5,2024053111,34276
32.08,2024060112,34276
36.21,2024060113,34276
35.05,2024060119,34276
36.0,2024060121,34276
36.0,2024060216,34276
36.21,2024060300,34276
36.36,2024060302,34276
36.29,2024060303,34276
64.16,2024060313,34276
34.11,2024060317,34276
35.05,2024060321,34276
35.85,2024060400,34276
37.09,2024060402,34276
37.16,2024060404,34276
37.23,2024060406,34276
33.31,2024060407,34276
37.74,2024060500,34276
36.29,2024060506,34276
36.21,2024060509,34276
37.52,2024060510,34276
75.48,2024060513,34276
39.19,2024060515,34276
39.26,2024060601,34276
34.33,2024060602,34276
38.97,2024060614,34276
38.1,2024060703,34276
37.67,2024060706,34276
39.19,2024060801,34276
39.04,2024060811,34276
34.47,2024060815,34276
32.66,2024060907,34276
35.05,2024060909,34276
38.83,2024060911,34276
38.83,2024060912,34276
34.62,2024061113,34276
35.13,2024061117,34276
34.47,2024061217,34276
35.78,2024061301,34276
35.63,2024061311,34276
30.7,2024061319,34276
26.49,2024061418,34276
35.78,2024061421,34276
31.35,2024061423,34276
31.28,2024061505,34276
32.59,2024061609,34276
31.13,2024061623,34276
33.02,2024061713,34276
32.73,2024061718,34276
32.37,2024061818,34276
32.59,2024061908,34276
33.38,2024061912,34276
33.38,2024061913,34276
29.61,2024061915,34276
57.84,2024061917,34276
32.37,2024061919,34276
