0,1,2
0,1,2
price,time,id
0.22,2024052017,33831
0.22,2024052021,33831
0.24,2024052101,33831
0.22,2024052105,33831
0.22,2024052109,33831
0.26,2024052113,33831
0.22,2024052117,33831
0.22,2024052121,33831
0.22,2024052201,33831
0.22,2024052205,33831
0.22,2024052209,33831
0.26,2024052213,33831
0.24,2024052217,33831
0.22,2024052221,33831
0.26,2024052301,33831
0.22,2024052305,33831
0.24,2024052309,33831
0.22,2024052313,33831
0.24,2024052317,33831
0.24,2024052321,33831
0.22,2024052401,33831
0.26,2024052405,33831
0.22,2024052409,33831
0.24,2024052413,33831
0.23,2024052417,33831
0.22,2024052421,33831
0.23,2024052501,33831
0.22,2024052505,33831
0.24,2024052509,33831
0.22,2024052513,33831
0.25,2024052517,33831
0.24,2024052521,33831
0.24,2024052601,33831
0.26,2024052605,33831
0.22,2024052609,33831
0.22,2024052613,33831
0.22,2024052617,33831
0.27,2024052621,33831
0.27,2024052701,33831
0.29,2024052705,33831
0.22,2024052709,33831
0.24,2024052713,33831
0.22,2024052717,33831
0.22,2024052721,33831
0.22,2024052801,33831
0.22,2024052805,33831
0.24,2024052809,33831
0.22,2024052813,33831
0.22,2024052817,33831
0.22,2024052821,33831
0.22,2024052901,33831
0.22,2024052905,33831
0.28,2024052909,33831
0.22,2024052913,33831
0.26,2024052917,33831
0.22,2024052921,33831
0.25,2024053001,33831
0.25,2024053005,33831
0.24,2024053009,33831
0.22,2024053013,33831
0.22,2024053017,33831
0.22,2024053021,33831
0.27,2024053101,33831
0.22,2024053105,33831
0.26,2024053109,33831
0.22,2024053113,33831
0.25,2024053117,33831
0.22,2024053121,33831
0.22,2024060101,33831
0.22,2024060105,33831
0.22,2024060109,33831
0.22,2024060113,33831
0.24,2024060117,33831
0.22,2024060121,33831
0.29,2024060201,33831
0.26,2024060205,33831
0.22,2024060209,33831
0.23,2024060213,33831
0.22,2024060217,33831
0.22,2024060221,33831
0.22,2024060301,33831
0.26,2024060305,33831
0.24,2024060309,33831
0.27,2024060313,33831
0.22,2024060317,33831
0.25,2024060321,33831
0.27,2024060401,33831
0.26,2024060405,33831
0.26,2024060409,33831
0.25,2024060413,33831
0.23,2024060417,33831
0.22,2024060421,33831
0.22,2024060501,33831
0.28,2024060505,33831
0.24,2024060509,33831
0.25,2024060513,33831
0.22,2024060517,33831
