0,1,2
0,1,2
price,time,id
595.61,2024052106,42597
630.6,2024052111,42597
622.25,2024052114,42597
614.19,2024052219,42597
622.68,2024052222,42597
622.39,2024052301,42597
596.99,2024052417,42597
572.1,2024052513,42597
581.03,2024052613,42597
566.66,2024052615,42597
592.2,2024052621,42597
561.14,2024052818,42597
594.02,2024052914,42597
592.57,2024053001,42597
603.6,2024053002,42597
542.49,2024053007,42597
594.02,2024053009,42597
602.36,2024053123,42597
693.08,2024060205,42597
602.51,2024060219,42597
602.51,2024060223,42597
584.22,2024060401,42597
591.7,2024060712,42597
602.36,2024060720,42597
576.09,2024060722,42597
579.58,2024060913,42597
576.02,2024061009,42597
576.53,2024061018,42597
575.66,2024061117,42597
563.75,2024061208,42597
554.54,2024061314,42597
595.47,2024061423,42597
558.96,2024061502,42597
609.91,2024061620,42597
558.75,2024061811,42597
575.0,2024061818,42597
667.68,2024052209,42598
691.19,2024052212,42598
693.81,2024052322,42598
702.44,2024052520,42598
702.08,2024052521,42598
679.15,2024052600,42598
681.11,2024052616,42598
679.8,2024052706,42598
689.45,2024052714,42598
690.83,2024052722,42598
709.12,2024052806,42598
710.57,2024052807,42598
758.11,2024052811,42598
791.2,2024052820,42598
774.58,2024053104,42598
718.41,2024053105,42598
784.96,2024053106,42598
706.15,2024053116,42598
779.66,2024060102,42598
646.42,2024060200,42598
696.71,2024060217,42598
753.32,2024060219,42598
725.74,2024060304,42598
739.09,2024060312,42598
756.73,2024060317,42598
712.46,2024060320,42598
701.72,2024060321,42598
851.08,2024060410,42598
865.95,2024060417,42598
808.47,2024060501,42598
713.55,2024060508,42598
698.96,2024060514,42598
701.36,2024060515,42598
762.1,2024060716,42598
694.53,2024060815,42598
689.45,2024060817,42598
739.38,2024060905,42598
740.4,2024060907,42598
750.34,2024060917,42598
705.56,2024060922,42598
705.13,2024061005,42598
650.26,2024061009,42598
698.23,2024061119,42598
709.63,2024061200,42598
654.47,2024061202,42598
653.67,2024061203,42598
652.44,2024061210,42598
726.1,2024061321,42598
646.56,2024061417,42598
646.63,2024061500,42598
645.76,2024061605,42598
783.0,2024061606,42598
734.38,2024061609,42598
656.65,2024061713,42598
681.98,2024061800,42598
648.3,2024061809,42598
643.66,2024061815,42598
653.96,2024061820,42598
655.13,2024061903,42598
680.96,2024061904,42598
1182.45,2024052119,42599
