0,1,2
0.0,1,2
1.02,2024052117,33829
1.06,2024052121,33829
1.08,2024052201,33829
0.91,2024052205,33829
0.94,2024052209,33829
0.99,2024052213,33829
0.95,2024052217,33829
0.98,2024052221,33829
12.52,2024052301,33829
0.94,2024052305,33829
0.99,2024052309,33829
0.96,2024052313,33829
0.95,2024052317,33829
1.0,2024052321,33829
0.98,2024052401,33829
1.0,2024052405,33829
0.97,2024052409,33829
0.94,2024052413,33829
2.57,2024052417,33829
0.95,2024052421,33829
1.02,2024052501,33829
0.97,2024052505,33829
0.97,2024052509,33829
0.97,2024052513,33829
0.95,2024052517,33829
0.94,2024052521,33829
0.99,2024052601,33829
0.99,2024052605,33829
0.97,2024052609,33829
0.98,2024052613,33829
0.94,2024052617,33829
0.95,2024052621,33829
0.98,2024052701,33829
1.0,2024052705,33829
0.96,2024052709,33829
0.97,2024052713,33829
0.93,2024052717,33829
0.96,2024052721,33829
1.02,2024052801,33829
0.94,2024052805,33829
0.95,2024052809,33829
1.0,2024052813,33829
0.94,2024052817,33829
0.99,2024052821,33829
0.9,2024052901,33829
0.99,2024052905,33829
0.94,2024052909,33829
0.94,2024052913,33829
0.94,2024052917,33829
0.94,2024052921,33829
0.96,2024053001,33829
0.94,2024053005,33829
0.99,2024053009,33829
0.97,2024053013,33829
0.96,2024053017,33829
0.94,2024053021,33829
0.98,2024053101,33829
0.98,2024053105,33829
0.94,2024053109,33829
0.94,2024053113,33829
0.94,2024053117,33829
0.94,2024053121,33829
0.94,2024060101,33829
0.94,2024060105,33829
0.94,2024060109,33829
0.92,2024060113,33829
0.98,2024060117,33829
0.96,2024060121,33829
0.91,2024060201,33829
0.94,2024060205,33829
0.97,2024060209,33829
0.93,2024060213,33829
0.95,2024060217,33829
0.9,2024060221,33829
0.87,2024060301,33829
0.88,2024060305,33829
0.89,2024060309,33829
0.91,2024060313,33829
0.85,2024060317,33829
0.91,2024060321,33829
0.94,2024060401,33829
0.8,2024060405,33829
0.87,2024060409,33829
0.91,2024060413,33829
0.89,2024060417,33829
0.9,2024060421,33829
0.85,2024060501,33829
0.88,2024060505,33829
0.86,2024060509,33829
0.84,2024060513,33829
0.86,2024060517,33829
0.8,2024060521,33829
0.85,2024060601,33829
0.8,2024060605,33829
0.87,2024060609,33829
0.89,2024060613,33829
0.82,2024060617,33829
0.83,2024060621,33829
0.92,2024060701,33829
0.9,2024060705,33829
0.8,2024060709,33829
0.85,2024060713,33829
0.82,2024060717,33829
0.83,2024060721,33829
0.87,2024060801,33829
0.86,2024060805,33829
0.82,2024060809,33829
0.86,2024060813,33829
0.9,2024060817,33829
0.93,2024060821,33829
0.87,2024060901,33829
0.9,2024060905,33829
0.9,2024060909,33829
0.87,2024060913,33829
0.83,2024060917,33829
0.95,2024060921,33829
0.87,2024061001,33829
0.93,2024061005,33829
0.86,2024061009,33829
0.89,2024061013,33829
0.73,2024061017,33829
0.86,2024061021,33829
1.01,2024061101,33829
0.86,2024061105,33829
0.8,2024061109,33829
0.94,2024061113,33829
0.77,2024061117,33829
0.83,2024061121,33829
0.94,2024061201,33829
0.86,2024061205,33829
0.8,2024061209,33829
0.77,2024061213,33829
