0,1,2
0.0,1,2
480.63,2024052123,34620
490.0,2024052310,34620
480.85,2024052413,34620
480.85,2024052421,34620
464.51,2024052816,34620
471.92,2024052918,34620
515.26,2024053013,34620
513.74,2024060103,34620
480.56,2024060320,34620
506.12,2024060509,34620
475.91,2024060517,34620
501.83,2024060520,34620
509.09,2024060719,34620
501.76,2024060723,34620
468.29,2024060900,34620
353.94,2024061317,34620
455.66,2024061413,34620
487.17,2024061616,34620
449.63,2024061716,34620
465.09,2024061811,34620
466.84,2024061818,34620
148.4,2024052316,34621
154.43,2024052320,34621
155.66,2024052610,34621
167.13,2024052617,34621
145.06,2024052820,34621
138.31,2024052823,34621
155.37,2024052919,34621
156.39,2024053022,34621
154.43,2024060112,34621
156.75,2024060113,34621
156.75,2024060212,34621
156.39,2024060214,34621
138.45,2024060309,34621
161.4,2024060414,34621
162.41,2024060423,34621
163.86,2024060508,34621
165.61,2024060511,34621
165.46,2024060513,34621
167.28,2024060514,34621
168.37,2024060518,34621
145.06,2024060600,34621
168.29,2024060606,34621
171.2,2024060613,34621
172.87,2024060622,34621
170.62,2024060715,34621
171.78,2024060716,34621
171.2,2024060720,34621
158.64,2024060806,34621
167.2,2024060807,34621
154.93,2024060920,34621
154.93,2024061006,34621
155.01,2024061016,34621
161.32,2024061111,34621
153.34,2024061209,34621
154.43,2024061317,34621
145.42,2024061406,34621
154.21,2024061413,34621
152.54,2024061415,34621
152.83,2024061701,34621
161.9,2024061706,34621
147.24,2024061717,34621
153.92,2024061815,34621
155.37,2024061923,34621
155.44,2024062001,34621
275.82,2024052310,34622
275.09,2024052316,34622
275.17,2024052405,34622
260.28,2024052406,34622
271.61,2024052519,34622
275.17,2024052601,34622
275.6,2024052602,34622
276.98,2024052619,34622
278.29,2024052707,34622
278.58,2024052711,34622
278.65,2024052813,34622
276.18,2024052909,34622
278.65,2024052919,34622
280.68,2024053014,34622
276.04,2024060114,34622
285.62,2024060215,34622
258.83,2024060401,34622
278.65,2024060510,34622
254.18,2024060622,34622
280.25,2024060804,34622
275.02,2024061003,34622
308.93,2024061103,34622
263.19,2024061112,34622
268.12,2024061117,34622
205.83,2024061207,34622
262.82,2024061212,34622
255.56,2024061222,34622
258.61,2024061309,34622
255.85,2024061312,34622
255.64,2024061315,34622
253.38,2024061513,34622
232.4,2024061617,34622
259.48,2024061709,34622
264.49,2024061723,34622
271.1,2024061815,34622
229.93,2024061817,34622
249.61,2024061912,34622
0.22,2024052117,34624
0.22,2024052121,34624
0.22,2024052201,34624
0.22,2024052205,34624
0.22,2024052209,34624
0.22,2024052213,34624
0.22,2024052217,34624
0.22,2024052221,34624
0.22,2024052301,34624
0.22,2024052305,34624
0.22,2024052309,34624
0.22,2024052313,34624
0.22,2024052317,34624
0.22,2024052321,34624
0.22,2024052401,34624
0.22,2024052405,34624
0.22,2024052409,34624
0.22,2024052413,34624
0.22,2024052417,34624
0.22,2024052421,34624
0.22,2024052501,34624
0.22,2024052505,34624
0.22,2024052509,34624
0.22,2024052513,34624
0.22,2024052517,34624
0.22,2024052521,34624
0.22,2024052601,34624
0.22,2024052605,34624
0.22,2024052609,34624
0.22,2024052613,34624
0.22,2024052617,34624
0.22,2024052621,34624
0.22,2024052701,34624
0.22,2024052705,34624
0.22,2024052709,34624
0.22,2024052713,34624
0.22,2024052717,34624
0.22,2024052721,34624
0.22,2024052801,34624
0.22,2024052805,34624
0.22,2024052809,34624
0.22,2024052813,34624
0.22,2024052817,34624
0.22,2024052821,34624
0.22,2024052901,34624
0.22,2024052905,34624
0.22,2024052909,34624
0.22,2024052913,34624
0.22,2024052917,34624
0.22,2024052921,34624
0.22,2024053001,34624
0.22,2024053005,34624
0.22,2024053009,34624
0.22,2024053013,34624
0.22,2024053017,34624
0.22,2024053021,34624
0.22,2024053101,34624
0.22,2024053105,34624
0.22,2024053109,34624
0.22,2024053113,34624
0.22,2024053117,34624
0.22,2024053121,34624
0.22,2024060101,34624
0.22,2024060105,34624
0.22,2024060109,34624
0.22,2024060113,34624
0.22,2024060117,34624
0.22,2024060121,34624
0.22,2024060201,34624
0.22,2024060205,34624
0.22,2024060209,34624
0.22,2024060213,34624
0.22,2024060217,34624
0.22,2024060221,34624
0.22,2024060301,34624
0.22,2024060305,34624
0.22,2024060309,34624
0.22,2024060313,34624
0.22,2024060317,34624
0.22,2024060321,34624
0.22,2024060401,34624
0.22,2024060405,34624
0.22,2024060409,34624
0.22,2024060413,34624
0.22,2024060417,34624
0.22,2024060421,34624
0.22,2024060501,34624
0.22,2024060505,34624
0.22,2024060509,34624
0.22,2024060513,34624
0.22,2024060517,34624
0.22,2024060521,34624
0.22,2024060601,34624
0.22,2024060605,34624
0.22,2024060609,34624
0.22,2024060613,34624
0.22,2024060617,34624
0.22,2024060621,34624
0.22,2024060701,34624
0.22,2024060705,34624
0.22,2024060709,34624
0.22,2024060713,34624
0.22,2024060717,34624
0.22,2024060721,34624
0.22,2024060801,34624
0.22,2024060805,34624
0.22,2024060809,34624
0.22,2024060813,34624
0.22,2024060817,34624
0.22,2024060821,34624
0.22,2024060901,34624
0.22,2024060905,34624
0.22,2024060909,34624
0.22,2024060913,34624
0.22,2024060917,34624
0.22,2024060921,34624
0.22,2024061001,34624
0.22,2024061005,34624
0.22,2024061009,34624
0.22,2024061013,34624
0.22,2024061017,34624
0.22,2024061021,34624
0.22,2024061101,34624
0.22,2024061105,34624
0.22,2024061109,34624
0.22,2024061113,34624
0.22,2024061117,34624
0.22,2024061121,34624
0.22,2024061201,34624
0.22,2024061205,34624
0.22,2024061209,34624
0.22,2024061213,34624
0.22,2024061217,34624
0.22,2024061221,34624
0.22,2024061301,34624
0.22,2024061305,34624
0.22,2024061309,34624
0.22,2024061313,34624
0.22,2024061317,34624
0.22,2024061321,34624
0.22,2024061401,34624
0.22,2024061405,34624
0.22,2024061409,34624
0.22,2024061413,34624
0.22,2024061417,34624
0.22,2024061421,34624
0.22,2024061501,34624
0.22,2024061505,34624
0.22,2024061509,34624
0.22,2024061513,34624
0.22,2024061517,34624
0.22,2024061521,34624
0.22,2024061601,34624
0.22,2024061605,34624
0.22,2024061609,34624
0.22,2024061613,34624
0.22,2024061617,34624
0.22,2024061621,34624
0.22,2024061701,34624
0.22,2024061705,34624
0.22,2024061709,34624
0.22,2024061713,34624
0.22,2024061717,34624
0.22,2024061721,34624
0.22,2024061801,34624
0.22,2024061805,34624
0.22,2024061809,34624
0.22,2024061813,34624
0.22,2024061817,34624
0.22,2024061821,34624
0.22,2024061901,34624
0.22,2024061905,34624
0.22,2024061909,34624
0.22,2024061913,34624
0.22,2024061917,34624
0.22,2024061921,34624
0.22,2024062001,34624
0.22,2024062005,34624
0.22,2024062009,34624
0.22,2024062013,34624
0.84,2024052117,34625
0.74,2024052121,34625
0.73,2024052201,34625
0.78,2024052205,34625
0.73,2024052209,34625
0.86,2024052213,34625
0.73,2024052217,34625
0.81,2024052221,34625
0.78,2024052301,34625
0.76,2024052305,34625
0.74,2024052309,34625
0.74,2024052313,34625
0.82,2024052317,34625
0.81,2024052321,34625
0.84,2024052401,34625
0.8,2024052405,34625
0.8,2024052409,34625
0.73,2024052413,34625
0.75,2024052417,34625
0.82,2024052421,34625
0.82,2024052501,34625
0.78,2024052505,34625
0.81,2024052509,34625
0.79,2024052513,34625
0.79,2024052517,34625
0.75,2024052521,34625
0.77,2024052601,34625
0.73,2024052605,34625
0.77,2024052609,34625
0.81,2024052613,34625
0.8,2024052617,34625
0.83,2024052621,34625
0.82,2024052701,34625
0.8,2024052705,34625
0.81,2024052709,34625
0.77,2024052713,34625
0.8,2024052717,34625
0.78,2024052721,34625
0.73,2024052801,34625
0.74,2024052805,34625
0.8,2024052809,34625
0.75,2024052813,34625
0.78,2024052817,34625
0.76,2024052821,34625
0.8,2024052901,34625
0.81,2024052905,34625
0.77,2024052909,34625
0.78,2024052913,34625
0.82,2024052917,34625
0.8,2024052921,34625
0.75,2024053001,34625
0.78,2024053005,34625
0.74,2024053009,34625
0.75,2024053013,34625
0.68,2024053017,34625
0.68,2024053021,34625
0.71,2024053101,34625
0.72,2024053105,34625
0.68,2024053109,34625
0.72,2024053113,34625
0.76,2024053117,34625
0.69,2024053121,34625
19.39,2024060101,34625
0.76,2024060105,34625
0.71,2024060109,34625
0.79,2024060113,34625
0.67,2024060117,34625
0.71,2024060121,34625
0.75,2024060201,34625
0.58,2024060205,34625
0.65,2024060209,34625
0.65,2024060213,34625
0.68,2024060217,34625
0.65,2024060221,34625
0.74,2024060301,34625
0.68,2024060305,34625
0.65,2024060309,34625
0.68,2024060313,34625
0.7,2024060317,34625
0.68,2024060321,34625
0.69,2024060401,34625
0.73,2024060405,34625
0.69,2024060409,34625
0.7,2024060413,34625
0.77,2024060417,34625
0.72,2024060421,34625
0.66,2024060501,34625
0.73,2024060505,34625
0.69,2024060509,34625
0.68,2024060513,34625
0.65,2024060517,34625
0.74,2024060521,34625
0.73,2024060601,34625
0.8,2024060605,34625
