0,1,2
0.0,1,2
671.65,2024052814,34707
681.23,2024060405,34707
678.11,2024060814,34707
693.29,2024061010,34707
726.18,2024062013,34707
69.34,2024052206,34705
83.86,2024052212,34705
71.95,2024052615,34705
72.68,2024052707,34705
83.78,2024060412,34705
74.56,2024060509,34705
69.92,2024060912,34705
69.63,2024061117,34705
69.12,2024061121,34705
54.45,2024061604,34705
71.3,2024061619,34705
93.22,2024061920,34705
660.76,2024052213,34708
595.27,2024052519,34708
676.51,2024052717,34708
609.87,2024053022,34708
609.79,2024053116,34708
706.72,2024061016,34708
709.69,2024061017,34708
709.69,2024061018,34708
706.43,2024061110,34708
715.79,2024061205,34708
697.06,2024061322,34708
716.59,2024061621,34708
739.9,2024061623,34708
584.45,2024061717,34708
601.44,2024061904,34708
706.64,2024052213,34706
676.08,2024052417,34706
703.38,2024052609,34706
705.56,2024052813,34706
703.89,2024052912,34706
717.61,2024052917,34706
720.88,2024053005,34706
717.83,2024053015,34706
723.13,2024053022,34706
721.89,2024053102,34706
726.03,2024053105,34706
745.2,2024060106,34706
709.84,2024060108,34706
751.44,2024060109,34706
768.36,2024060200,34706
788.69,2024060302,34706
793.19,2024060316,34706
834.93,2024060321,34706
864.48,2024060417,34706
864.48,2024060518,34706
864.77,2024060521,34706
864.7,2024060600,34706
797.54,2024060620,34706
797.54,2024060704,34706
741.42,2024060714,34706
693.58,2024060723,34706
742.08,2024060805,34706
854.76,2024061210,34706
694.81,2024061720,34706
679.71,2024061812,34706
681.09,2024061814,34706
77.47,2024052117,34704
78.85,2024052118,34704
86.91,2024052200,34704
77.32,2024052201,34704
86.76,2024052210,34704
86.76,2024052215,34704
102.08,2024052217,34704
78.34,2024052218,34704
65.34,2024052314,34704
85.67,2024052322,34704
85.45,2024052323,34704
78.56,2024052409,34704
85.96,2024052412,34704
76.38,2024052414,34704
72.53,2024052419,34704
78.85,2024052422,34704
72.02,2024052500,34704
72.39,2024052502,34704
72.46,2024052505,34704
66.94,2024052510,34704
78.92,2024052606,34704
72.68,2024052616,34704
72.46,2024052618,34704
75.87,2024052621,34704
74.78,2024052703,34704
73.4,2024052715,34704
75.14,2024052716,34704
75.65,2024052720,34704
75.22,2024052721,34704
88.65,2024052811,34704
70.35,2024052820,34704
64.83,2024052823,34704
72.68,2024052913,34704
66.79,2024053004,34704
78.12,2024053014,34704
70.93,2024053015,34704
132.5,2024053018,34704
66.87,2024053020,34704
69.84,2024053100,34704
71.66,2024053101,34704
66.58,2024053111,34704
66.58,2024053113,34704
68.39,2024060104,34704
68.17,2024060106,34704
68.25,2024060111,34704
68.25,2024060113,34704
68.25,2024060114,34704
63.16,2024060117,34704
67.88,2024060119,34704
67.16,2024060200,34704
67.88,2024060201,34704
68.17,2024060203,34704
68.25,2024060209,34704
66.65,2024060212,34704
66.79,2024060213,34704
68.25,2024060215,34704
77.03,2024060220,34704
67.96,2024060309,34704
70.06,2024060402,34704
75.65,2024060409,34704
71.08,2024060410,34704
72.75,2024060412,34704
72.6,2024060504,34704
74.27,2024060512,34704
73.11,2024060513,34704
76.09,2024060517,34704
108.9,2024060518,34704
79.72,2024060520,34704
