0,1,2
0.0,1,2
50.46,2024052208,34804
58.45,2024052522,34804
53.07,2024052807,34804
53.22,2024060118,34804
60.48,2024060220,34804
59.46,2024060818,34804
73.11,2024061121,34804
52.78,2024061309,34804
63.16,2024052319,34806
63.16,2024052414,34806
58.23,2024053000,34806
58.08,2024053011,34806
54.23,2024060122,34806
55.54,2024060300,34806
62.87,2024060611,34806
63.24,2024060617,34806
66.87,2024060621,34806
62.87,2024060707,34806
64.25,2024060718,34806
64.62,2024060720,34806
86.4,2024060802,34806
70.42,2024060808,34806
63.09,2024060909,34806
62.15,2024061023,34806
66.5,2024061112,34806
61.71,2024061220,34806
69.7,2024061313,34806
68.46,2024061519,34806
68.25,2024061602,34806
68.46,2024061609,34806
68.46,2024061611,34806
122.99,2024052703,34807
123.79,2024052811,34807
202.49,2024060708,34807
235.6,2024060807,34807
225.72,2024060921,34807
98.23,2024061618,34807
58.45,2024052206,34808
63.75,2024061714,34808
63.75,2024061719,34808
52.35,2024062011,34808
20.04,2024052122,34809
15.97,2024052201,34809
20.33,2024052212,34809
17.42,2024052218,34809
19.75,2024052220,34809
20.33,2024052221,34809
18.44,2024052223,34809
19.68,2024052301,34809
19.68,2024052307,34809
19.82,2024052310,34809
20.47,2024052315,34809
16.7,2024052319,34809
20.47,2024052322,34809
19.6,2024052406,34809
20.18,2024052423,34809
20.62,2024052507,34809
15.03,2024052515,34809
18.01,2024052520,34809
19.89,2024052523,34809
18.88,2024052609,34809
20.47,2024052613,34809
19.68,2024052623,34809
18.51,2024052702,34809
19.68,2024052708,34809
19.02,2024052716,34809
20.69,2024052805,34809
20.62,2024052814,34809
18.73,2024053003,34809
18.73,2024053006,34809
17.93,2024053014,34809
16.92,2024053016,34809
16.99,2024053020,34809
17.64,2024053022,34809
18.59,2024053101,34809
18.01,2024053108,34809
18.73,2024060104,34809
18.08,2024060108,34809
18.51,2024060110,34809
18.73,2024060115,34809
19.53,2024060122,34809
19.82,2024060204,34809
18.59,2024060215,34809
17.79,2024060220,34809
18.95,2024060223,34809
18.59,2024060309,34809
18.59,2024060311,34809
17.93,2024060312,34809
19.97,2024060313,34809
18.01,2024060315,34809
19.68,2024060323,34809
20.04,2024060401,34809
19.02,2024060412,34809
19.68,2024060421,34809
17.86,2024060500,34809
17.35,2024060515,34809
19.53,2024060516,34809
20.04,2024060518,34809
16.55,2024060520,34809
15.46,2024060523,34809
19.46,2024060614,34809
18.01,2024060700,34809
18.08,2024060705,34809
18.59,2024060706,34809
19.53,2024060710,34809
18.15,2024060721,34809
18.15,2024060723,34809
18.88,2024060805,34809
17.28,2024060808,34809
18.95,2024060815,34809
16.77,2024060816,34809
19.39,2024060820,34809
19.39,2024060822,34809
18.01,2024060908,34809
17.79,2024060915,34809
15.61,2024060916,34809
19.46,2024060923,34809
18.15,2024061010,34809
18.01,2024061014,34809
18.66,2024061016,34809
16.7,2024061113,34809
16.77,2024061121,34809
16.77,2024061122,34809
15.68,2024061123,34809
16.92,2024061201,34809
18.59,2024061202,34809
13.79,2024061215,34809
17.28,2024061216,34809
14.3,2024061217,34809
15.46,2024061218,34809
17.86,2024061222,34809
15.9,2024061303,34809
17.93,2024061314,34809
19.09,2024061316,34809
17.13,2024061422,34809
17.42,2024061500,34809
17.93,2024061508,34809
17.35,2024061512,34809
17.79,2024061516,34809
17.35,2024061518,34809
17.35,2024061523,34809
17.72,2024061615,34809
16.99,2024061617,34809
17.79,2024061618,34809
17.28,2024061703,34809
17.93,2024061706,34809
17.64,2024061707,34809
18.59,2024061712,34809
17.64,2024061715,34809
14.52,2024061800,34809
17.86,2024061820,34809
17.79,2024061821,34809
17.93,2024061901,34809
22.72,2024061904,34809
17.35,2024061917,34809
18.44,2024061920,34809
18.08,2024062000,34809
18.08,2024062005,34809
17.57,2024062010,34809
18.15,2024062016,34809
16.34,2024052312,34810
16.34,2024052322,34810
16.55,2024052402,34810
16.34,2024052410,34810
17.35,2024052811,34810
18.08,2024052911,34810
18.37,2024052919,34810
18.66,2024053002,34810
18.66,2024053004,34810
18.66,2024053005,34810
18.66,2024053011,34810
18.66,2024053017,34810
19.17,2024053021,34810
19.24,2024053023,34810
18.01,2024053109,34810
19.31,2024053110,34810
20.84,2024060116,34810
21.35,2024060201,34810
21.78,2024060216,34810
21.78,2024060217,34810
18.01,2024060421,34810
17.35,2024060423,34810
20.91,2024060614,34810
20.47,2024060623,34810
20.47,2024060714,34810
20.04,2024060723,34810
19.6,2024060803,34810
19.39,2024060804,34810
18.3,2024060805,34810
18.08,2024060809,34810
17.06,2024060906,34810
14.67,2024060910,34810
15.9,2024061116,34810
16.55,2024061216,34810
15.75,2024061217,34810
15.1,2024061309,34810
14.01,2024061401,34810
13.87,2024061414,34810
13.0,2024061418,34810
14.01,2024061420,34810
13.72,2024061516,34810
14.01,2024061608,34810
16.19,2024061618,34810
16.34,2024061720,34810
15.46,2024061919,34810
14.81,2024062002,34810
16.55,2024052118,34811
16.41,2024052119,34811
16.99,2024052217,34811
16.7,2024052305,34811
16.84,2024052315,34811
17.13,2024052417,34811
17.13,2024052419,34811
17.21,2024052420,34811
17.35,2024052501,34811
16.34,2024052615,34811
16.63,2024052619,34811
9.08,2024052710,34811
12.71,2024052721,34811
16.48,2024052800,34811
16.7,2024053008,34811
16.77,2024053010,34811
16.7,2024053018,34811
17.72,2024053021,34811
16.99,2024053101,34811
15.9,2024060101,34811
16.19,2024060108,34811
13.87,2024060114,34811
14.81,2024060200,34811
15.97,2024060203,34811
16.05,2024060207,34811
16.12,2024060212,34811
16.12,2024060214,34811
16.19,2024060219,34811
16.34,2024060313,34811
16.41,2024060314,34811
15.25,2024060320,34811
16.41,2024060322,34811
15.61,2024060415,34811
15.83,2024060418,34811
16.63,2024060420,34811
16.41,2024060422,34811
16.7,2024060500,34811
16.34,2024060504,34811
16.7,2024060505,34811
16.92,2024060506,34811
16.26,2024060507,34811
14.3,2024060509,34811
17.57,2024060514,34811
13.07,2024060519,34811
17.21,2024060710,34811
17.21,2024060712,34811
17.35,2024060717,34811
17.35,2024060718,34811
16.7,2024060722,34811
16.77,2024060802,34811
16.63,2024060809,34811
16.26,2024060814,34811
16.05,2024060816,34811
17.72,2024060819,34811
17.35,2024060821,34811
15.83,2024060822,34811
17.57,2024060901,34811
15.83,2024060910,34811
17.79,2024060911,34811
18.01,2024060915,34811
14.96,2024060916,34811
17.93,2024060917,34811
16.19,2024060918,34811
18.01,2024060921,34811
14.38,2024061000,34811
18.15,2024061002,34811
18.3,2024061006,34811
18.15,2024061007,34811
18.37,2024061009,34811
15.83,2024061012,34811
18.37,2024061017,34811
17.28,2024061019,34811
18.59,2024061020,34811
14.3,2024061102,34811
18.37,2024061120,34811
18.51,2024061205,34811
18.59,2024061211,34811
18.44,2024061216,34811
