0,1,2
0.0,1,2
959.45,2024052709,34891
1182.85,2024060401,34891
1285.44,2024060507,34891
1203.32,2024060812,34891
1150.98,2024061018,34891
1110.61,2024061704,34891
1099.35,2024061714,34891
968.38,2024052305,34892
922.35,2024052402,34892
995.9,2024052504,34892
1039.09,2024053019,34892
1063.27,2024060402,34892
1000.9,2024060406,34892
996.19,2024060607,34892
980.0,2024060610,34892
947.03,2024061801,34892
4.17,2024052117,34896
4.17,2024052121,34896
4.57,2024052201,34896
4.57,2024052205,34896
4.72,2024052209,34896
4.5,2024052213,34896
3.99,2024052217,34896
6.24,2024052221,34896
3.27,2024052301,34896
3.99,2024052305,34896
3.99,2024052309,34896
4.25,2024052313,34896
4.28,2024052317,34896
4.07,2024052321,34896
4.65,2024052401,34896
3.9,2024052405,34896
4.17,2024052409,34896
4.19,2024052413,34896
4.31,2024052417,34896
4.07,2024052421,34896
4.65,2024052501,34896
4.12,2024052505,34896
4.19,2024052509,34896
4.1,2024052513,34896
4.28,2024052517,34896
4.43,2024052521,34896
4.34,2024052601,34896
4.57,2024052605,34896
4.61,2024052609,34896
4.68,2024052613,34896
4.61,2024052617,34896
4.57,2024052621,34896
5.81,2024052701,34896
3.99,2024052705,34896
4.36,2024052709,34896
4.31,2024052713,34896
4.28,2024052717,34896
4.79,2024052721,34896
4.28,2024052801,34896
4.07,2024052805,34896
4.07,2024052809,34896
4.28,2024052813,34896
4.5,2024052817,34896
4.62,2024052821,34896
4.45,2024052901,34896
4.16,2024052905,34896
3.97,2024052909,34896
4.23,2024052913,34896
4.26,2024052917,34896
3.99,2024052921,34896
4.36,2024053001,34896
4.36,2024053005,34896
4.36,2024053009,34896
4.09,2024053013,34896
4.07,2024053017,34896
4.36,2024053021,34896
4.36,2024053101,34896
4.28,2024053105,34896
4.43,2024053109,34896
5.15,2024053113,34896
4.36,2024053117,34896
4.28,2024053121,34896
4.28,2024060101,34896
4.43,2024060105,34896
4.21,2024060109,34896
4.14,2024060113,34896
4.17,2024060117,34896
4.54,2024060121,34896
4.65,2024060201,34896
3.92,2024060205,34896
3.92,2024060209,34896
4.21,2024060213,34896
3.96,2024060217,34896
3.92,2024060221,34896
4.43,2024060301,34896
7.41,2024060305,34896
3.92,2024060309,34896
3.93,2024060313,34896
3.88,2024060317,34896
3.96,2024060321,34896
3.99,2024060401,34896
3.92,2024060405,34896
3.99,2024060409,34896
3.94,2024060413,34896
4.17,2024060417,34896
4.43,2024060421,34896
4.57,2024060501,34896
4.21,2024060505,34896
4.63,2024060509,34896
4.28,2024060513,34896
4.39,2024060517,34896
4.36,2024060521,34896
4.5,2024060601,34896
4.02,2024060605,34896
4.4,2024060609,34896
4.02,2024060613,34896
4.05,2024060617,34896
4.61,2024060621,34896
4.65,2024060701,34896
4.17,2024060705,34896
4.43,2024060709,34896
4.28,2024060713,34896
3.92,2024060717,34896
4.49,2024060721,34896
4.65,2024060801,34896
4.65,2024060805,34896
4.68,2024060809,34896
3.85,2024060813,34896
4.16,2024060817,34896
4.39,2024060821,34896
4.05,2024060901,34896
4.09,2024060905,34896
4.3,2024060909,34896
4.63,2024060913,34896
4.25,2024060917,34896
4.57,2024060921,34896
4.65,2024061001,34896
4.57,2024061005,34896
4.57,2024061009,34896
4.28,2024061013,34896
3.61,2024061017,34896
4.34,2024061021,34896
11.04,2024061101,34896
4.02,2024061105,34896
4.5,2024061109,34896
4.43,2024061113,34896
4.57,2024061117,34896
4.21,2024061121,34896
4.09,2024061201,34896
4.57,2024061205,34896
3.92,2024061209,34896
3.92,2024061213,34896
4.44,2024061217,34896
4.59,2024061221,34896
4.57,2024061301,34896
4.28,2024061305,34896
4.65,2024061309,34896
4.44,2024061313,34896
4.43,2024061317,34896
4.14,2024061321,34896
4.38,2024061401,34896
3.92,2024061405,34896
4.65,2024061409,34896
5.08,2024061413,34896
4.6,2024061417,34896
4.57,2024061421,34896
4.57,2024061501,34896
4.65,2024061505,34896
4.58,2024061509,34896
4.59,2024061513,34896
4.26,2024061517,34896
4.59,2024061521,34896
4.65,2024061601,34896
4.65,2024061605,34896
4.5,2024061609,34896
4.61,2024061613,34896
4.32,2024061617,34896
4.52,2024061621,34896
4.65,2024061701,34896
4.65,2024061705,34896
4.65,2024061709,34896
4.68,2024061713,34896
4.55,2024061717,34896
4.72,2024061721,34896
4.72,2024061801,34896
4.79,2024061805,34896
4.61,2024061809,34896
4.79,2024061813,34896
4.72,2024061817,34896
4.86,2024061821,34896
4.43,2024061901,34896
4.65,2024061905,34896
4.19,2024061909,34896
4.57,2024061913,34896
4.57,2024061917,34896
4.86,2024061921,34896
4.79,2024062001,34896
4.5,2024062005,34896
4.48,2024062009,34896
103.82,2024052120,34901
102.52,2024052122,34901
104.11,2024052213,34901
103.75,2024052215,34901
108.83,2024052218,34901
102.08,2024052222,34901
108.83,2024052302,34901
101.28,2024052308,34901
101.5,2024052316,34901
98.01,2024052403,34901
102.81,2024052407,34901
108.03,2024052415,34901
103.31,2024052418,34901
100.12,2024052420,34901
101.21,2024052421,34901
100.19,2024052500,34901
103.53,2024052503,34901
99.39,2024052520,34901
106.44,2024052612,34901
99.76,2024052619,34901
100.85,2024052620,34901
100.05,2024052716,34901
108.11,2024052718,34901
99.39,2024052720,34901
117.25,2024052802,34901
108.76,2024052805,34901
99.47,2024052814,34901
112.97,2024052822,34901
109.99,2024052907,34901
99.18,2024052915,34901
90.68,2024052920,34901
93.95,2024053003,34901
100.12,2024053019,34901
99.97,2024053107,34901
99.97,2024053115,34901
100.34,2024060106,34901
102.81,2024060112,34901
100.85,2024060117,34901
110.94,2024060204,34901
111.95,2024060217,34901
101.64,2024060218,34901
99.39,2024060319,34901
111.08,2024060401,34901
106.44,2024060413,34901
108.32,2024060517,34901
108.76,2024060522,34901
108.76,2024060609,34901
106.51,2024060618,34901
111.16,2024060701,34901
108.69,2024060706,34901
99.83,2024060715,34901
108.69,2024060801,34901
95.4,2024060804,34901
94.38,2024060805,34901
99.1,2024060807,34901
95.62,2024060810,34901
95.55,2024060814,34901
108.4,2024060818,34901
94.38,2024060822,34901
92.35,2024060910,34901
107.67,2024061010,34901
93.66,2024061011,34901
97.14,2024061023,34901
110.36,2024061103,34901
93.73,2024061104,34901
93.15,2024061207,34901
99.97,2024061211,34901
91.84,2024061219,34901
100.77,2024061312,34901
100.63,2024061411,34901
91.48,2024061422,34901
91.48,2024061520,34901
99.9,2024061621,34901
93.22,2024061623,34901
100.7,2024061705,34901
92.5,2024061720,34901
89.16,2024061722,34901
83.86,2024061816,34901
89.01,2024061907,34901
85.02,2024061911,34901
81.46,2024061912,34901
88.14,2024061913,34901
87.92,2024061920,34901
87.7,2024061921,34901
87.92,2024062003,34901
87.92,2024062009,34901
0.65,2024052117,34895
0.65,2024052121,34895
0.65,2024052201,34895
0.73,2024052205,34895
0.67,2024052209,34895
0.58,2024052213,34895
0.7,2024052217,34895
0.76,2024052221,34895
0.73,2024052301,34895
0.73,2024052305,34895
0.74,2024052309,34895
0.68,2024052313,34895
0.76,2024052317,34895
0.68,2024052321,34895
0.73,2024052401,34895
0.72,2024052405,34895
0.7,2024052409,34895
0.63,2024052413,34895
0.67,2024052417,34895
0.69,2024052421,34895
0.58,2024052501,34895
0.65,2024052505,34895
0.67,2024052509,34895
0.64,2024052513,34895
0.65,2024052517,34895
0.82,2024052521,34895
0.8,2024052601,34895
0.7,2024052605,34895
0.73,2024052609,34895
0.73,2024052613,34895
0.51,2024052617,34895
0.58,2024052621,34895
0.87,2024052701,34895
0.73,2024052705,34895
0.62,2024052709,34895
0.73,2024052713,34895
0.65,2024052717,34895
0.58,2024052721,34895
0.65,2024052801,34895
0.68,2024052805,34895
0.7,2024052809,34895
0.73,2024052813,34895
0.65,2024052817,34895
