PP-野牛,崭新出厂,纪念品,37952,PP-野牛（纪念品） | 午夜行动,3,1587.5,1585.17,1.0,2024-06-16
PP-野牛,崭新出厂,普通,36281,PP-野牛 | 现代猎手,1,999.5,1765.96,1.77,2024-06-16
PP-野牛,崭新出厂,纪念品,37938,PP-野牛（纪念品） | 黄铜,11,799.49,1414.47,1.77,2024-06-16
PP-野牛,破损不堪,普通,36284,PP-野牛 | 现代猎手,2,383.49,105.19,0.27,2024-06-16
PP-野牛,战痕累累,纪念品,37956,PP-野牛（纪念品） | 沙漠虚线,3,378.48,232.37,0.61,2024-06-16
PP-野牛,略有磨损,纪念品,37954,PP-野牛（纪念品） | 午夜行动,5,265.5,344.39,1.3,2024-06-16
PP-野牛,崭新出厂,StatTrak™,39400,PP-野牛（StatTrak™） | 阿努比斯之审判,85,243.82,331.54,1.36,2024-06-16
PP-野牛,崭新出厂,StatTrak™,39395,PP-野牛（StatTrak™） | 买定离手,44,209.5,272.06,1.3,2024-06-16
PP-野牛,崭新出厂,普通,36246,PP-野牛 | 森林之叶,1,207.5,262.04,1.26,2024-06-16
PP-野牛,崭新出厂,StatTrak™,39376,PP-野牛（StatTrak™） | 水蓝条纹,14,189.5,294.69,1.56,2024-06-16
PP-野牛,略有磨损,纪念品,37959,PP-野牛（纪念品） | 沙漠虚线,9,169.5,79.8,0.47,2024-06-16
PP-野牛,崭新出厂,普通,36301,PP-野牛 | 外表生锈,5,165,227.15,1.38,2024-06-16
PP-野牛,略有磨损,普通,36283,PP-野牛 | 现代猎手,2,158.5,191.31,1.21,2024-06-16
PP-野牛,战痕累累,普通,36214,PP-野牛 | 古董枪,5,149.47,152.21,1.02,2024-06-16
PP-野牛,略有磨损,StatTrak™,39402,PP-野牛（StatTrak™） | 阿努比斯之审判,79,129.5,199.72,1.54,2024-06-16
PP-野牛,略有磨损,普通,36303,PP-野牛 | 外表生锈,4,119,130.51,1.1,2024-06-16
PP-野牛,略有磨损,纪念品,37940,PP-野牛（纪念品） | 黄铜,68,116.38,195.73,1.68,2024-06-16
PP-野牛,崭新出厂,普通,36266,PP-野牛 | 辐照警报,5,109.49,166.86,1.52,2024-06-16
PP-野牛,崭新出厂,StatTrak™,39371,PP-野牛（StatTrak™） | 古董枪,49,106.47,159.82,1.5,2024-06-16
PP-野牛,崭新出厂,纪念品,37943,PP-野牛（纪念品） | 化工之绿,58,104.5,160.26,1.53,2024-06-16
PP-野牛,略有磨损,StatTrak™,39373,PP-野牛（StatTrak™） | 古董枪,11,102.5,129.14,1.26,2024-06-16
PP-野牛,战痕累累,普通,36300,PP-野牛 | 外表生锈,20,99.89,123.26,1.23,2024-06-16
PP-野牛,崭新出厂,StatTrak™,776788,PP-野牛（StatTrak™） | 路霸,33,95.39,116.15,1.22,2024-06-16
PP-野牛,崭新出厂,普通,36234,PP-野牛 | 碳素纤维,17,92.9,109.91,1.18,2024-06-16
PP-野牛,久经沙场,StatTrak™,39372,PP-野牛（StatTrak™） | 古董枪,16,90.41,108.53,1.2,2024-06-16
PP-野牛,战痕累累,StatTrak™,39370,PP-野牛（StatTrak™） | 古董枪,4,88.48,92.79,1.05,2024-06-16
PP-野牛,久经沙场,普通,36302,PP-野牛 | 外表生锈,6,85.83,92.57,1.08,2024-06-16
PP-野牛,略有磨损,普通,36235,PP-野牛 | 碳素纤维,3,85.79,134.5,1.57,2024-06-16
PP-野牛,崭新出厂,纪念品,43910,PP-野牛（纪念品） | 辐照警报,11,82.8,108.82,1.31,2024-06-16
PP-野牛,破损不堪,StatTrak™,39374,PP-野牛（StatTrak™） | 古董枪,9,81.3,100.12,1.23,2024-06-16
PP-野牛,久经沙场,StatTrak™,39401,PP-野牛（StatTrak™） | 阿努比斯之审判,105,74.3,101.28,1.36,2024-06-16
PP-野牛,崭新出厂,普通,36215,PP-野牛 | 古董枪,69,74.26,97.65,1.31,2024-06-16
PP-野牛,久经沙场,普通,36282,PP-野牛 | 现代猎手,5,71.9,92.72,1.29,2024-06-16
PP-野牛,战痕累累,StatTrak™,39399,PP-野牛（StatTrak™） | 阿努比斯之审判,9,71.61,93.88,1.31,2024-06-16
PP-野牛,崭新出厂,普通,36261,PP-野牛 | 买定离手,117,69.6,94.75,1.36,2024-06-16
PP-野牛,破损不堪,纪念品,37960,PP-野牛（纪念品） | 沙漠虚线,3,68.63,73.71,1.07,2024-06-16
PP-野牛,破损不堪,普通,36304,PP-野牛 | 外表生锈,5,68.4,114.63,1.68,2024-06-16
PP-野牛,略有磨损,StatTrak™,39397,PP-野牛（StatTrak™） | 买定离手,96,66.8,89.67,1.34,2024-06-16
PP-野牛,战痕累累,普通,36280,PP-野牛 | 现代猎手,1,63.7,116.15,1.82,2024-06-16
PP-野牛,破损不堪,StatTrak™,39403,PP-野牛（StatTrak™） | 阿努比斯之审判,21,61.36,99.1,1.62,2024-06-16
PP-野牛,略有磨损,普通,36217,PP-野牛 | 古董枪,45,59.66,76.47,1.28,2024-06-16
PP-野牛,崭新出厂,普通,36271,PP-野牛 | 阿努比斯之审判,614,55.6,75.89,1.36,2024-06-16
PP-野牛,破损不堪,普通,871807,PP-野牛 | 开关箱,6,54.8,47.08,0.86,2024-06-16
PP-野牛,破损不堪,普通,36218,PP-野牛 | 古董枪,6,54.66,70.66,1.29,2024-06-16
PP-野牛,久经沙场,普通,36216,PP-野牛 | 古董枪,15,53.58,68.49,1.28,2024-06-16
PP-野牛,崭新出厂,纪念品,37962,PP-野牛（纪念品） | 都市虚线,25,46.56,54.85,1.18,2024-06-16
PP-野牛,崭新出厂,StatTrak™,39420,PP-野牛（StatTrak™） | 水纹之印,68,43.47,56.88,1.31,2024-06-16
PP-野牛,崭新出厂,StatTrak™,39385,PP-野牛（StatTrak™） | 核燃料棒,127,43.18,61.96,1.43,2024-06-16
PP-野牛,略有磨损,StatTrak™,39422,PP-野牛（StatTrak™） | 水纹之印,18,42.89,56.51,1.32,2024-06-16
PP-野牛,久经沙场,StatTrak™,39421,PP-野牛（StatTrak™） | 水纹之印,24,41.67,52.74,1.27,2024-06-16
PP-野牛,略有磨损,StatTrak™,39378,PP-野牛（StatTrak™） | 水蓝条纹,54,41.63,57.97,1.39,2024-06-16
PP-野牛,战痕累累,StatTrak™,39419,PP-野牛（StatTrak™） | 水纹之印,3,40.4,53.4,1.32,2024-06-16
PP-野牛,久经沙场,纪念品,37939,PP-野牛（纪念品） | 黄铜,72,39.88,53.98,1.35,2024-06-16
PP-野牛,破损不堪,StatTrak™,39423,PP-野牛（StatTrak™） | 水纹之印,10,38.9,43.38,1.12,2024-06-16
PP-野牛,略有磨损,StatTrak™,775802,PP-野牛（StatTrak™） | 路霸,38,38.8,59.49,1.53,2024-06-16
PP-野牛,崭新出厂,普通,36220,PP-野牛 | 墨竹,115,38.68,49.84,1.29,2024-06-16
PP-野牛,崭新出厂,普通,36225,PP-野牛 | 水蓝条纹,52,38.6,60.87,1.58,2024-06-16
PP-野牛,略有磨损,普通,36273,PP-野牛 | 阿努比斯之审判,773,37.3,47.59,1.28,2024-06-16
PP-野牛,战痕累累,纪念品,37937,PP-野牛（纪念品） | 黄铜,26,35.8,61.16,1.71,2024-06-16
PP-野牛,略有磨损,普通,36263,PP-野牛 | 买定离手,224,32.9,42.8,1.3,2024-06-16
PP-野牛,久经沙场,纪念品,37958,PP-野牛（纪念品） | 沙漠虚线,20,32.37,42.66,1.32,2024-06-16
PP-野牛,崭新出厂,普通,775695,PP-野牛 | 路霸,57,31.9,49.48,1.55,2024-06-16
PP-野牛,略有磨损,普通,36268,PP-野牛 | 辐照警报,12,31.69,46.36,1.46,2024-06-16
PP-野牛,久经沙场,StatTrak™,39396,PP-野牛（StatTrak™） | 买定离手,118,31.2,39.83,1.28,2024-06-16
PP-野牛,崭新出厂,普通,774702,PP-野牛 | 海鸟,160,30.9,42.37,1.37,2024-06-16
PP-野牛,崭新出厂,普通,36237,PP-野牛 | 化工之绿,78,30.6,39.61,1.29,2024-06-16
PP-野牛,战痕累累,普通,775258,PP-野牛 | 海鸟,11,30.25,41.79,1.38,2024-06-16
PP-野牛,略有磨损,普通,774704,PP-野牛 | 海鸟,46,29.3,37.72,1.29,2024-06-16
PP-野牛,崭新出厂,StatTrak™,39410,PP-野牛（StatTrak™） | 死亡主宰者,190,28.9,41.86,1.45,2024-06-16
PP-野牛,破损不堪,普通,775524,PP-野牛 | 海鸟,24,28.74,37.22,1.3,2024-06-16
PP-野牛,久经沙场,普通,774899,PP-野牛 | 海鸟,22,28.45,34.82,1.22,2024-06-16
PP-野牛,崭新出厂,StatTrak™,39415,PP-野牛（StatTrak™） | 透光区,86,27.89,41.42,1.49,2024-06-16
PP-野牛,破损不堪,普通,36274,PP-野牛 | 阿努比斯之审判,17,27.79,31.85,1.15,2024-06-16
PP-野牛,破损不堪,StatTrak™,39398,PP-野牛（StatTrak™） | 买定离手,24,27.69,34.68,1.25,2024-06-16
PP-野牛,崭新出厂,普通,871400,PP-野牛 | 开关箱,15,27.52,42.95,1.56,2024-06-16
PP-野牛,破损不堪,纪念品,37941,PP-野牛（纪念品） | 黄铜,42,27.21,41.93,1.54,2024-06-16
PP-野牛,略有磨损,普通,871374,PP-野牛 | 开关箱,12,27.02,37.87,1.4,2024-06-16
PP-野牛,久经沙场,普通,871556,PP-野牛 | 开关箱,7,26.64,35.33,1.33,2024-06-16
PP-野牛,久经沙场,普通,36272,PP-野牛 | 阿努比斯之审判,959,25.24,33.52,1.33,2024-06-16
PP-野牛,略有磨损,普通,36222,PP-野牛 | 墨竹,49,24.9,31.85,1.28,2024-06-16
PP-野牛,战痕累累,StatTrak™,39394,PP-野牛（StatTrak™） | 买定离手,21,24.78,29.6,1.19,2024-06-16
PP-野牛,破损不堪,普通,36223,PP-野牛 | 墨竹,5,23.24,26.41,1.14,2024-06-16
PP-野牛,战痕累累,StatTrak™,39375,PP-野牛（StatTrak™） | 水蓝条纹,6,23.19,33.44,1.44,2024-06-16
PP-野牛,略有磨损,普通,36248,PP-野牛 | 森林之叶,7,22.9,40.41,1.76,2024-06-16
PP-野牛,久经沙场,普通,36267,PP-野牛 | 辐照警报,17,22.85,30.25,1.32,2024-06-16
PP-野牛,崭新出厂,StatTrak™,871733,PP-野牛（StatTrak™） | 战术手电,58,22.79,33.95,1.49,2024-06-16
PP-野牛,略有磨损,StatTrak™,39387,PP-野牛（StatTrak™） | 核燃料棒,133,22,29.74,1.35,2024-06-16
PP-野牛,久经沙场,StatTrak™,39377,PP-野牛（StatTrak™） | 水蓝条纹,24,21.8,28.0,1.28,2024-06-16
PP-野牛,战痕累累,普通,36270,PP-野牛 | 阿努比斯之审判,25,21.69,29.67,1.37,2024-06-16
PP-野牛,略有磨损,普通,36227,PP-野牛 | 水蓝条纹,58,21.56,27.35,1.27,2024-06-16
PP-野牛,破损不堪,StatTrak™,39379,PP-野牛（StatTrak™） | 水蓝条纹,9,21.53,28.66,1.33,2024-06-16
PP-野牛,崭新出厂,StatTrak™,39380,PP-野牛（StatTrak™） | 钻蓝半调,34,21.4,29.02,1.36,2024-06-16
PP-野牛,略有磨损,纪念品,37945,PP-野牛（纪念品） | 化工之绿,354,21.08,26.04,1.24,2024-06-16
PP-野牛,战痕累累,普通,36219,PP-野牛 | 墨竹,8,19.83,25.61,1.29,2024-06-16
PP-野牛,略有磨损,StatTrak™,39412,PP-野牛（StatTrak™） | 死亡主宰者,151,19.79,25.68,1.3,2024-06-16
PP-野牛,久经沙场,普通,36221,PP-野牛 | 墨竹,22,19.78,25.03,1.27,2024-06-16
PP-野牛,破损不堪,普通,36269,PP-野牛 | 辐照警报,13,19.5,30.25,1.55,2024-06-16
PP-野牛,久经沙场,StatTrak™,775556,PP-野牛（StatTrak™） | 路霸,63,19.48,28.15,1.45,2024-06-16
PP-野牛,久经沙场,普通,36247,PP-野牛 | 森林之叶,9,19.32,19.81,1.03,2024-06-16
PP-野牛,略有磨损,普通,775298,PP-野牛 | 路霸,48,18.36,25.03,1.36,2024-06-16
PP-野牛,久经沙场,普通,36262,PP-野牛 | 买定离手,233,18,24.74,1.37,2024-06-16
PP-野牛,崭新出厂,StatTrak™,887045,PP-野牛（StatTrak™） | 太空猫,347,17.24,21.69,1.26,2024-06-16
PP-野牛,战痕累累,普通,36265,PP-野牛 | 辐照警报,15,16.76,28.44,1.7,2024-06-16
PP-野牛,破损不堪,StatTrak™,775842,PP-野牛（StatTrak™） | 路霸,14,16.38,21.18,1.29,2024-06-16
PP-野牛,略有磨损,普通,36239,PP-野牛 | 化工之绿,63,16.15,21.11,1.31,2024-06-16
PP-野牛,破损不堪,普通,36228,PP-野牛 | 水蓝条纹,4,14.9,14.65,0.98,2024-06-16
PP-野牛,战痕累累,普通,36245,PP-野牛 | 森林之叶,11,14.71,16.98,1.15,2024-06-16
PP-野牛,战痕累累,StatTrak™,775978,PP-野牛（StatTrak™） | 路霸,27,14.67,20.02,1.36,2024-06-16
PP-野牛,破损不堪,普通,36264,PP-野牛 | 买定离手,24,14.59,19.44,1.33,2024-06-16
PP-野牛,久经沙场,普通,36238,PP-野牛 | 化工之绿,10,14.53,18.43,1.27,2024-06-16
