法玛斯,崭新出厂,普通,34679,法玛斯 | 喷焰者,4,1549.5,1813.55,1.17,2024-06-16
法玛斯,崭新出厂,纪念品,929111,法玛斯（纪念品） | 奈芙蒂斯之河,27,1343.5,2183.69,1.63,2024-06-16
法玛斯,崭新出厂,纪念品,37612,法玛斯（纪念品） | 摧枯拉朽,5,1099.5,2261.32,2.06,2024-06-16
法玛斯,略有磨损,纪念品,37605,法玛斯（纪念品） | 湖蓝涂装,5,992.5,1393.43,1.4,2024-06-16
法玛斯,崭新出厂,普通,775950,法玛斯 | 日暮,12,809.5,1074.36,1.33,2024-06-16
法玛斯,略有磨损,普通,775365,法玛斯 | 日暮,11,778.99,1102.29,1.42,2024-06-16
法玛斯,久经沙场,普通,775893,法玛斯 | 日暮,6,777.5,1455.89,1.87,2024-06-16
法玛斯,战痕累累,普通,776099,法玛斯 | 日暮,4,773.5,1041.28,1.35,2024-06-16
法玛斯,崭新出厂,普通,835691,法玛斯 | 幕后主谋,30,601.5,849.32,1.41,2024-06-16
法玛斯,破损不堪,普通,835683,法玛斯 | 幕后主谋,2,598,1762.12,2.95,2024-06-16
法玛斯,久经沙场,普通,835560,法玛斯 | 幕后主谋,20,594.89,782.94,1.32,2024-06-16
法玛斯,略有磨损,普通,835648,法玛斯 | 幕后主谋,16,587.5,860.71,1.47,2024-06-16
法玛斯,崭新出厂,普通,927385,法玛斯 | 奈芙蒂斯之河,175,577.5,848.01,1.47,2024-06-16
法玛斯,崭新出厂,普通,34630,法玛斯 | 对比涂装,1,569.5,580.31,1.02,2024-06-16
法玛斯,久经沙场,纪念品,37613,法玛斯（纪念品） | 摧枯拉朽,4,518,3251.09,6.28,2024-06-16
法玛斯,崭新出厂,StatTrak™,38529,法玛斯（StatTrak™） | 防滚架,38,499,848.88,1.7,2024-06-16
法玛斯,略有磨损,纪念品,929113,法玛斯（纪念品） | 奈芙蒂斯之河,32,459.5,747.1,1.63,2024-06-16
法玛斯,略有磨损,普通,927378,法玛斯 | 奈芙蒂斯之河,100,413,539.39,1.31,2024-06-16
法玛斯,战痕累累,纪念品,37603,法玛斯（纪念品） | 湖蓝涂装,2,396.5,654.09,1.65,2024-06-16
法玛斯,崭新出厂,纪念品,37608,法玛斯（纪念品） | 冥界之憎,63,378,580.31,1.54,2024-06-16
法玛斯,略有磨损,普通,34681,法玛斯 | 喷焰者,8,369.63,387.19,1.05,2024-06-16
法玛斯,崭新出厂,普通,34620,法玛斯 | 残影,52,344.27,449.07,1.3,2024-06-16
法玛斯,崭新出厂,StatTrak™,773780,法玛斯（StatTrak™） | 纪念碑,127,342.49,539.39,1.57,2024-06-16
法玛斯,久经沙场,纪念品,37604,法玛斯（纪念品） | 湖蓝涂装,6,309.5,289.18,0.93,2024-06-16
法玛斯,破损不堪,纪念品,929134,法玛斯（纪念品） | 奈芙蒂斯之河,1,299.5,399.59,1.33,2024-06-16
法玛斯,破损不堪,纪念品,37602,法玛斯（纪念品） | 殖民侵略者,6,287.5,108.68,0.38,2024-06-16
