FN57,战痕累累,纪念品,877217,FN57（纪念品） | 坠落危险,4,2699.5,436.01,0.16,2024-06-16
FN57,崭新出厂,StatTrak™,38566,FN57（StatTrak™） | 暴怒野兽,5,2499.5,5126.46,2.05,2024-06-16
FN57,略有磨损,普通,34762,FN57 | 日式荧光涂装,6,1947.38,2477.08,1.27,2024-06-16
FN57,崭新出厂,普通,34760,FN57 | 日式荧光涂装,33,1919.5,2747.9,1.43,2024-06-16
FN57,久经沙场,普通,34761,FN57 | 日式荧光涂装,3,1888.38,2641.98,1.4,2024-06-16
FN57,战痕累累,普通,34759,FN57 | 日式荧光涂装,2,1588.38,2670.56,1.68,2024-06-16
FN57,崭新出厂,普通,871848,FN57 | 坠落危险,27,1446,2176.44,1.51,2024-06-16
FN57,战痕累累,普通,871941,FN57 | 坠落危险,1,1299.5,14318.65,11.02,2024-06-16
FN57,略有磨损,普通,871928,FN57 | 坠落危险,5,1292.5,2049.55,1.59,2024-06-16
FN57,破损不堪,普通,872062,FN57 | 坠落危险,1,1199.5,1240.14,1.03,2024-06-16
FN57,久经沙场,普通,871904,FN57 | 坠落危险,6,1189.5,1850.05,1.56,2024-06-16
FN57,略有磨损,StatTrak™,38568,FN57（StatTrak™） | 暴怒野兽,19,1042.39,1886.18,1.81,2024-06-16
FN57,战痕累累,普通,776010,FN57 | 绛之绽放,1,999.5,903.73,0.9,2024-06-16
FN57,崭新出厂,纪念品,37635,FN57（纪念品） | 银白石英,4,999.5,8951.77,8.96,2024-06-16
FN57,久经沙场,纪念品,37636,FN57（纪念品） | 银白石英,2,998.5,456.04,0.46,2024-06-16
FN57,崭新出厂,普通,775825,FN57 | 绛之绽放,18,819.5,1148.65,1.4,2024-06-16
FN57,略有磨损,普通,776048,FN57 | 绛之绽放,7,814.5,1131.39,1.39,2024-06-16
FN57,略有磨损,纪念品,37637,FN57（纪念品） | 银白石英,5,787,890.16,1.13,2024-06-16
FN57,久经沙场,普通,775941,FN57 | 绛之绽放,7,778.85,1051.44,1.35,2024-06-16
FN57,久经沙场,普通,34707,FN57 | 红苹果,2,699.5,725.48,1.04,2024-06-16
FN57,崭新出厂,StatTrak™,835972,FN57（StatTrak™） | 童话城堡,37,638.5,1156.71,1.81,2024-06-16
FN57,久经沙场,StatTrak™,38567,FN57（StatTrak™） | 暴怒野兽,9,629.5,934.13,1.48,2024-06-16
FN57,略有磨损,普通,835733,FN57 | 蓝莓樱桃,17,619.5,892.41,1.44,2024-06-16
FN57,崭新出厂,普通,34743,FN57 | 暴怒野兽,26,619.5,898.94,1.45,2024-06-16
FN57,崭新出厂,普通,835550,FN57 | 蓝莓樱桃,278,599.5,798.03,1.33,2024-06-16
FN57,崭新出厂,StatTrak™,38553,FN57（StatTrak™） | 表面淬火,51,593,836.19,1.41,2024-06-16
FN57,崭新出厂,纪念品,877089,FN57（纪念品） | 坠落危险,28,574.5,953.35,1.66,2024-06-16
FN57,破损不堪,StatTrak™,38569,FN57（StatTrak™） | 暴怒野兽,4,510.11,735.35,1.44,2024-06-16
FN57,略有磨损,普通,34708,FN57 | 红苹果,8,508.7,716.05,1.41,2024-06-16
FN57,崭新出厂,普通,34706,FN57 | 红苹果,43,493.4,832.27,1.69,2024-06-16
FN57,战痕累累,StatTrak™,38565,FN57（StatTrak™） | 暴怒野兽,2,435.15,601.06,1.38,2024-06-16
FN57,略有磨损,纪念品,877091,FN57（纪念品） | 坠落危险,25,383.99,574.36,1.5,2024-06-16
FN57,战痕累累,StatTrak™,38576,FN57（StatTrak™） | 夜影,4,379.49,46.36,0.12,2024-06-16
FN57,略有磨损,StatTrak™,835899,FN57（StatTrak™） | 童话城堡,41,325.7,454.66,1.4,2024-06-16
FN57,崭新出厂,普通,835845,FN57 | 童话城堡,87,298.4,427.31,1.43,2024-06-16
FN57,久经沙场,纪念品,877066,FN57（纪念品） | 坠落危险,21,288.5,429.48,1.49,2024-06-16
FN57,崭新出厂,纪念品,37631,FN57（纪念品） | 橘皮涂装,7,284.49,343.8,1.21,2024-06-16
FN57,略有磨损,普通,34745,FN57 | 暴怒野兽,48,278,376.38,1.35,2024-06-16
FN57,崭新出厂,StatTrak™,769509,FN57（StatTrak™） | 怒氓,61,239.3,306.44,1.28,2024-06-16
FN57,崭新出厂,普通,34770,FN57 | 氮化处理,6,233.5,348.3,1.49,2024-06-16
FN57,破损不堪,普通,34773,FN57 | 氮化处理,2,223.5,288.31,1.29,2024-06-16
FN57,略有磨损,StatTrak™,38555,FN57（StatTrak™） | 表面淬火,90,221.49,346.56,1.56,2024-06-16
FN57,略有磨损,普通,34772,FN57 | 氮化处理,17,209.5,257.4,1.23,2024-06-16
FN57,久经沙场,普通,34771,FN57 | 氮化处理,3,198.5,264.87,1.33,2024-06-16
FN57,战痕累累,普通,34769,FN57 | 氮化处理,3,194.49,294.18,1.51,2024-06-16
FN57,略有磨损,StatTrak™,38575,FN57（StatTrak™） | 耍猴把戏,50,187.9,279.67,1.49,2024-06-16
FN57,略有磨损,普通,835764,FN57 | 童话城堡,83,186.5,243.04,1.3,2024-06-16
FN57,崭新出厂,普通,34748,FN57 | 狂野丛林,5,174.1,217.57,1.25,2024-06-16
FN57,久经沙场,普通,34744,FN57 | 暴怒野兽,63,165.3,218.3,1.32,2024-06-16
FN57,久经沙场,StatTrak™,835808,FN57（StatTrak™） | 童话城堡,53,163.75,227.44,1.39,2024-06-16
FN57,战痕累累,StatTrak™,835786,FN57（StatTrak™） | 童话城堡,10,158,188.19,1.19,2024-06-16
FN57,崭新出厂,StatTrak™,38557,FN57（StatTrak™） | 铜色星系,84,157,215.32,1.37,2024-06-16
FN57,破损不堪,StatTrak™,835916,FN57（StatTrak™） | 童话城堡,12,141.4,182.02,1.29,2024-06-16
FN57,破损不堪,普通,34746,FN57 | 暴怒野兽,9,138.5,185.65,1.34,2024-06-16
FN57,崭新出厂,纪念品,37626,FN57（纪念品） | 热火朝天,76,132.49,219.39,1.66,2024-06-16
FN57,战痕累累,普通,34742,FN57 | 暴怒野兽,10,129,173.03,1.34,2024-06-16
FN57,略有磨损,StatTrak™,38559,FN57（StatTrak™） | 铜色星系,23,127.5,168.09,1.32,2024-06-16
FN57,久经沙场,StatTrak™,38554,FN57（StatTrak™） | 表面淬火,142,124.47,183.55,1.47,2024-06-16
FN57,久经沙场,普通,835605,FN57 | 童话城堡,102,121.5,162.65,1.34,2024-06-16
FN57,崭新出厂,StatTrak™,38561,FN57（StatTrak™） | 狩猎利器,30,121.5,177.89,1.46,2024-06-16
FN57,久经沙场,StatTrak™,38558,FN57（StatTrak™） | 铜色星系,14,118.7,157.72,1.33,2024-06-16
FN57,破损不堪,普通,835631,FN57 | 童话城堡,13,111.53,140.16,1.26,2024-06-16
FN57,崭新出厂,普通,34715,FN57 | 表面淬火,621,109.76,147.78,1.35,2024-06-16
FN57,破损不堪,StatTrak™,38556,FN57（StatTrak™） | 表面淬火,62,105.8,157.79,1.49,2024-06-16
FN57,战痕累累,StatTrak™,38552,FN57（StatTrak™） | 表面淬火,30,100,149.88,1.5,2024-06-16
FN57,崭新出厂,普通,34738,FN57 | 热火朝天,60,98.58,134.94,1.37,2024-06-16
FN57,崭新出厂,纪念品,37621,FN57（纪念品） | 暮色森林,20,94.48,144.73,1.53,2024-06-16
FN57,略有磨损,StatTrak™,769425,FN57（StatTrak™） | 怒氓,82,93.2,137.84,1.48,2024-06-16
FN57,战痕累累,普通,835680,FN57 | 童话城堡,14,92.98,136.32,1.47,2024-06-16
FN57,崭新出厂,普通,34720,FN57 | 雇佣兵,4,76.56,148.65,1.94,2024-06-16
FN57,略有磨损,普通,34717,FN57 | 表面淬火,840,71.88,107.81,1.5,2024-06-16
FN57,崭新出厂,普通,769147,FN57 | 怒氓,197,68.59,91.77,1.34,2024-06-16
FN57,略有磨损,普通,34757,FN57 | 耍猴把戏,132,61.59,88.94,1.44,2024-06-16
FN57,崭新出厂,纪念品,37616,FN57（纪念品） | 雇佣兵,30,60.26,119.78,1.99,2024-06-16
FN57,略有磨损,StatTrak™,38563,FN57（StatTrak™） | 狩猎利器,43,59.98,88.94,1.48,2024-06-16
FN57,破损不堪,普通,34718,FN57 | 表面淬火,222,59.9,77.34,1.29,2024-06-16
FN57,久经沙场,普通,34716,FN57 | 表面淬火,846,58.6,81.83,1.4,2024-06-16
FN57,崭新出厂,StatTrak™,871813,FN57（StatTrak™） | 同步力场,166,56.9,77.19,1.36,2024-06-16
FN57,崭新出厂,StatTrak™,38592,FN57（StatTrak™） | 三位一体,27,55.8,78.64,1.41,2024-06-16
FN57,战痕累累,普通,34714,FN57 | 表面淬火,127,52.89,73.85,1.4,2024-06-16
FN57,崭新出厂,普通,34704,FN57 | 电镀青铜,89,51.88,79.8,1.54,2024-06-16
FN57,崭新出厂,StatTrak™,38577,FN57（StatTrak™） | 夜影,88,47.96,62.1,1.29,2024-06-16
FN57,略有磨损,StatTrak™,38579,FN57（StatTrak™） | 夜影,54,45.84,58.47,1.28,2024-06-16
FN57,崭新出厂,普通,34733,FN57 | 狩猎利器,46,45.07,62.17,1.38,2024-06-16
FN57,战痕累累,StatTrak™,769479,FN57（StatTrak™） | 怒氓,24,44.49,55.06,1.24,2024-06-16
FN57,崭新出厂,StatTrak™,38582,FN57（StatTrak™） | 朝枪夕拾,102,44.3,57.97,1.31,2024-06-16
FN57,久经沙场,StatTrak™,769262,FN57（StatTrak™） | 怒氓,105,43.32,65.87,1.52,2024-06-16
FN57,久经沙场,StatTrak™,38578,FN57（StatTrak™） | 夜影,56,43.12,56.95,1.32,2024-06-16
FN57,崭新出厂,普通,34724,FN57 | 铜色星系,233,42.4,57.39,1.35,2024-06-16
FN57,破损不堪,StatTrak™,769486,FN57（StatTrak™） | 怒氓,7,42.21,68.7,1.63,2024-06-16
FN57,略有磨损,普通,34705,FN57 | 电镀青铜,11,42.17,71.17,1.69,2024-06-16
FN57,破损不堪,StatTrak™,38580,FN57（StatTrak™） | 夜影,7,41.9,61.52,1.47,2024-06-16
FN57,战痕累累,普通,34764,FN57 | 夜影,35,40.92,48.97,1.2,2024-06-16
FN57,破损不堪,StatTrak™,38564,FN57（StatTrak™） | 狩猎利器,6,39,39.18,1.0,2024-06-16
FN57,略有磨损,普通,34750,FN57 | 狂野丛林,17,38.95,50.49,1.3,2024-06-16
FN57,略有磨损,纪念品,37628,FN57（纪念品） | 热火朝天,354,38.6,53.4,1.38,2024-06-16
FN57,战痕累累,普通,871453,FN57 | 紫藤老树,9,38.2,47.37,1.24,2024-06-16
FN57,略有磨损,StatTrak™,38594,FN57（StatTrak™） | 三位一体,39,37.96,48.39,1.27,2024-06-16
FN57,崭新出厂,StatTrak™,956666,FN57（StatTrak™） | 混合体,69,37.9,53.11,1.4,2024-06-16
FN57,破损不堪,普通,871471,FN57 | 紫藤老树,10,35.89,45.49,1.27,2024-06-16
FN57,久经沙场,普通,871090,FN57 | 紫藤老树,27,35.89,44.54,1.24,2024-06-16
FN57,崭新出厂,普通,871160,FN57 | 紫藤老树,104,35.6,46.94,1.32,2024-06-16
FN57,略有磨损,普通,34726,FN57 | 铜色星系,71,35.36,51.8,1.46,2024-06-16
FN57,久经沙场,普通,34725,FN57 | 铜色星系,19,35.12,47.81,1.36,2024-06-16
FN57,久经沙场,StatTrak™,38562,FN57（StatTrak™） | 狩猎利器,43,34.96,46.36,1.33,2024-06-16
FN57,略有磨损,普通,871181,FN57 | 紫藤老树,38,34.9,45.85,1.31,2024-06-16
FN57,略有磨损,普通,769150,FN57 | 怒氓,424,34.7,43.53,1.25,2024-06-16
FN57,久经沙场,StatTrak™,38574,FN57（StatTrak™） | 耍猴把戏,235,33.75,48.68,1.44,2024-06-16
FN57,战痕累累,StatTrak™,38591,FN57（StatTrak™） | 三位一体,10,32.09,36.35,1.13,2024-06-16
FN57,略有磨损,StatTrak™,871666,FN57（StatTrak™） | 同步力场,163,28.69,40.41,1.41,2024-06-16
FN57,久经沙场,StatTrak™,38593,FN57（StatTrak™） | 三位一体,39,27.14,36.35,1.34,2024-06-16
FN57,略有磨损,普通,34740,FN57 | 热火朝天,94,26.89,38.81,1.44,2024-06-16
FN57,战痕累累,StatTrak™,38560,FN57（StatTrak™） | 狩猎利器,10,26.4,33.81,1.28,2024-06-16
FN57,崭新出厂,StatTrak™,38596,FN57（StatTrak™） | 都市危机,223,24.8,30.47,1.23,2024-06-16
FN57,崭新出厂,普通,34793,FN57 | 三位一体,79,24.6,33.37,1.36,2024-06-16
FN57,崭新出厂,StatTrak™,773705,FN57（StatTrak™） | 好兄弟,63,24.51,33.73,1.38,2024-06-16
FN57,略有磨损,普通,34735,FN57 | 狩猎利器,70,24,34.82,1.45,2024-06-16
FN57,破损不堪,StatTrak™,38595,FN57（StatTrak™） | 三位一体,7,22.88,31.92,1.4,2024-06-16
FN57,破损不堪,StatTrak™,43918,FN57（StatTrak™） | 耍猴把戏,49,22.76,34.82,1.53,2024-06-16
FN57,略有磨损,StatTrak™,38584,FN57（StatTrak™） | 朝枪夕拾,111,22.4,30.83,1.38,2024-06-16
FN57,战痕累累,StatTrak™,38573,FN57（StatTrak™） | 耍猴把戏,27,22.31,27.86,1.25,2024-06-16
FN57,略有磨损,普通,34722,FN57 | 雇佣兵,20,21.95,29.53,1.35,2024-06-16
FN57,略有磨损,StatTrak™,956549,FN57（StatTrak™） | 混合体,95,21.6,28.15,1.3,2024-06-16
FN57,战痕累累,普通,34719,FN57 | 雇佣兵,11,21.11,28.8,1.36,2024-06-16
FN57,崭新出厂,StatTrak™,38570,FN57（StatTrak™） | 神祗,694,19.9,27.79,1.4,2024-06-16
FN57,略有磨损,普通,34795,FN57 | 三位一体,61,18.8,24.3,1.29,2024-06-16
FN57,破损不堪,普通,34723,FN57 | 雇佣兵,11,18.7,27.71,1.48,2024-06-16
FN57,崭新出厂,普通,871429,FN57 | 同步力场,575,18.69,26.7,1.43,2024-06-16
FN57,崭新出厂,普通,34779,FN57 | 朝枪夕拾,338,18.29,24.01,1.31,2024-06-16
FN57,久经沙场,普通,34721,FN57 | 雇佣兵,15,17.66,23.0,1.3,2024-06-16
FN57,破损不堪,StatTrak™,871972,FN57（StatTrak™） | 同步力场,16,16.85,25.17,1.49,2024-06-16
FN57,破损不堪,普通,769484,FN57 | 怒氓,27,16.7,22.56,1.35,2024-06-16
FN57,久经沙场,StatTrak™,871770,FN57（StatTrak™） | 同步力场,132,15.94,24.16,1.52,2024-06-16
FN57,破损不堪,普通,34796,FN57 | 三位一体,5,15.55,18.14,1.17,2024-06-16
FN57,崭新出厂,普通,956528,FN57 | 混合体,153,15.49,18.86,1.22,2024-06-16
FN57,破损不堪,普通,34736,FN57 | 狩猎利器,28,15.47,20.24,1.31,2024-06-16
FN57,久经沙场,普通,34739,FN57 | 热火朝天,43,15.43,22.13,1.43,2024-06-16
FN57,久经沙场,普通,34734,FN57 | 狩猎利器,100,15.25,21.26,1.39,2024-06-16
FN57,久经沙场,普通,769270,FN57 | 怒氓,810,14.75,20.24,1.37,2024-06-16
FN57,略有磨损,StatTrak™,38598,FN57（StatTrak™） | 都市危机,177,14.5,19.44,1.34,2024-06-16
FN57,崭新出厂,StatTrak™,38600,FN57（StatTrak™） | 霸意大名,128,14.29,21.33,1.49,2024-06-16
FN57,崭新出厂,普通,34765,FN57 | 夜影,87,14.13,19.23,1.36,2024-06-16
FN57,久经沙场,纪念品,37627,FN57（纪念品） | 热火朝天,345,14.07,18.43,1.31,2024-06-16
FN57,破损不堪,普通,34768,FN57 | 夜影,14,14.04,26.92,1.92,2024-06-16
FN57,略有磨损,StatTrak™,773744,FN57（StatTrak™） | 好兄弟,78,13.79,20.53,1.49,2024-06-16
FN57,战痕累累,普通,34792,FN57 | 三位一体,8,13.51,14.8,1.1,2024-06-16
FN57,久经沙场,普通,34756,FN57 | 耍猴把戏,1119,13.26,18.79,1.42,2024-06-16
FN57,久经沙场,普通,34794,FN57 | 三位一体,105,13.24,17.48,1.32,2024-06-16
FN57,战痕累累,普通,769418,FN57 | 怒氓,41,13.2,17.34,1.31,2024-06-16
FN57,久经沙场,StatTrak™,956588,FN57（StatTrak™） | 混合体,115,13.12,15.82,1.21,2024-06-16
FN57,破损不堪,普通,34741,FN57 | 热火朝天,12,13.07,16.69,1.28,2024-06-16
FN57,略有磨损,StatTrak™,38572,FN57（StatTrak™） | 神祗,603,12.9,18.86,1.46,2024-06-16
FN57,略有磨损,纪念品,37633,FN57（纪念品） | 橘皮涂装,91,12.9,17.63,1.37,2024-06-16
FN57,战痕累累,普通,34747,FN57 | 狂野丛林,11,12.78,13.78,1.08,2024-06-16
FN57,久经沙场,StatTrak™,38571,FN57（StatTrak™） | 神祗,112,12.72,18.79,1.48,2024-06-16
FN57,略有磨损,普通,871435,FN57 | 同步力场,587,12.63,16.47,1.3,2024-06-16
FN57,破损不堪,StatTrak™,956581,FN57（StatTrak™） | 混合体,60,12.55,14.44,1.15,2024-06-16
FN57,战痕累累,普通,34737,FN57 | 热火朝天,9,11.6,16.03,1.38,2024-06-16
FN57,略有磨损,普通,34767,FN57 | 夜影,23,11.43,16.76,1.47,2024-06-16
FN57,破损不堪,普通,34758,FN57 | 耍猴把戏,78,11.38,14.65,1.29,2024-06-16
FN57,战痕累累,普通,34732,FN57 | 狩猎利器,35,10.95,15.02,1.37,2024-06-16
FN57,战痕累累,StatTrak™,956624,FN57（StatTrak™） | 混合体,78,10.9,14.22,1.3,2024-06-16
FN57,久经沙场,普通,34766,FN57 | 夜影,25,10.9,15.82,1.45,2024-06-16
FN57,崭新出厂,StatTrak™,38587,FN57（StatTrak™） | 斯康里娅,51,10.74,16.4,1.53,2024-06-16
FN57,崭新出厂,普通,34752,FN57 | 神祗,1028,10.62,14.58,1.37,2024-06-16
FN57,久经沙场,StatTrak™,38583,FN57（StatTrak™） | 朝枪夕拾,110,10.37,15.45,1.49,2024-06-16
FN57,久经沙场,普通,34749,FN57 | 狂野丛林,16,10.13,15.24,1.5,2024-06-16
FN57,战痕累累,纪念品,37630,FN57（纪念品） | 橘皮涂装,34,10.07,17.63,1.75,2024-06-16
FN57,破损不堪,纪念品,37634,FN57（纪念品） | 橘皮涂装,25,9.98,11.9,1.19,2024-06-16
FN57,略有磨损,纪念品,37623,FN57（纪念品） | 暮色森林,276,9.98,12.62,1.26,2024-06-16
FN57,久经沙场,StatTrak™,38597,FN57（StatTrak™） | 都市危机,36,9.79,14.22,1.45,2024-06-16
FN57,崭新出厂,普通,773610,FN57 | 好兄弟,150,9.53,13.42,1.41,2024-06-16
FN57,战痕累累,普通,34755,FN57 | 耍猴把戏,27,9.13,11.97,1.31,2024-06-16
FN57,破损不堪,StatTrak™,38585,FN57（StatTrak™） | 朝枪夕拾,10,8.97,10.08,1.12,2024-06-16
FN57,破损不堪,纪念品,37629,FN57（纪念品） | 热火朝天,147,8.96,12.12,1.35,2024-06-16
FN57,略有磨损,普通,34781,FN57 | 朝枪夕拾,405,8.96,11.97,1.34,2024-06-16
FN57,略有磨损,纪念品,37618,FN57（纪念品） | 雇佣兵,367,8.89,10.52,1.18,2024-06-16
FN57,破损不堪,普通,34751,FN57 | 狂野丛林,32,8.71,12.7,1.46,2024-06-16
FN57,略有磨损,普通,956495,FN57 | 混合体,332,8.48,11.39,1.34,2024-06-16
FN57,破损不堪,普通,871687,FN57 | 同步力场,26,8.2,11.39,1.39,2024-06-16
FN57,久经沙场,普通,871434,FN57 | 同步力场,291,8.17,10.52,1.29,2024-06-16
FN57,崭新出厂,普通,34797,FN57 | 都市危机,555,7.97,10.66,1.34,2024-06-16
FN57,略有磨损,普通,34754,FN57 | 神祗,650,7.93,10.45,1.32,2024-06-16
FN57,久经沙场,普通,34753,FN57 | 神祗,100,7.45,9.65,1.3,2024-06-16
FN57,破损不堪,StatTrak™,773834,FN57（StatTrak™） | 好兄弟,14,7.44,8.71,1.17,2024-06-16
FN57,崭新出厂,StatTrak™,887035,FN57（StatTrak™） | 涂鸦潦草,196,7.23,9.43,1.3,2024-06-16
