弯刀,崭新出厂,★,45415,弯刀（★） | 深红之网,3,5699.5,4829.96,0.85,2024-06-17
弯刀,略有磨损,★ StatTrak™,873072,弯刀（★ StatTrak™） | 伽玛多普勒,3,3332.5,7254.8,2.18,2024-06-17
弯刀,略有磨损,★,42637,弯刀（★） | 多普勒,25,2849.5,5005.81,1.76,2024-06-17
弯刀,崭新出厂,★ StatTrak™,43464,弯刀（★ StatTrak™） | 多普勒,44,2848.4,3790.63,1.33,2024-06-17
弯刀,崭新出厂,★ StatTrak™,872024,弯刀（★ StatTrak™） | 伽玛多普勒,80,2796,4416.07,1.58,2024-06-17
弯刀,略有磨损,★,871983,弯刀（★） | 伽玛多普勒,35,2699.5,5073.93,1.88,2024-06-17
弯刀,崭新出厂,★,42623,弯刀（★） | 表面淬火,17,2696.38,3839.53,1.42,2024-06-17
弯刀,略有磨损,★ StatTrak™,43466,弯刀（★ StatTrak™） | 渐变之色,2,2649.5,7505.67,2.83,2024-06-17
弯刀,崭新出厂,★,42636,弯刀（★） | 多普勒,278,2631.5,3580.82,1.36,2024-06-17
弯刀,崭新出厂,★,871877,弯刀（★） | 伽玛多普勒,465,2629.5,3700.17,1.41,2024-06-17
弯刀,崭新出厂,★ StatTrak™,43465,弯刀（★ StatTrak™） | 渐变之色,35,2609.5,3800.64,1.46,2024-06-17
弯刀,略有磨损,★ StatTrak™,43446,弯刀（★ StatTrak™） | 蓝钢,2,2564.5,2314.5,0.9,2024-06-17
弯刀,崭新出厂,★,42638,弯刀（★） | 渐变之色,240,2493,3792.95,1.52,2024-06-17
弯刀,崭新出厂,★ StatTrak™,43483,弯刀（★ StatTrak™） | 屠夫,6,2448.5,3192.11,1.3,2024-06-17
弯刀,崭新出厂,★,42658,弯刀（★） | 枯焦之色,1,2399.5,3096.2,1.29,2024-06-17
弯刀,略有磨损,★,42639,弯刀（★） | 渐变之色,8,2379.5,4695.89,1.97,2024-06-17
弯刀,崭新出厂,★ StatTrak™,43453,弯刀（★ StatTrak™） | 表面淬火,4,2354.5,3754.36,1.59,2024-06-17
弯刀,崭新出厂,★ StatTrak™,872060,弯刀（★ StatTrak™） | 自动化,7,2239,3620.15,1.62,2024-06-17
弯刀,崭新出厂,★,43956,弯刀（★） | 噩梦之夜,2,2199.5,10433.35,4.74,2024-06-17
弯刀,崭新出厂,★ StatTrak™,43470,弯刀（★ StatTrak™） | 渐变大理石,30,2189.5,3300.93,1.51,2024-06-17
弯刀,略有磨损,★ StatTrak™,43455,弯刀（★ StatTrak™） | 表面淬火,7,2058,3115.65,1.51,2024-06-17
弯刀,略有磨损,★,42646,弯刀（★） | 渐变大理石,7,2017.5,3003.49,1.49,2024-06-17
弯刀,破损不堪,★,42621,弯刀（★） | 北方森林,1,1999.5,945.08,0.47,2024-06-17
弯刀,略有磨损,★ StatTrak™,43485,弯刀（★ StatTrak™） | 屠夫,3,1986.49,3827.85,1.93,2024-06-17
弯刀,崭新出厂,★,42662,弯刀（★） | 屠夫,44,1949.5,3011.18,1.54,2024-06-17
弯刀,略有磨损,★ StatTrak™,43459,弯刀（★ StatTrak™） | 深红之网,7,1943.5,3242.68,1.67,2024-06-17
