廓尔喀刀,久经沙场,★,956563,廓尔喀刀（★） | 森林 DDPAT,117,1318.5,1664.11,1.26,2024-06-17
廓尔喀刀,久经沙场,★ StatTrak™,956652,廓尔喀刀（★ StatTrak™） | 北方森林,28,1299.5,1828.21,1.41,2024-06-17
廓尔喀刀,战痕累累,★ StatTrak™,956664,廓尔喀刀（★ StatTrak™） | 狩猎网格,17,1296.5,2244.93,1.73,2024-06-17
廓尔喀刀,破损不堪,★ StatTrak™,957857,廓尔喀刀（★ StatTrak™） | 枯焦之色,3,1296.49,2096.64,1.62,2024-06-17
廓尔喀刀,久经沙场,★ StatTrak™,956657,廓尔喀刀（★ StatTrak™） | 森林 DDPAT,42,1289,2071.03,1.61,2024-06-17
廓尔喀刀,久经沙场,★,956659,廓尔喀刀（★） | 枯焦之色,98,1288.5,1632.33,1.27,2024-06-17
廓尔喀刀,久经沙场,★,956634,廓尔喀刀（★） | 北方森林,90,1288.5,1661.64,1.29,2024-06-17
廓尔喀刀,久经沙场,★,956647,廓尔喀刀（★） | 都市伪装,95,1287.5,1664.4,1.29,2024-06-17
廓尔喀刀,破损不堪,★ StatTrak™,956962,廓尔喀刀（★ StatTrak™） | 都市伪装,4,1279,3201.18,2.5,2024-06-17
廓尔喀刀,破损不堪,★ StatTrak™,956618,廓尔喀刀（★ StatTrak™） | 北方森林,7,1278.5,2056.95,1.61,2024-06-17
廓尔喀刀,久经沙场,★ StatTrak™,956628,廓尔喀刀（★ StatTrak™） | 都市伪装,40,1276.5,1873.19,1.47,2024-06-17
廓尔喀刀,战痕累累,★,956688,廓尔喀刀（★） | 都市伪装,81,1269.5,1625.51,1.28,2024-06-17
廓尔喀刀,破损不堪,★ StatTrak™,956699,廓尔喀刀（★ StatTrak™） | 森林 DDPAT,4,1259.5,2248.19,1.78,2024-06-17
廓尔喀刀,破损不堪,★,956689,廓尔喀刀（★） | 都市伪装,26,1259,1536.86,1.22,2024-06-17
廓尔喀刀,破损不堪,★,956707,廓尔喀刀（★） | 枯焦之色,29,1258.5,1677.96,1.33,2024-06-17
廓尔喀刀,久经沙场,★ StatTrak™,956655,廓尔喀刀（★ StatTrak™） | 枯焦之色,35,1253.4,1546.29,1.23,2024-06-17
廓尔喀刀,战痕累累,★,956686,廓尔喀刀（★） | 狩猎网格,70,1244.5,1741.15,1.4,2024-06-17
廓尔喀刀,破损不堪,★,956636,廓尔喀刀（★） | 森林 DDPAT,29,1244,1804.63,1.45,2024-06-17
廓尔喀刀,战痕累累,★ StatTrak™,956743,廓尔喀刀（★ StatTrak™） | 北方森林,14,1237.5,1543.46,1.25,2024-06-17
廓尔喀刀,久经沙场,★ StatTrak™,956744,廓尔喀刀（★ StatTrak™） | 狩猎网格,22,1219,1811.02,1.49,2024-06-17
廓尔喀刀,破损不堪,★,956695,廓尔喀刀（★） | 北方森林,29,1219,1775.76,1.46,2024-06-17
廓尔喀刀,战痕累累,★,956660,廓尔喀刀（★） | 森林 DDPAT,53,1209,1668.6,1.38,2024-06-17
廓尔喀刀,久经沙场,★,956687,廓尔喀刀（★） | 狩猎网格,87,1198.5,1617.82,1.35,2024-06-17
廓尔喀刀,破损不堪,★ StatTrak™,957826,廓尔喀刀（★ StatTrak™） | 狩猎网格,8,1197,1806.45,1.51,2024-06-17
廓尔喀刀,破损不堪,★,956681,廓尔喀刀（★） | 狩猎网格,32,1191,1548.1,1.3,2024-06-17
廓尔喀刀,战痕累累,★ StatTrak™,957441,廓尔喀刀（★ StatTrak™） | 森林 DDPAT,13,1188.5,2391.4,2.01,2024-06-17
廓尔喀刀,战痕累累,★,956682,廓尔喀刀（★） | 北方森林,33,1183,1546.8,1.31,2024-06-17
廓尔喀刀,久经沙场,★,956563,廓尔喀刀（★） | 森林 DDPAT,117,1318.5,1664.11,1.26,2024-06-17
廓尔喀刀,久经沙场,★ StatTrak™,956652,廓尔喀刀（★ StatTrak™） | 北方森林,28,1299.5,1828.21,1.41,2024-06-17
廓尔喀刀,战痕累累,★ StatTrak™,956664,廓尔喀刀（★ StatTrak™） | 狩猎网格,17,1296.5,2244.93,1.73,2024-06-17
廓尔喀刀,破损不堪,★ StatTrak™,957857,廓尔喀刀（★ StatTrak™） | 枯焦之色,3,1296.49,2096.64,1.62,2024-06-17
廓尔喀刀,久经沙场,★ StatTrak™,956657,廓尔喀刀（★ StatTrak™） | 森林 DDPAT,42,1289,2071.03,1.61,2024-06-17
廓尔喀刀,久经沙场,★,956659,廓尔喀刀（★） | 枯焦之色,98,1288.5,1632.33,1.27,2024-06-17
廓尔喀刀,久经沙场,★,956634,廓尔喀刀（★） | 北方森林,90,1288.5,1661.64,1.29,2024-06-17
廓尔喀刀,久经沙场,★,956647,廓尔喀刀（★） | 都市伪装,95,1287.5,1664.4,1.29,2024-06-17
廓尔喀刀,破损不堪,★ StatTrak™,956962,廓尔喀刀（★ StatTrak™） | 都市伪装,4,1279,3201.18,2.5,2024-06-17
廓尔喀刀,破损不堪,★ StatTrak™,956618,廓尔喀刀（★ StatTrak™） | 北方森林,7,1278.5,2056.95,1.61,2024-06-17
廓尔喀刀,久经沙场,★ StatTrak™,956628,廓尔喀刀（★ StatTrak™） | 都市伪装,40,1276.5,1873.19,1.47,2024-06-17
廓尔喀刀,战痕累累,★,956688,廓尔喀刀（★） | 都市伪装,81,1269.5,1625.51,1.28,2024-06-17
