P90,崭新出厂,StatTrak™,39339,P90（StatTrak™） | 翡翠之龙,9,6999.5,6629.51,0.95,2024-06-17
P90,战痕累累,StatTrak™,39338,P90（StatTrak™） | 翡翠之龙,1,4999.5,2244.93,0.45,2024-06-17
P90,略有磨损,纪念品,37935,P90（纪念品） | 摧枯拉朽,1,4443.5,1548.1,0.35,2024-06-17
P90,崭新出厂,纪念品,37933,P90（纪念品） | 摧枯拉朽,3,3999.5,6629.94,1.66,2024-06-17
P90,破损不堪,普通,776302,P90 | 星辰巨蟒,1,3999.49,3296.65,0.82,2024-06-17
P90,破损不堪,StatTrak™,39342,P90（StatTrak™） | 翡翠之龙,2,2799.5,2176.44,0.78,2024-06-17
P90,崭新出厂,普通,36148,P90 | 翡翠之龙,3,2499.5,3386.98,1.36,2024-06-17
P90,崭新出厂,普通,776183,P90 | 星辰巨蟒,43,2248.4,2904.53,1.29,2024-06-17
P90,略有磨损,普通,775139,P90 | 星辰巨蟒,3,2179.5,4450.24,2.04,2024-06-17
P90,久经沙场,普通,774898,P90 | 星辰巨蟒,8,2149.3,2939.21,1.37,2024-06-17
P90,略有磨损,StatTrak™,39341,P90（StatTrak™） | 翡翠之龙,11,1969.49,2709.31,1.38,2024-06-17
P90,崭新出厂,普通,836094,P90 | 豹走,59,1887.19,2722.36,1.44,2024-06-17
P90,久经沙场,StatTrak™,39340,P90（StatTrak™） | 翡翠之龙,7,1690.3,2562.61,1.52,2024-06-17
P90,略有磨损,普通,835654,P90 | 豹走,18,1572.8,2092.72,1.33,2024-06-17
P90,略有磨损,StatTrak™,39327,P90（StatTrak™） | 喵之萌杀,36,1423,2536.42,1.78,2024-06-17
P90,久经沙场,普通,835750,P90 | 豹走,23,1191,1559.78,1.31,2024-06-17
P90,崭新出厂,StatTrak™,39305,P90（StatTrak™） | 二西莫夫,53,1037.78,1632.33,1.57,2024-06-17
P90,破损不堪,普通,836027,P90 | 豹走,11,1029,1393.43,1.35,2024-06-17
P90,战痕累累,普通,836022,P90 | 豹走,4,999.5,1006.39,1.01,2024-06-17
P90,崭新出厂,纪念品,37913,P90（纪念品） | 辐射警告,2,998.49,1780.18,1.78,2024-06-17
P90,略有磨损,普通,36150,P90 | 翡翠之龙,31,737.49,979.11,1.33,2024-06-17
P90,崭新出厂,纪念品,877257,P90（纪念品） | 豹走,10,699,1400.97,2.0,2024-06-17
P90,久经沙场,StatTrak™,39326,P90（StatTrak™） | 喵之萌杀,23,686,1099.97,1.6,2024-06-17
P90,崭新出厂,普通,36153,P90 | 辐射警告,4,634,1050.13,1.66,2024-06-17
P90,破损不堪,普通,36156,P90 | 辐射警告,7,616.5,66.16,0.11,2024-06-17
P90,战痕累累,普通,775976,P90 | 巴洛克之红,1,599.5,441.89,0.74,2024-06-17
P90,战痕累累,普通,36147,P90 | 翡翠之龙,3,598.49,768.94,1.28,2024-06-17
P90,破损不堪,普通,36151,P90 | 翡翠之龙,1,589.93,897.49,1.52,2024-06-17
P90,久经沙场,普通,36149,P90 | 翡翠之龙,22,589.5,783.37,1.33,2024-06-17
P90,略有磨损,StatTrak™,39320,P90（StatTrak™） | 冷血杀手,1,554.66,1088.22,1.96,2024-06-17
P90,崭新出厂,StatTrak™,39319,P90（StatTrak™） | 冷血杀手,33,539.49,683.4,1.27,2024-06-17
P90,略有磨损,普通,36129,P90 | 冷血杀手,6,516.33,499.42,0.97,2024-06-17
P90,崭新出厂,普通,36128,P90 | 冷血杀手,145,382.97,502.25,1.31,2024-06-17
