R8 左轮手枪,崭新出厂,纪念品,43911,R8 左轮手枪（纪念品） | 渐变琥珀,10,919.5,2878.41,3.13,2024-06-17
R8 左轮手枪,略有磨损,纪念品,37967,R8 左轮手枪（纪念品） | 渐变琥珀,8,479,483.97,1.01,2024-06-17
R8 左轮手枪,崭新出厂,StatTrak™,39429,R8 左轮手枪（StatTrak™） | 渐变之色,68,424.5,562.39,1.32,2024-06-17
R8 左轮手枪,破损不堪,StatTrak™,39432,R8 左轮手枪（StatTrak™） | 渐变之色,4,299.49,362.67,1.21,2024-06-17
R8 左轮手枪,久经沙场,纪念品,37966,R8 左轮手枪（纪念品） | 渐变琥珀,11,279.5,362.74,1.3,2024-06-17
R8 左轮手枪,略有磨损,StatTrak™,39431,R8 左轮手枪（StatTrak™） | 渐变之色,65,218.5,316.38,1.45,2024-06-17
R8 左轮手枪,崭新出厂,StatTrak™,39434,R8 左轮手枪（StatTrak™） | 美洲驼炮,19,191.5,260.08,1.36,2024-06-17
R8 左轮手枪,久经沙场,StatTrak™,39430,R8 左轮手枪（StatTrak™） | 渐变之色,32,174.5,239.7,1.37,2024-06-17
R8 左轮手枪,崭新出厂,StatTrak™,39425,R8 左轮手枪（StatTrak™） | 深红之网,54,118.5,190.73,1.61,2024-06-17
R8 左轮手枪,崭新出厂,普通,36340,R8 左轮手枪 | 渐变之色,497,90.8,129.79,1.43,2024-06-17
R8 左轮手枪,崭新出厂,StatTrak™,39439,R8 左轮手枪（StatTrak™） | 重新启动,95,80.87,120.14,1.49,2024-06-17
R8 左轮手枪,崭新出厂,普通,36345,R8 左轮手枪 | 美洲驼炮,82,68.68,100.99,1.47,2024-06-17
R8 左轮手枪,略有磨损,StatTrak™,39436,R8 左轮手枪（StatTrak™） | 美洲驼炮,83,65.4,95.47,1.46,2024-06-17
R8 左轮手枪,崭新出厂,普通,835986,R8 左轮手枪 | 噩梦之夜,12,55.78,50.93,0.91,2024-06-17
R8 左轮手枪,破损不堪,普通,36343,R8 左轮手枪 | 渐变之色,12,50.86,60.51,1.19,2024-06-17
R8 左轮手枪,略有磨损,普通,36342,R8 左轮手枪 | 渐变之色,600,47.8,61.96,1.3,2024-06-17
R8 左轮手枪,崭新出厂,StatTrak™,776041,R8 左轮手枪（StatTrak™） | 记忆碎片,30,41.7,65.73,1.58,2024-06-17
R8 左轮手枪,崭新出厂,纪念品,761472,R8 左轮手枪（纪念品） | 氮化处理,25,39.51,65.51,1.66,2024-06-17
R8 左轮手枪,崭新出厂,普通,776075,R8 左轮手枪 | 水都泛波,16,34.59,51.73,1.5,2024-06-17
R8 左轮手枪,崭新出厂,StatTrak™,900647,R8 左轮手枪（StatTrak™） | 疯狂老八,120,34.17,47.95,1.4,2024-06-17
R8 左轮手枪,略有磨损,普通,36347,R8 左轮手枪 | 美洲驼炮,84,33.67,43.67,1.3,2024-06-17
R8 左轮手枪,久经沙场,普通,36341,R8 左轮手枪 | 渐变之色,380,32.85,44.04,1.34,2024-06-17
R8 左轮手枪,久经沙场,StatTrak™,39435,R8 左轮手枪（StatTrak™） | 美洲驼炮,57,31.3,41.72,1.33,2024-06-17
R8 左轮手枪,破损不堪,StatTrak™,39437,R8 左轮手枪（StatTrak™） | 美洲驼炮,9,30.8,49.84,1.62,2024-06-17
R8 左轮手枪,略有磨损,StatTrak™,39441,R8 左轮手枪（StatTrak™） | 重新启动,161,29.3,39.54,1.35,2024-06-17
R8 左轮手枪,崭新出厂,普通,36336,R8 左轮手枪 | 深红之网,128,29.29,37.0,1.26,2024-06-17
R8 左轮手枪,崭新出厂,StatTrak™,921608,R8 左轮手枪（StatTrak™） | 蕉农炮,89,24.87,37.36,1.5,2024-06-17
