XM1014,破损不堪,纪念品,38137,XM1014（纪念品） | 加州迷彩,1,3499.5,3003.41,0.86,2024-06-17
XM1014,战痕累累,纪念品,38133,XM1014（纪念品） | 加州迷彩,1,3499.5,271.11,0.08,2024-06-17
XM1014,破损不堪,普通,775818,XM1014 | 寒霜锁链,1,2499.5,1080.24,0.43,2024-06-17
XM1014,崭新出厂,纪念品,38139,XM1014（纪念品） | 辐射警告,3,2221,5462.79,2.46,2024-06-17
XM1014,崭新出厂,普通,42272,XM1014 | 辐射警告,1,1332.84,1497.17,1.12,2024-06-17
XM1014,战痕累累,纪念品,38124,XM1014（纪念品） | 蓝钢,2,1139.47,930.21,0.82,2024-06-17
XM1014,战痕累累,普通,776541,XM1014 | 寒霜锁链,2,1110.5,5422.96,4.88,2024-06-17
XM1014,略有磨损,普通,775946,XM1014 | 寒霜锁链,3,898.5,1112.67,1.24,2024-06-17
XM1014,久经沙场,普通,775687,XM1014 | 寒霜锁链,6,848.48,1006.39,1.19,2024-06-17
XM1014,久经沙场,纪念品,38125,XM1014（纪念品） | 蓝钢,5,799.5,1177.31,1.47,2024-06-17
XM1014,崭新出厂,普通,776080,XM1014 | 寒霜锁链,19,799,1625.58,2.03,2024-06-17
XM1014,略有磨损,纪念品,38126,XM1014（纪念品） | 蓝钢,5,598,1393.36,2.33,2024-06-17
XM1014,崭新出厂,StatTrak™,39814,XM1014（StatTrak™） | 宁静,46,517.5,858.61,1.66,2024-06-17
XM1014,崭新出厂,纪念品,38134,XM1014（纪念品） | 加州迷彩,5,499.5,824.94,1.65,2024-06-17
XM1014,崭新出厂,普通,42277,XM1014 | 工业牧草,5,497.4,385.96,0.78,2024-06-17
XM1014,崭新出厂,普通,871499,XM1014 | 雅藤如嫣,56,431.5,568.78,1.32,2024-06-17
XM1014,久经沙场,普通,871622,XM1014 | 雅藤如嫣,10,419.5,549.33,1.31,2024-06-17
XM1014,略有磨损,普通,871349,XM1014 | 雅藤如嫣,14,419.5,700.02,1.67,2024-06-17
XM1014,战痕累累,纪念品,38120,XM1014（纪念品） | 蓝色云杉,2,399.5,95.18,0.24,2024-06-17
XM1014,崭新出厂,普通,42287,XM1014 | 狂野丛林,3,398.5,444.65,1.12,2024-06-17
XM1014,战痕累累,普通,42296,XM1014 | 红色皮革,1,369.49,616.66,1.67,2024-06-17
XM1014,破损不堪,纪念品,38127,XM1014（纪念品） | 蓝钢,4,358.4,532.79,1.49,2024-06-17
XM1014,略有磨损,普通,835894,XM1014 | 太古传说,6,333.4,495.21,1.49,2024-06-17
XM1014,崭新出厂,普通,42297,XM1014 | 红色皮革,9,329.5,492.02,1.49,2024-06-17
XM1014,崭新出厂,普通,835856,XM1014 | 太古传说,38,322,479.91,1.49,2024-06-17
XM1014,略有磨损,普通,42249,XM1014 | 火焰橙,6,319.5,530.25,1.66,2024-06-17
XM1014,破损不堪,普通,775295,XM1014 | 芭蕉叶,3,299.5,282.65,0.94,2024-06-17
XM1014,久经沙场,普通,835864,XM1014 | 太古传说,15,293.5,459.3,1.56,2024-06-17
XM1014,略有磨损,StatTrak™,769511,XM1014（StatTrak™） | 焚烬之鳄,17,283.48,462.86,1.63,2024-06-17
XM1014,略有磨损,纪念品,38122,XM1014（纪念品） | 蓝色云杉,13,279.5,425.71,1.52,2024-06-17
XM1014,破损不堪,普通,836004,XM1014 | 太古传说,5,279,519.3,1.86,2024-06-17
XM1014,战痕累累,普通,836128,XM1014 | 太古传说,1,259,475.99,1.84,2024-06-17
XM1014,破损不堪,纪念品,38123,XM1014（纪念品） | 蓝色云杉,3,249.5,137.41,0.55,2024-06-17
XM1014,久经沙场,纪念品,38135,XM1014（纪念品） | 加州迷彩,5,239.5,202.19,0.84,2024-06-17
XM1014,战痕累累,普通,42246,XM1014 | 火焰橙,3,236.57,160.26,0.68,2024-06-17
XM1014,略有磨损,StatTrak™,39816,XM1014（StatTrak™） | 宁静,25,235.96,298.68,1.27,2024-06-17
XM1014,略有磨损,普通,42299,XM1014 | 红色皮革,3,229,312.97,1.37,2024-06-17
XM1014,略有磨损,纪念品,38136,XM1014（纪念品） | 加州迷彩,1,227.5,229.69,1.01,2024-06-17
XM1014,久经沙场,普通,42298,XM1014 | 红色皮革,3,227.42,283.08,1.24,2024-06-17
XM1014,战痕累累,普通,775595,XM1014 | 芭蕉叶,3,199.5,281.34,1.41,2024-06-17
XM1014,崭新出厂,普通,775468,XM1014 | 芭蕉叶,18,196.5,270.89,1.38,2024-06-17
XM1014,略有磨损,普通,774964,XM1014 | 芭蕉叶,19,186.87,232.73,1.25,2024-06-17
XM1014,久经沙场,普通,774855,XM1014 | 芭蕉叶,19,182.49,248.77,1.36,2024-06-17
XM1014,略有磨损,普通,42274,XM1014 | 辐射警告,5,162,270.97,1.67,2024-06-17
XM1014,破损不堪,普通,42250,XM1014 | 火焰橙,1,156.93,123.91,0.79,2024-06-17
XM1014,崭新出厂,纪念品,38129,XM1014（纪念品） | 碾骨机,78,149.28,250.29,1.68,2024-06-17
XM1014,崭新出厂,StatTrak™,857707,XM1014（StatTrak™） | 要抱抱,60,128.5,191.45,1.49,2024-06-17
XM1014,崭新出厂,StatTrak™,39780,XM1014（StatTrak™） | 天空守卫,14,122.98,226.35,1.84,2024-06-17
XM1014,崭新出厂,普通,42326,XM1014 | 宁静,111,122.89,192.4,1.57,2024-06-17
XM1014,崭新出厂,StatTrak™,871885,XM1014（StatTrak™） | 狻猊,53,119.5,172.81,1.45,2024-06-17
XM1014,崭新出厂,普通,42336,XM1014 | 蔚蓝多变迷彩,20,108.48,143.65,1.32,2024-06-17
XM1014,战痕累累,StatTrak™,39813,XM1014（StatTrak™） | 宁静,7,105.59,129.35,1.23,2024-06-17
XM1014,久经沙场,StatTrak™,39815,XM1014（StatTrak™） | 宁静,18,103,143.86,1.4,2024-06-17
XM1014,略有磨损,StatTrak™,39782,XM1014（StatTrak™） | 天空守卫,26,101.72,129.35,1.27,2024-06-17
XM1014,崭新出厂,StatTrak™,781710,XM1014（StatTrak™） | 埋葬之影,148,101.47,137.84,1.36,2024-06-17
XM1014,久经沙场,普通,42248,XM1014 | 火焰橙,12,94.76,112.23,1.18,2024-06-17
XM1014,略有磨损,普通,42338,XM1014 | 蔚蓝多变迷彩,4,88.9,102.15,1.15,2024-06-17
XM1014,破损不堪,StatTrak™,39792,XM1014（StatTrak™） | 血红巨蟒,3,88.63,24.23,0.27,2024-06-17
XM1014,破损不堪,StatTrak™,39783,XM1014（StatTrak™） | 天空守卫,6,84.9,106.86,1.26,2024-06-17
XM1014,久经沙场,StatTrak™,39781,XM1014（StatTrak™） | 天空守卫,11,83.9,108.6,1.29,2024-06-17
XM1014,略有磨损,纪念品,38141,XM1014（纪念品） | 辐射警告,39,79.3,106.07,1.34,2024-06-17
XM1014,战痕累累,普通,42335,XM1014 | 蔚蓝多变迷彩,1,78.79,114.26,1.45,2024-06-17
XM1014,战痕累累,普通,42281,XM1014 | 天空守卫,4,75.48,74.51,0.99,2024-06-17
XM1014,破损不堪,普通,42339,XM1014 | 蔚蓝多变迷彩,5,74.3,96.05,1.29,2024-06-17
XM1014,崭新出厂,普通,42282,XM1014 | 天空守卫,34,73.39,107.08,1.46,2024-06-17
XM1014,崭新出厂,普通,42331,XM1014 | 都市穿孔,4,70.8,91.77,1.3,2024-06-17
XM1014,久经沙场,普通,42337,XM1014 | 蔚蓝多变迷彩,12,67.1,86.11,1.28,2024-06-17
XM1014,略有磨损,普通,769480,XM1014 | 焚烬之鳄,31,65.9,94.31,1.43,2024-06-17
XM1014,略有磨损,普通,42328,XM1014 | 宁静,131,59.77,85.32,1.43,2024-06-17
XM1014,略有磨损,普通,42284,XM1014 | 天空守卫,34,58.55,76.83,1.31,2024-06-17
XM1014,崭新出厂,StatTrak™,39775,XM1014（StatTrak™） | 西装革履,102,57.7,84.74,1.47,2024-06-17
XM1014,略有磨损,纪念品,38131,XM1014（纪念品） | 碾骨机,143,56.8,85.24,1.5,2024-06-17
XM1014,破损不堪,普通,42285,XM1014 | 天空守卫,7,53.58,68.78,1.28,2024-06-17
XM1014,久经沙场,普通,42283,XM1014 | 天空守卫,24,53.19,66.74,1.25,2024-06-17
XM1014,崭新出厂,普通,42262,XM1014 | 碾骨机,49,51.8,70.59,1.36,2024-06-17
XM1014,崭新出厂,普通,857614,XM1014 | 要抱抱,257,50.18,72.04,1.44,2024-06-17
XM1014,久经沙场,普通,42273,XM1014 | 辐射警告,10,49.7,80.89,1.63,2024-06-17
XM1014,崭新出厂,普通,781629,XM1014 | 埋葬之影,657,49.14,65.87,1.34,2024-06-17
XM1014,破损不堪,普通,42275,XM1014 | 辐射警告,5,49.1,62.75,1.28,2024-06-17
XM1014,战痕累累,普通,42271,XM1014 | 辐射警告,1,46.7,57.82,1.24,2024-06-17
XM1014,略有磨损,普通,42264,XM1014 | 碾骨机,17,45.9,56.95,1.24,2024-06-17
XM1014,战痕累累,普通,42325,XM1014 | 宁静,5,45.76,56.95,1.24,2024-06-17
XM1014,略有磨损,StatTrak™,781672,XM1014（StatTrak™） | 埋葬之影,176,45.45,67.76,1.49,2024-06-17
XM1014,战痕累累,普通,42261,XM1014 | 碾骨机,8,45.11,48.39,1.07,2024-06-17
XM1014,略有磨损,StatTrak™,857650,XM1014（StatTrak™） | 要抱抱,166,40.6,57.39,1.41,2024-06-17
XM1014,破损不堪,普通,42265,XM1014 | 碾骨机,4,39.9,53.47,1.34,2024-06-17
XM1014,久经沙场,纪念品,38121,XM1014（纪念品） | 蓝色云杉,23,39.79,67.98,1.71,2024-06-17
XM1014,久经沙场,普通,42263,XM1014 | 碾骨机,29,39.75,54.27,1.37,2024-06-17
XM1014,崭新出厂,StatTrak™,39799,XM1014（StatTrak™） | 四季,118,38.3,52.81,1.38,2024-06-17
XM1014,久经沙场,普通,42327,XM1014 | 宁静,54,37.9,51.44,1.36,2024-06-17
XM1014,崭新出厂,StatTrak™,39809,XM1014（StatTrak™） | 特克卢喷射者,75,35.4,52.09,1.47,2024-06-17
XM1014,破损不堪,普通,42329,XM1014 | 宁静,16,33.77,50.2,1.49,2024-06-17
XM1014,破损不堪,普通,42290,XM1014 | 狂野丛林,11,33.08,38.81,1.17,2024-06-17
XM1014,破损不堪,纪念品,38142,XM1014（纪念品） | 辐射警告,20,33.03,46.43,1.41,2024-06-17
XM1014,破损不堪,纪念品,38132,XM1014（纪念品） | 碾骨机,10,32.7,45.56,1.39,2024-06-17
XM1014,略有磨损,普通,42289,XM1014 | 狂野丛林,13,30.78,46.43,1.51,2024-06-17
XM1014,略有磨损,普通,781643,XM1014 | 埋葬之影,525,29.23,40.19,1.37,2024-06-17
XM1014,久经沙场,StatTrak™,781674,XM1014（StatTrak™） | 埋葬之影,151,28.8,37.8,1.31,2024-06-17
XM1014,战痕累累,StatTrak™,781700,XM1014（StatTrak™） | 埋葬之影,13,27.7,33.59,1.21,2024-06-17
XM1014,战痕累累,纪念品,38128,XM1014（纪念品） | 碾骨机,25,26.54,36.35,1.37,2024-06-17
XM1014,破损不堪,StatTrak™,781704,XM1014（StatTrak™） | 埋葬之影,20,26.51,35.55,1.34,2024-06-17
XM1014,破损不堪,普通,42304,XM1014 | 血红巨蟒,4,25.73,20.97,0.82,2024-06-17
XM1014,崭新出厂,普通,871678,XM1014 | 狻猊,156,25.69,34.46,1.34,2024-06-17
XM1014,略有磨损,StatTrak™,871494,XM1014（StatTrak™） | 狻猊,116,25.27,35.04,1.39,2024-06-17
